47.365187, 18.428769, 5353, 00000000, 80000000, 3, dS= 896.0     Tb=64ms
47.365187, 18.428769, 3800, 000000ff, 800000ff, 3, dS= 896.0    Vr=V0/3
47.365187, 18.428769, 5066, 0000ff00, 8000ff00, 3, dS= 896.0    Vr=V0/4
47.365187, 18.428769, 2677, 00000000, 80000000, 3, dS= 1792.0     Tb=64ms
47.365187, 18.428769, 1900, 000000ff, 800000ff, 3, dS= 1792.0    Vr=V0/3
47.365187, 18.428769, 2533, 0000ff00, 8000ff00, 3, dS= 1792.0    Vr=V0/4
47.365187, 18.428769, 1338, 00000000, 80000000, 3, dS= 3584.0     Tb=64ms
47.365187, 18.428769, 950, 000000ff, 800000ff, 3, dS= 3584.0    Vr=V0/3
47.365187, 18.428769, 1267, 0000ff00, 8000ff00, 3, dS= 3584.0    Vr=V0/4
47.365187, 18.428769, 669, 00000000, 80000000, 3, dS= 7168.0     Tb=64ms
47.365187, 18.428769, 475, 000000ff, 800000ff, 3, dS= 7168.0    Vr=V0/3
47.365187, 18.428769, 633, 0000ff00, 8000ff00, 3, dS= 7168.0    Vr=V0/4
47.365187, 18.428769, 335, 00000000, 80000000, 3, dS= 14336.0     Tb=64ms
47.365187, 18.428769, 237, 000000ff, 800000ff, 3, dS= 14336.0    Vr=V0/3
47.365187, 18.428769, 317, 0000ff00, 8000ff00, 3, dS= 14336.0    Vr=V0/4
