Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Altair,19h 50m 46.68s,+08° 52′ 02.6″,0.76,Aquila,Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,-,grey,1,0.5

Beta Aquilae,19h 55m 18.77s,+06° 24′ 28.6″,3.71,Aquila,Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,-,grey,1,0.5

Gamma Aquilae,19h 46m 15.57s,+10° 36′ 47.8″,2.72,Aquila,Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,-,grey,1,0.5


Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,Zeta Aquilae,19h 05m 24.61s,+13° 51′ 49.4″,2.99,Aquila,-,grey,1,0.5

Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,Eta Aquilae,19h 52m 28.36s,+01° 00′ 20.4″,3.87,Aquila,-,grey,1,0.5
Eta Aquilae,19h 52m 28.36s,+01° 00′ 20.4″,3.87,Aquila,Theta Aquilae,20h 11m 18.26s,-00° 49′ 17.3″,3.24,Aquila,-,grey,1,0.5

Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila,Lambda Aquilae,19h 06m 14.95s,-04° 52′ 56.4″,3.43,Aquila,-,grey,1,0.5

