Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Beta Columbae,05h 50m 57.55s,-35° 46′ 09.5″,3.12,Columba
Eta Columbae,05h 59m 08.79s,-42° 48′ 54.4″,3.96,Columba

Beta Columbae,05h 50m 57.55s,-35° 46′ 09.5″,3.12,Columba
Gamma Columbae,05h 57m 32.21s,-35° 16′ 59.9″,4.36,Columba
Kappa Columbae,06h 16m 33.14s,-35° 08′ 26.6″,4.37,Columba
Delta Columbae,06h 22m 06.85s,-33° 26′ 10.6″,3.85,Columba

Beta Columbae,05h 50m 57.55s,-35° 46′ 09.5″,3.12,Columba
Alpha Columbae,05h 39m 38.94s,-34° 04′ 26.6″,2.65,Columba
Epsilon Columbae,05h 31m 12.74s,-35° 28′ 13.6″,3.86,Columba
