Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Gamma Gruis,21h 53m 55.65s,-37° 21′ 53.4″,3.0,Grus,HD 208737,21h 59m 17.88s,-38° 23′ 42.3″,5.5,Grus,-,grey,1,0.5
HD 208737,21h 59m 17.88s,-38° 23′ 42.3″,5.5,Grus,Lambda Gruis,22h 06m 06.90s,-39° 32′ 35.0″,4.47,Grus,-,grey,1,0.5
Lambda Gruis,22h 06m 06.90s,-39° 32′ 35.0″,4.47,Grus,Alpha Gruis,22h 08m 13.88s,-46° 57′ 38.2″,1.73,Grus,-,grey,1,0.5

Alpha Gruis,22h 08m 13.88s,-46° 57′ 38.2″,1.73,Grus,Delta1 Gruis,22h 29m 16.15s,-43° 29′ 44.0″,3.97,Grus,-,grey,1,0.5
Delta1 Gruis,22h 29m 16.15s,-43° 29′ 44.0″,3.97,Grus,Delta2 Gruis,22h 29m 45.45s,-43° 44′ 57.2″,4.12,Grus,-,grey,1,0.5
Delta2 Gruis,22h 29m 45.45s,-43° 44′ 57.2″,4.12,Grus,Theta Gruis,23h 06m 52.77s,-43° 31′ 13.2″,4.28,Grus,-,grey,1,0.5
Theta Gruis,23h 06m 52.77s,-43° 31′ 13.2″,4.28,Grus,Iota Gruis,23h 10m 21.43s,-45° 14′ 47.9″,3.88,Grus,-,grey,1,0.5
Iota Gruis,23h 10m 21.43s,-45° 14′ 47.9″,3.88,Grus,Beta Gruis,22h 42m 39.93s,-46° 53′ 04.4″,2.07,Grus,-,grey,1,0.5
Beta Gruis,22h 42m 39.93s,-46° 53′ 04.4″,2.07,Grus,Alpha Gruis,22h 08m 13.88s,-46° 57′ 38.2″,1.73,Grus,-,grey,1,0.5

Beta Gruis,22h 42m 39.93s,-46° 53′ 04.4″,2.07,Grus,Epsilon Gruis,22h 48m 33.20s,-51° 19′ 00.1″,3.49,Grus,-,grey,1,0.5

Beta Gruis,22h 42m 39.93s,-46° 53′ 04.4″,2.07,Grus,Zeta Gruis,23h 00m 52.87s,-52° 45′ 14.8″,4.11,Grus,-,grey,1,0.5
