Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Gamma Hydrae,13h 18m 55.25s,-23° 10′ 17.1″,2.99,Hydra,Psi Hydrae,13h 09m 03.28s,-23° 07′ 04.7″,4.94,Hydra,-,grey,1,0.5
Psi Hydrae,13h 09m 03.28s,-23° 07′ 04.7″,4.94,Hydra,Beta Hydrae,11h 52m 54.56s,-33° 54′ 29.3″,4.29,Hydra,-,grey,1,0.5
Beta Hydrae,11h 52m 54.56s,-33° 54′ 29.3″,4.29,Hydra,Xi Hydrae,11h 33m 00.26s,-31° 51′ 27.1″,3.54,Hydra,-,grey,1,0.5
Xi Hydrae,11h 33m 00.26s,-31° 51′ 27.1″,3.54,Hydra,Nu Hydrae,10h 49m 37.43s,-16° 11′ 38.9″,3.11,Hydra,-,grey,1,0.5
Nu Hydrae,10h 49m 37.43s,-16° 11′ 38.9″,3.11,Hydra,Mu Hydrae,10h 26m 05.51s,-16° 50′ 09.9″,3.83,Hydra,-,grey,1,0.5
Mu Hydrae,10h 26m 05.51s,-16° 50′ 09.9″,3.83,Hydra,Lambda Hydrae,10h 10m 35.40s,-12° 21′ 13.8″,3.61,Hydra,-,grey,1,0.5
Lambda Hydrae,10h 10m 35.40s,-12° 21′ 13.8″,3.61,Hydra,Upsilon1 Hydrae,09h 51m 28.68s,-14° 50′ 47.6″,4.11,Hydra,-,grey,1,0.5
Upsilon1 Hydrae,09h 51m 28.68s,-14° 50′ 47.6″,4.11,Hydra,Alphard,09h 27m 35.25s,-08° 39′ 31.3″,1.99,Hydra,-,grey,1,0.5
Alphard,09h 27m 35.25s,-08° 39′ 31.3″,1.99,Hydra,Tau Hydrae,09h 29m 08.84s,-02° 46′ 08.2″,4.59,Hydra,-,grey,1,0.5
Tau Hydrae,09h 29m 08.84s,-02° 46′ 08.2″,4.59,Hydra,Tau Hydrae,09h 31m 58.93s,-01° 11′ 04.8″,4.54,Hydra,-,grey,1,0.5
Tau Hydrae,09h 31m 58.93s,-01° 11′ 04.8″,4.54,Hydra,Theta Hydrae,09h 14m 21.79s,+02° 18′ 54.1″,3.89,Hydra,-,grey,1,0.5
Theta Hydrae,09h 14m 21.79s,+02° 18′ 54.1″,3.89,Hydra,Zeta Hydrae,08h 55m 23.68s,+05° 56′ 43.9″,3.11,Hydra,-,grey,1,0.5
Zeta Hydrae,08h 55m 23.68s,+05° 56′ 43.9″,3.11,Hydra,Rho Hydrae,08h 48m 25.98s,+05° 50′ 16.4″,4.35,Hydra,-,grey,1,0.5

Rho Hydrae,08h 48m 25.98s,+05° 50′ 16.4″,4.35,Hydra,Epsilon Hydrae,08h 46m 46.65s,+06° 25′ 08.1″,3.38,Hydra,-,grey,1,0.5
Epsilon Hydrae,08h 46m 46.65s,+06° 25′ 08.1″,3.38,Hydra,Delta Hydrae,08h 37m 39.41s,+05° 42′ 13.7″,4.14,Hydra,-,grey,1,0.5
Delta Hydrae,08h 37m 39.41s,+05° 42′ 13.7″,4.14,Hydra,Sigma Hydrae,08h 38m 45.45s,+03° 20′ 29.3″,4.45,Hydra,-,grey,1,0.5
Sigma Hydrae,08h 38m 45.45s,+03° 20′ 29.3″,4.45,Hydra,Eta Hydrae,08h 43m 13.49s,+03° 23′ 55.2″,4.3,Hydra,-,grey,1,0.5
Eta Hydrae,08h 43m 13.49s,+03° 23′ 55.2″,4.3,Hydra,Rho Hydrae,08h 48m 25.98s,+05° 50′ 16.4″,4.35,Hydra,-,grey,1,0.5
