Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Regulus,10h 08m 22.46s,+11° 58′ 01.9″,1.36,Leo,Theta Leonis,11h 14m 14.44s,+15° 25′ 47.1″,3.33,Leo,-,grey,1,0.5
Theta Leonis,11h 14m 14.44s,+15° 25′ 47.1″,3.33,Leo,Denebola,11h 49m 03.88s,+14° 34′ 20.4″,2.14,Leo,-,grey,1,0.5
Denebola,11h 49m 03.88s,+14° 34′ 20.4″,2.14,Leo,Delta Leonis,11h 14m 06.41s,+20° 31′ 26.5″,2.56,Leo,-,grey,1,0.5
Delta Leonis,11h 14m 06.41s,+20° 31′ 26.5″,2.56,Leo,Theta Leonis,11h 14m 14.44s,+15° 25′ 47.1″,3.33,Leo,-,grey,1,0.5
Delta Leonis,11h 14m 06.41s,+20° 31′ 26.5″,2.56,Leo,Gamma Leonis,10h 19m 58.16s,+19° 50′ 30.7″,2.01,Leo,-,grey,1,0.5
Gamma Leonis,10h 19m 58.16s,+19° 50′ 30.7″,2.01,Leo,Eta Leonis,10h 07m 19.95s,+16° 45′ 45.6″,3.48,Leo,-,grey,1,0.5
Eta Leonis,10h 07m 19.95s,+16° 45′ 45.6″,3.48,Leo,Regulus,10h 08m 22.46s,+11° 58′ 01.9″,1.36,Leo,-,grey,1,0.5

Gamma Leonis,10h 19m 58.16s,+19° 50′ 30.7″,2.01,Leo,Zeta Leonis,10h 16m 41.40s,+23° 25′ 02.4″,3.43,Leo,-,grey,1,0.5
Zeta Leonis,10h 16m 41.40s,+23° 25′ 02.4″,3.43,Leo,Mu Leonis,09h 52m 45.96s,+26° 00′ 25.5″,3.88,Leo,-,grey,1,0.5
Mu Leonis,09h 52m 45.96s,+26° 00′ 25.5″,3.88,Leo,Epsilon Leonis,09h 45m 51.10s,+23° 46′ 27.4″,2.97,Leo,-,grey,1,0.5

