Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Alpha Pavonis,20h 25m 38.85s,-56° 44′ 05.6″,1.94,Pavo,Gamma Pavonis,21h 26m 26.49s,-65° 22′ 05.3″,4.21,Pavo,-,grey,1,0.5
Gamma Pavonis,21h 26m 26.49s,-65° 22′ 05.3″,4.21,Pavo,Beta Pavonis,20h 44m 57.56s,-66° 12′ 11.7″,3.42,Pavo,-,grey,1,0.5
Beta Pavonis,20h 44m 57.56s,-66° 12′ 11.7″,3.42,Pavo,Delta Pavonis,20h 08m 41.86s,-66° 10′ 45.6″,3.55,Pavo,-,grey,1,0.5
Delta Pavonis,20h 08m 41.86s,-66° 10′ 45.6″,3.55,Pavo,Alpha Pavonis,20h 25m 38.85s,-56° 44′ 05.6″,1.94,Pavo,-,grey,1,0.5

Delta Pavonis,20h 08m 41.86s,-66° 10′ 45.6″,3.55,Pavo,Kappa Pavonis,18h 56m 57.04s,-67° 14′ 00.7″,4.4,Pavo,-,grey,1,0.5
Kappa Pavonis,18h 56m 57.04s,-67° 14′ 00.7″,4.4,Pavo,Zeta Pavonis,18h 43m 02.13s,-71° 25′ 39.8″,4.01,Pavo,-,grey,1,0.5
Zeta Pavonis,18h 43m 02.13s,-71° 25′ 39.8″,4.01,Pavo,Epsilon Pavonis,20h 00m 35.39s,-72° 54′ 36.7″,3.97,Pavo,-,grey,1,0.5
Epsilon Pavonis,20h 00m 35.39s,-72° 54′ 36.7″,3.97,Pavo,Delta Pavonis,20h 08m 41.86s,-66° 10′ 45.6″,3.55,Pavo,-,grey,1,0.5

Kappa Pavonis,18h 56m 57.04s,-67° 14′ 00.7″,4.4,Pavo,Lambda Pavonis,18h 52m 13.04s,-62° 11′ 15.2″,4.22,Pavo,-,grey,1,0.5

Lambda Pavonis,18h 52m 13.04s,-62° 11′ 15.2″,4.22,Pavo,Pi Pavonis,18h 08m 34.79s,-63° 40′ 05.0″,4.33,Pavo,-,grey,1,0.5
Pi Pavonis,18h 08m 34.79s,-63° 40′ 05.0″,4.33,Pavo,Xi Pavonis,18h 23m 13.62s,-61° 29′ 38.1″,4.35,Pavo,-,grey,1,0.5
Xi Pavonis,18h 23m 13.62s,-61° 29′ 38.1″,4.35,Pavo,Lambda Pavonis,18h 52m 13.04s,-62° 11′ 15.2″,4.22,Pavo,-,grey,1,0.5

Pi Pavonis,18h 08m 34.79s,-63° 40′ 05.0″,4.33,Pavo,Eta Pavonis,17h 45m 44.00s,-64° 43′ 25.4″,3.61,Pavo,-,grey,1,0.5


