Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Epsilon Pegasi,21h 44m 11.14s,+09° 52′ 30.0″,2.38,Pegasus
Theta Pegasi,22h 10m 11.82s,+06° 11′ 52.0″,3.52,Pegasus
Zeta Pegasi,22h 41m 27.67s,+10° 49′ 53.0″,3.41,Pegasus
Xi Pegasi,22h 46m 41.44s,+12° 10′ 26.7″,4.2,Pegasus
Alpha Pegasi,23h 04m 45.62s,+15° 12′ 19.3″,2.49,Pegasus
Beta Pegasi,23h 03m 46.33s,+28° 04′ 56.8″,2.44,Pegasus
Eta Pegasi,22h 43m 00.13s,+30° 13′ 16.7″,2.93,Pegasus
Pi Pegasi,22h 09m 59.25s,+33° 10′ 41.8″,4.28,Pegasus
Mu Pegasi,22h 50m 00.10s,+24° 36′ 06.1″,3.51,Pegasus
Lambda Pegasi,22h 46m 31.84s,+23° 33′ 56.4″,3.97,Pegasus
Iota Pegasi,22h 07m 00.47s,+25° 20′ 42.2″,3.77,Pegasus
Kappa Pegasi,21h 44m 38.70s,+25° 38′ 42.0″,4.14,Pegasus
Gamma Pegasi,00h 13m 14.15s,+15° 11′ 01.0″,2.83,Pegasus
