Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Eta Persei,02h 50m 41.79s,+55° 53′ 43.9″,3.77,Perseus,Gamma Persei,03h 04m 47.79s,+53° 30′ 23.2″,2.91,Perseus,-,grey,1,0.5
Gamma Persei,03h 04m 47.79s,+53° 30′ 23.2″,2.91,Perseus,Alpha Persei,03h 24m 19.35s,+49° 51′ 40.5″,1.79,Perseus,-,grey,1,0.5
Alpha Persei,03h 24m 19.35s,+49° 51′ 40.5″,1.79,Perseus,Delta Persei,03h 42m 55.48s,+47° 47′ 15.6″,3.01,Perseus,-,grey,1,0.5
Delta Persei,03h 42m 55.48s,+47° 47′ 15.6″,3.01,Perseus,Epsilon Persei,03h 57m 51.22s,+40° 00′ 37.0″,2.9,Perseus,-,grey,1,0.5
Epsilon Persei,03h 57m 51.22s,+40° 00′ 37.0″,2.9,Perseus,Xi Persei,03h 58m 57.90s,+35° 47′ 27.7″,3.98,Perseus,-,grey,1,0.5
Xi Persei,03h 58m 57.90s,+35° 47′ 27.7″,3.98,Perseus,Zeta Persei,03h 54m 07.92s,+31° 53′ 01.2″,2.84,Perseus,-,grey,1,0.5
Zeta Persei,03h 54m 07.92s,+31° 53′ 01.2″,2.84,Perseus,Omicron Persei,03h 44m 19.13s,+32° 17′ 17.8″,3.84,Perseus,-,grey,1,0.5

Alpha Persei,03h 24m 19.35s,+49° 51′ 40.5″,1.79,Perseus,Algol,03h 08m 10.13s,+40° 57′ 20.3″,2.09,Perseus,-,grey,1,0.5
Algol,03h 08m 10.13s,+40° 57′ 20.3″,2.09,Perseus,Rho Persei,03h 05m 10.50s,+38° 50′ 25.9″,3.32,Perseus,-,grey,1,0.5
Rho Persei,03h 05m 10.50s,+38° 50′ 25.9″,3.32,Perseus,16 Persei,02h 50m 34.91s,+38° 19′ 08.1″,4.22,Perseus,-,grey,1,0.5
