Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Zeta Sagittarii,19h 02m 36.72s,-29° 52′ 48.4″,2.6,SGR,Tau Sagittarii,19h 06m 56.44s,-27° 40′ 11.3″,3.32,Sagittarius,-,grey,1,0.5
Tau Sagittarii,19h 06m 56.44s,-27° 40′ 11.3″,3.32,SGR,Sigma Sagittarii,18h 55m 15.92s,-26° 17′ 47.7″,2.05,Sagittarius,-,grey,1,0.5
Sigma Sagittarii,18h 55m 15.92s,-26° 17′ 47.7″,2.05,SGR,Phi Sagittarii,18h 45m 39.35s,-26° 59′ 26.8″,3.17,Sagittarius,-,grey,1,0.5
Phi Sagittarii,18h 45m 39.35s,-26° 59′ 26.8″,3.17,SGR,Lambda Sagittarii,18h 27m 58.27s,-25° 25′ 16.5″,2.82,Sagittarius,-,grey,1,0.5
Lambda Sagittarii,18h 27m 58.27s,-25° 25′ 16.5″,2.82,SGR,Delta Sagittarii,18h 20m 59.62s,-29° 49′ 40.9″,2.72,Sagittarius,-,grey,1,0.5
Delta Sagittarii,18h 20m 59.62s,-29° 49′ 40.9″,2.72,SGR,Gamma2 Sagittarii,18h 05m 48.52s,-30° 25′ 25.1″,2.98,Sagittarius,-,grey,1,0.5
Gamma2 Sagittarii,18h 05m 48.52s,-30° 25′ 25.1″,2.98,SGR,Epsilon Sagittarii,18h 24m 10.35s,-34° 23′ 03.5″,1.79,Sagittarius,-,grey,1,0.5
Zeta Sagittarii,19h 02m 36.72s,-29° 52′ 48.4″,2.6,SGR,Epsilon Sagittarii,18h 24m 10.35s,-34° 23′ 03.5″,1.79,Sagittarius,-,grey,1,0.5
Zeta Sagittarii,19h 02m 36.72s,-29° 52′ 48.4″,2.6,SGR,Phi Sagittarii,18h 45m 39.35s,-26° 59′ 26.8″,3.17,Sagittarius,-,grey,1,0.5
Phi Sagittarii,18h 45m 39.35s,-26° 59′ 26.8″,3.17,SGR,Delta Sagittarii,18h 20m 59.62s,-29° 49′ 40.9″,2.72,Sagittarius,-,grey,1,0.5
Delta Sagittarii,18h 20m 59.62s,-29° 49′ 40.9″,2.72,SGR,Epsilon Sagittarii,18h 24m 10.35s,-34° 23′ 03.5″,1.79,Sagittarius,-,grey,1,0.5
Epsilon Sagittarii,18h 24m 10.35s,-34° 23′ 03.5″,1.79,SGR,Eta Sagittarii,18h 17m 37.73s,-36° 45′ 40.6″,3.1,Sagittarius,-,grey,0.5,0.5
Gamma2 Sagittarii,18h 05m 48.52s,-30° 25′ 25.1″,2.98,SGR,X Sagittarii,17h 47m 33.63s,-27° 49′ 50.7″,4.53,Sagittarius,-,grey,0.5,0.5
Lambda Sagittarii,18h 27m 58.27s,-25° 25′ 16.5″,2.82,SGR,Mu Sagittarii,18h 13m 45.81s,-21° 03′ 31.8″,3.84,Sagittarius,-,grey,0.5,0.5
Sigma Sagittarii,18h 55m 15.92s,-26° 17′ 47.7″,2.05,SGR,Xi2 Sagittarii,18h 57m 43.78s,-21° 06′ 23.8″,3.52,Sagittarius,-,grey,0.5,0.5
Xi2 Sagittarii,18h 57m 43.78s,-21° 06′ 23.8″,3.52,SGR,Omicron Sagittarii,19h 04m 40.93s,-21° 44′ 28.9″,3.76,Sagittarius,-,grey,0.5,0.5
Omicron Sagittarii,19h 04m 40.93s,-21° 44′ 28.9″,3.76,SGR,Pi Sagittarii,19h 09m 45.83s,-21° 01′ 24.7″,2.88,Sagittarius,-,grey,0.5,0.5
