Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Theta1 Serpentis,18h 56m 13.16s,+04° 12′ 12.7″,4.62,Serpens
Theta2 Serpentis,18h 56m 14.61s,+04° 12′ 07.4″,4.98,Serpens
Eta Serpentis,18h 21m 18.92s,-02° 53′ 49.6″,3.23,Serpens
Omicron Serpentis,17h 41m 24.92s,-12° 52′ 30.6″,4.24,Serpens
Xi Serpentis,17h 37m 35.23s,-15° 23′ 54.3″,3.54,Serpens
Nu Serpentis,17h 20m 49.64s,-12° 50′ 48.8″,4.32,Serpens
Mu Serpentis,15h 49m 37.27s,-03° 25′ 48.5″,3.54,Serpens
Omega Serpentis,15h 50m 17.53s,+02° 11′ 47.8″,5.21,Serpens
Epsilon Serpentis,15h 50m 48.89s,+04° 28′ 39.3″,3.71,Serpens
Alpha Serpentis,15h 44m 16.00s,+06° 25′ 31.9″,2.63,Serpens
Lambda Serpentis,15h 46m 26.75s,+07° 21′ 11.7″,4.42,Serpens
Delta Serpentis,15h 34m 48.10s,+10° 32′ 21.0″,3.8,Serpens
Beta Serpentis,15h 46m 11.21s,+15° 25′ 18.9″,3.65,Serpens
Kappa Serpentis,15h 48m 44.41s,+18° 08′ 30.4″,4.09,Serpens
Gamma Serpentis,15h 56m 26.99s,+15° 39′ 53.0″,3.85,Serpens
