Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Aldebaran,04h 35m 55.20s,+16° 30′ 35.1″,0.87,Taurus
Beta Tauri,05h 26m 17.50s,+28° 36′ 28.3″,1.65,Taurus
Atlas (star),03h 49m 09.73s,+24° 03′ 12.7″,3.62,Taurus
Omicron Tauri,03h 24m 48.84s,+09° 01′ 44.6″,3.61,Taurus
Lambda Tauri,04h 00m 40.82s,+12° 29′ 25.4″,3.41,Taurus
Gamma Tauri,04h 19m 47.53s,+15° 37′ 39.7″,3.65,Taurus
Theta Tauri,04h 28m 39.67s,+15° 52′ 15.4″,3.4,Taurus
Zeta Tauri,05h 37m 38.68s,+21° 08′ 33.3″,2.97,Taurus
Epsilon Tauri,04h 28m 36.93s,+19° 10′ 49.9″,3.53,Taurus
68 Tauri,04h 25m 29.32s,+17° 55′ 40.8″,4.3,Taurus
Delta Tauri,04h 22m 56.03s,+17° 32′ 33.3″,3.77,Taurus
Tau Tauri,04h 42m 14.70s,+22° 57′ 25.1″,4.27,Taurus

Electra (star),03h 44m 52.52s,+24° 06′ 48.4″,3.72,Taurus
Atlas (star),03h 49m 09.73s,+24° 03′ 12.7″,3.62,Taurus
Maia (star),03h 45m 49.59s,+24° 22′ 04.3″,3.87,Taurus
Merope (star),03h 46m 19.56s,+23° 56′ 54.5″,4.14,Taurus
Taygeta (star),03h 45m 12.48s,+24° 28′ 02.6″,4.3,Taurus
Pleione (star),03h 49m 11.20s,+24° 08′ 12.6″,5.05,Taurus
Celaeno (star),03h 44m 48.20s,+24° 17′ 22.5″,5.45,Taurus
Asterope (star),03h 45m 54.46s,+24° 33′ 16.6″,5.76,Taurus
Alcyone (star),03h 47m 19.20s,+24° 08′ 22.0″,8.3,Taurus
