Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Eta Ursae Majoris,13h 47m 32.55s,+49° 18′ 47.9″,1.85,Ursa Major
Zeta Ursae Majoris,13h 23m 56.40s,+54° 55′ 18.0″,3.95,Ursa Major
Mizar (star),13h 25m 13.42s,+54° 59′ 16.8″,3.99,Ursa Major
Mizar (star),13h 23m 55.42s,+54° 55′ 31.5″,2.23,Ursa Major
Epsilon Ursae Majoris,12h 54m 01.63s,+55° 57′ 35.4″,1.76,Ursa Major
Delta Ursae Majoris,12h 15m 25.45s,+57° 01′ 57.4″,3.32,Ursa Major
Alpha Ursae Majoris,11h 03m 43.84s,+61° 45′ 04.0″,1.81,Ursa Major
Beta Ursae Majoris,11h 01m 50.39s,+56° 22′ 56.4″,2.34,Ursa Major
Gamma Ursae Majoris,11h 53m 49.74s,+53° 41′ 41.0″,2.41,Ursa Major

Chi Ursae Majoris,11h 46m 03.13s,+47° 46′ 45.6″,3.69,Ursa Major
Psi Ursae Majoris,11h 09m 39.86s,+44° 29′ 54.8″,3.0,Ursa Major
Lambda Ursae Majoris,10h 17m 05.93s,+42° 54′ 52.1″,3.45,Ursa Major
Mu Ursae Majoris,10h 22m 19.80s,+41° 29′ 58.0″,3.06,Ursa Major
Phi Ursae Majoris,09h 52m 06.36s,+54° 03′ 51.4″,4.55,Ursa Major
26 Ursae Majoris,09h 34m 49.49s,+52° 03′ 05.6″,4.47,Ursa Major
Theta Ursae Majoris,09h 32m 52.33s,+51° 40′ 43.0″,3.17,Ursa Major
Kappa Ursae Majoris,09h 03m 37.56s,+47° 09′ 24.0″,3.57,Ursa Major
Iota Ursae Majoris,08h 59m 12.84s,+48° 02′ 32.5″,3.12,Ursa Major
Upsilon Ursae Majoris,09h 50m 59.69s,+59° 02′ 20.8″,3.78,Ursa Major
Omicron Ursae Majoris,08h 30m 16.03s,+60° 43′ 06.4″,3.35,Ursa Major
23 Ursae Majoris,09h 31m 31.57s,+63° 03′ 42.5″,3.65,Ursa Major
