Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Gamma Velorum,08h 09m 31.96s,-47° 20′ 11.8″,1.83,Vela,Lambda Velorum,09h 07m 59.78s,-43° 25′ 57.4″,2.21,Vela,-,grey,1,0.5
Lambda Velorum,09h 07m 59.78s,-43° 25′ 57.4″,2.21,Vela,Psi Velorum,09h 30m 42.11s,-40° 28′ 00.8″,3.91,Vela,-,grey,1,0.5
Psi Velorum,09h 30m 42.11s,-40° 28′ 00.8″,3.91,Vela,HD 88955,10h 14m 44.27s,-42° 07′ 19.4″,3.85,Vela,-,grey,1,0.5
HD 88955,10h 14m 44.27s,-42° 07′ 19.4″,3.85,Vela,P Velorum,10h 37m 18.26s,-48° 13′ 32.2″,3.84,Vela,-,grey,1,0.5
P Velorum,10h 37m 18.26s,-48° 13′ 32.2″,3.84,Vela,Mu Velorum,10h 46m 46.12s,-49° 25′ 12.5″,2.69,Vela,-,grey,1,0.5
Mu Velorum,10h 46m 46.12s,-49° 25′ 12.5″,2.69,Vela,Phi Velorum,09h 56m 51.75s,-54° 34′ 04.1″,3.52,Vela,-,grey,1,0.5
Phi Velorum,09h 56m 51.75s,-54° 34′ 04.1″,3.52,Vela,Kappa Velorum,09h 22m 06.83s,-55° 00′ 38.5″,2.47,Vela,-,grey,1,0.5
Kappa Velorum,09h 22m 06.83s,-55° 00′ 38.5″,2.47,Vela,Delta Velorum,08h 44m 42.20s,-54° 42′ 30.8″,1.96,Vela,-,grey,1,0.5
Delta Velorum,08h 44m 42.20s,-54° 42′ 30.8″,1.96,Vela,Omicron Velorum,08h 40m 17.61s,-52° 55′ 19.1″,3.6,Vela,-,grey,1,0.5
Omicron Velorum,08h 40m 17.61s,-52° 55′ 19.1″,3.6,Vela,Gamma Velorum,08h 09m 31.96s,-47° 20′ 11.8″,1.83,Vela,-,grey,1,0.5

