Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,09h27m37.0404s,-24.5425186˚00'00",0,ANT,-,09h50m43.1235s,-24.5835705˚00'00",0,ANT,:,grey,1,0.5
-,09h27m05.1837s,-37.2920151˚00'00",0,ANT,-,09h27m37.0404s,-24.5425186˚00'00",0,ANT,:,grey,1,0.5
-,09h26m56.1747s,-40.2918739˚00'00",0,ANT,-,09h27m05.1837s,-37.2920151˚00'00",0,ANT,:,grey,1,0.5
-,11h05m49.5611s,-40.4246216˚00'00",0,ANT,-,09h26m56.1747s,-40.2918739˚00'00",0,ANT,:,grey,1,0.5
-,11h05m55.0471s,-35.6746559˚00'00",0,ANT,-,11h05m49.5611s,-40.4246216˚00'00",0,ANT,:,grey,1,0.5
-,10h55m50.0437s,-35.6664963˚00'00",0,ANT,-,11h05m55.0471s,-35.6746559˚00'00",0,ANT,:,grey,1,0.5
-,10h55m54.6924s,-31.8332005˚00'00",0,ANT,-,10h55m50.0437s,-35.6664963˚00'00",0,ANT,:,grey,1,0.5
-,10h40m48.3309s,-31.8185863˚00'00",0,ANT,-,10h55m54.6924s,-31.8332005˚00'00",0,ANT,:,grey,1,0.5
-,10h40m51.0945s,-29.8186131˚00'00",0,ANT,-,10h40m48.3309s,-31.8185863˚00'00",0,ANT,:,grey,1,0.5
-,10h20m43.5185s,-29.7947845˚00'00",0,ANT,-,10h40m51.0945s,-29.8186131˚00'00",0,ANT,:,grey,1,0.5
-,10h20m47.8410s,-27.1281624˚00'00",0,ANT,-,10h20m43.5185s,-29.7947845˚00'00",0,ANT,:,grey,1,0.5
-,09h50m38.2279s,-27.0835037˚00'00",0,ANT,-,10h20m47.8410s,-27.1281624˚00'00",0,ANT,:,grey,1,0.5
-,09h50m43.1235s,-24.5835705˚00'00",0,ANT,-,09h50m38.2279s,-27.0835037˚00'00",0,ANT,:,grey,1,0.5
