Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,13h56m26.6661s,-83.1200714˚00'00",0,APS,-,13h51m07.5441s,-75.6235962˚00'00",0,APS,:,grey,1,0.5
-,18h27m27.8395s,-82.4582748˚00'00",0,APS,-,13h56m26.6661s,-83.1200714˚00'00",0,APS,:,grey,1,0.5
-,18h16m46.8145s,-74.9745178˚00'00",0,APS,-,18h27m27.8395s,-82.4582748˚00'00",0,APS,:,grey,1,0.5
-,18h13m07.2185s,-67.4800797˚00'00",0,APS,-,18h16m46.8145s,-74.9745178˚00'00",0,APS,:,grey,1,0.5
-,17h43m06.1749s,-67.5711060˚00'00",0,APS,-,18h13m07.2185s,-67.4800797˚00'00",0,APS,:,grey,1,0.5
-,17h12m58.1958s,-67.6610870˚00'00",0,APS,-,17h43m06.1749s,-67.5711060˚00'00",0,APS,:,grey,1,0.5
-,17h13m52.9629s,-70.1597443˚00'00",0,APS,-,17h12m58.1958s,-67.6610870˚00'00",0,APS,:,grey,1,0.5
-,14h56m39.9459s,-70.5115433˚00'00",0,APS,-,17h13m52.9629s,-70.1597443˚00'00",0,APS,:,grey,1,0.5
-,13h49m50.6089s,-70.6244431˚00'00",0,APS,-,14h56m39.9459s,-70.5115433˚00'00",0,APS,:,grey,1,0.5
-,13h51m07.5441s,-75.6235962˚00'00",0,APS,-,13h49m50.6089s,-70.6244431˚00'00",0,APS,:,grey,1,0.5
