Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,20h38m23.7231s,  0.4361772˚00'00",0,AQR,-,20h38m44.3155s, -8.5634165˚00'00",0,AQR,:,grey,1,0.5
-,20h38m19.1706s,  2.4360874˚00'00",0,AQR,-,20h38m23.7231s,  0.4361772˚00'00",0,AQR,:,grey,1,0.5
-,20h56m19.4633s,  2.4773185˚00'00",0,AQR,-,20h38m19.1706s,  2.4360874˚00'00",0,AQR,:,grey,1,0.5
-,21h26m20.0331s,  2.5393796˚00'00",0,AQR,-,20h56m19.4633s,  2.4773185˚00'00",0,AQR,:,grey,1,0.5
-,21h34m20.2249s,  2.5544112˚00'00",0,AQR,-,21h26m20.0331s,  2.5393796˚00'00",0,AQR,:,grey,1,0.5
-,21h34m18.8997s,  3.3043909˚00'00",0,AQR,-,21h34m20.2249s,  2.5544112˚00'00",0,AQR,:,grey,1,0.5
-,21h46m19.2525s,  3.3256676˚00'00",0,AQR,-,21h34m18.8997s,  3.3043909˚00'00",0,AQR,:,grey,1,0.5
-,21h46m20.9007s,  2.3256910˚00'00",0,AQR,-,21h46m19.2525s,  3.3256676˚00'00",0,AQR,:,grey,1,0.5
-,22h06m21.3012s,  2.3576119˚00'00",0,AQR,-,21h46m20.9007s,  2.3256910˚00'00",0,AQR,:,grey,1,0.5
-,22h06m20.9441s,  2.6076074˚00'00",0,AQR,-,22h06m21.3012s,  2.3576119˚00'00",0,AQR,:,grey,1,0.5
-,22h51m22.1321s,  2.6622071˚00'00",0,AQR,-,22h06m20.9441s,  2.6076074˚00'00",0,AQR,:,grey,1,0.5
-,22h51m23.9310s,  0.6622211˚00'00",0,AQR,-,22h51m22.1321s,  2.6622071˚00'00",0,AQR,:,grey,1,0.5
-,22h51m27.5289s, -3.3377509˚00'00",0,AQR,-,22h51m23.9310s,  0.6622211˚00'00",0,AQR,:,grey,1,0.5
-,23h56m24.5307s, -3.3042023˚00'00",0,AQR,-,22h51m27.5289s, -3.3377509˚00'00",0,AQR,:,grey,1,0.5
-,23h56m24.7917s, -6.3042021˚00'00",0,AQR,-,23h56m24.5307s, -3.3042023˚00'00",0,AQR,:,grey,1,0.5
-,23h56m26.5355s,-24.8042011˚00'00",0,AQR,-,23h56m24.7917s, -6.3042021˚00'00",0,AQR,:,grey,1,0.5
-,23h06m43.4319s,-24.8250446˚00'00",0,AQR,-,23h56m26.5355s,-24.8042011˚00'00",0,AQR,:,grey,1,0.5
-,21h59m04.8693s,-24.9040413˚00'00",0,AQR,-,23h06m43.4319s,-24.8250446˚00'00",0,AQR,:,grey,1,0.5
-,21h58m37.4790s, -8.4043999˚00'00",0,AQR,-,21h59m04.8693s,-24.9040413˚00'00",0,AQR,:,grey,1,0.5
-,21h26m40.4196s, -8.4602947˚00'00",0,AQR,-,21h58m37.4790s, -8.4043999˚00'00",0,AQR,:,grey,1,0.5
-,21h26m51.9483s,-14.4601107˚00'00",0,AQR,-,21h26m40.4196s, -8.4602947˚00'00",0,AQR,:,grey,1,0.5
-,20h38m58.5363s,-14.5631361˚00'00",0,AQR,-,21h26m51.9483s,-14.4601107˚00'00",0,AQR,:,grey,1,0.5
-,20h38m44.3155s, -8.5634165˚00'00",0,AQR,-,20h38m58.5363s,-14.5631361˚00'00",0,AQR,:,grey,1,0.5
