Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h41m24.0501s,  0.1154895˚00'00",0,AQL,-,18h41m35.5650s, -3.8842230˚00'00",0,AQL,:,grey,1,0.5
-,18h41m18.2958s,  2.1153460˚00'00",0,AQL,-,18h41m24.0501s,  0.1154895˚00'00",0,AQL,:,grey,1,0.5
-,18h58m18.3421s,  2.1659052˚00'00",0,AQL,-,18h41m18.2958s,  2.1153460˚00'00",0,AQL,:,grey,1,0.5
-,18h58m06.2364s,  6.4156075˚00'00",0,AQL,-,18h58m18.3421s,  2.1659052˚00'00",0,AQL,:,grey,1,0.5
-,18h45m50.0565s,  6.3791943˚00'00",0,AQL,-,18h58m06.2364s,  6.4156075˚00'00",0,AQL,:,grey,1,0.5
-,18h45m33.1308s, 12.1287737˚00'00",0,AQL,-,18h45m50.0565s,  6.3791943˚00'00",0,AQL,:,grey,1,0.5
-,18h57m49.5029s, 12.1651964˚00'00",0,AQL,-,18h45m33.1308s, 12.1287737˚00'00",0,AQL,:,grey,1,0.5
-,18h57m29.6727s, 18.6647091˚00'00",0,AQL,-,18h57m49.5029s, 12.1651964˚00'00",0,AQL,:,grey,1,0.5
-,19h05m30.1185s, 18.6882229˚00'00",0,AQL,-,18h57m29.6727s, 18.6647091˚00'00",0,AQL,:,grey,1,0.5
-,19h05m37.3146s, 16.3550682˚00'00",0,AQL,-,19h05m30.1185s, 18.6882229˚00'00",0,AQL,:,grey,1,0.5
-,19h55m41.0797s, 16.4957294˚00'00",0,AQL,-,19h05m37.3146s, 16.3550682˚00'00",0,AQL,:,grey,1,0.5
-,19h55m42.2400s, 16.0790844˚00'00",0,AQL,-,19h55m41.0797s, 16.4957294˚00'00",0,AQL,:,grey,1,0.5
-,20h14m14.1594s, 16.1275158˚00'00",0,AQL,-,19h55m42.2400s, 16.0790844˚00'00",0,AQL,:,grey,1,0.5
-,20h14m32.8020s,  8.8779116˚00'00",0,AQL,-,20h14m14.1594s, 16.1275158˚00'00",0,AQL,:,grey,1,0.5
-,20h24m03.3495s,  8.9018240˚00'00",0,AQL,-,20h14m32.8020s,  8.8779116˚00'00",0,AQL,:,grey,1,0.5
-,20h24m18.9843s,  2.4021468˚00'00",0,AQL,-,20h24m03.3495s,  8.9018240˚00'00",0,AQL,:,grey,1,0.5
-,20h38m19.1706s,  2.4360874˚00'00",0,AQL,-,20h24m18.9843s,  2.4021468˚00'00",0,AQL,:,grey,1,0.5
-,20h38m23.7231s,  0.4361772˚00'00",0,AQL,-,20h38m19.1706s,  2.4360874˚00'00",0,AQL,:,grey,1,0.5
-,20h38m44.3155s, -8.5634165˚00'00",0,AQL,-,20h38m23.7231s,  0.4361772˚00'00",0,AQL,:,grey,1,0.5
-,20h06m46.4871s, -8.6430750˚00'00",0,AQL,-,20h38m44.3155s, -8.5634165˚00'00",0,AQL,:,grey,1,0.5
-,20h06m54.3287s,-11.6762342˚00'00",0,AQL,-,20h06m46.4871s, -8.6430750˚00'00",0,AQL,:,grey,1,0.5
-,18h58m58.5729s,-11.8664360˚00'00",0,AQL,-,20h06m54.3287s,-11.6762342˚00'00",0,AQL,:,grey,1,0.5
-,18h58m35.3503s, -3.8336766˚00'00",0,AQL,-,18h58m58.5729s,-11.8664360˚00'00",0,AQL,:,grey,1,0.5
-,18h41m35.5650s, -3.8842230˚00'00",0,AQL,-,18h58m35.3503s, -3.8336766˚00'00",0,AQL,:,grey,1,0.5
