Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,16h36m08.3235s,-60.2644577˚00'00",0,ARA,-,16h36m19.5912s,-61.2641945˚00'00",0,ARA,:,grey,1,0.5
-,16h34m16.9497s,-45.7670517˚00'00",0,ARA,-,16h36m08.3235s,-60.2644577˚00'00",0,ARA,:,grey,1,0.5
-,17h59m14.2281s,-45.5163460˚00'00",0,ARA,-,16h34m16.9497s,-45.7670517˚00'00",0,ARA,:,grey,1,0.5
-,18h09m14.1642s,-45.4859734˚00'00",0,ARA,-,17h59m14.2281s,-45.5163460˚00'00",0,ARA,:,grey,1,0.5
-,18h10m41.3407s,-56.9837723˚00'00",0,ARA,-,18h09m14.1642s,-45.4859734˚00'00",0,ARA,:,grey,1,0.5
-,17h40m40.3655s,-57.0747757˚00'00",0,ARA,-,18h10m41.3407s,-56.9837723˚00'00",0,ARA,:,grey,1,0.5
-,17h43m06.1749s,-67.5711060˚00'00",0,ARA,-,17h40m40.3655s,-57.0747757˚00'00",0,ARA,:,grey,1,0.5
-,17h12m58.1958s,-67.6610870˚00'00",0,ARA,-,17h43m06.1749s,-67.5711060˚00'00",0,ARA,:,grey,1,0.5
-,17h02m53.9959s,-67.6905823˚00'00",0,ARA,-,17h12m58.1958s,-67.6610870˚00'00",0,ARA,:,grey,1,0.5
-,17h02m10.1742s,-65.1916428˚00'00",0,ARA,-,17h02m53.9959s,-67.6905823˚00'00",0,ARA,:,grey,1,0.5
-,16h57m08.0435s,-65.2062531˚00'00",0,ARA,-,17h02m10.1742s,-65.1916428˚00'00",0,ARA,:,grey,1,0.5
-,16h56m46.8330s,-63.7900925˚00'00",0,ARA,-,16h57m08.0435s,-65.2062531˚00'00",0,ARA,:,grey,1,0.5
-,16h46m42.3171s,-63.8189964˚00'00",0,ARA,-,16h56m46.8330s,-63.7900925˚00'00",0,ARA,:,grey,1,0.5
-,16h46m09.0833s,-61.2364578˚00'00",0,ARA,-,16h46m42.3171s,-63.8189964˚00'00",0,ARA,:,grey,1,0.5
-,16h36m19.5912s,-61.2641945˚00'00",0,ARA,-,16h46m09.0833s,-61.2364578˚00'00",0,ARA,:,grey,1,0.5
