Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,04h37m56.8650s, 30.9218750˚00'00",0,AUR,-,04h37m54.4293s, 30.2552605˚00'00",0,AUR,:,grey,1,0.5
-,04h38m17.7219s, 36.2547150˚00'00",0,AUR,-,04h37m56.8650s, 30.9218750˚00'00",0,AUR,:,grey,1,0.5
-,04h49m49.7625s, 36.2218513˚00'00",0,AUR,-,04h38m17.7219s, 36.2547150˚00'00",0,AUR,:,grey,1,0.5
-,04h51m21.6684s, 52.7196465˚00'00",0,AUR,-,04h49m49.7625s, 36.2218513˚00'00",0,AUR,:,grey,1,0.5
-,05h09m56.3429s, 52.6655540˚00'00",0,AUR,-,04h51m21.6684s, 52.7196465˚00'00",0,AUR,:,grey,1,0.5
-,05h10m25.6235s, 56.1648331˚00'00",0,AUR,-,05h09m56.3429s, 52.6655540˚00'00",0,AUR,:,grey,1,0.5
-,06h16m31.4613s, 55.9658089˚00'00",0,AUR,-,05h10m25.6235s, 56.1648331˚00'00",0,AUR,:,grey,1,0.5
-,06h16m13.7679s, 53.9662552˚00'00",0,AUR,-,06h16m31.4613s, 55.9658089˚00'00",0,AUR,:,grey,1,0.5
-,06h40m11.0475s, 53.8938293˚00'00",0,AUR,-,06h16m13.7679s, 53.9662552˚00'00",0,AUR,:,grey,1,0.5
-,06h39m40.6703s, 49.8945885˚00'00",0,AUR,-,06h40m11.0475s, 53.8938293˚00'00",0,AUR,:,grey,1,0.5
-,06h57m37.5261s, 49.8410034˚00'00",0,AUR,-,06h39m40.6703s, 49.8945885˚00'00",0,AUR,:,grey,1,0.5
-,06h57m03.6727s, 44.3418388˚00'00",0,AUR,-,06h57m37.5261s, 49.8410034˚00'00",0,AUR,:,grey,1,0.5
-,07h30m56.1899s, 44.2435493˚00'00",0,AUR,-,06h57m03.6727s, 44.3418388˚00'00",0,AUR,:,grey,1,0.5
-,07h30m14.5725s, 35.2445297˚00'00",0,AUR,-,07h30m56.1899s, 44.2435493˚00'00",0,AUR,:,grey,1,0.5
-,06h40m21.6663s, 35.3905640˚00'00",0,AUR,-,07h30m14.5725s, 35.2445297˚00'00",0,AUR,:,grey,1,0.5
-,06h39m51.7579s, 27.8913116˚00'00",0,AUR,-,06h40m21.6663s, 35.3905640˚00'00",0,AUR,:,grey,1,0.5
-,06h00m53.0571s, 28.0092907˚00'00",0,AUR,-,06h39m51.7579s, 27.8913116˚00'00",0,AUR,:,grey,1,0.5
-,06h00m54.9367s, 28.5092430˚00'00",0,AUR,-,06h00m53.0571s, 28.0092907˚00'00",0,AUR,:,grey,1,0.5
-,04h52m50.9941s, 28.7124405˚00'00",0,AUR,-,06h00m54.9367s, 28.5092430˚00'00",0,AUR,:,grey,1,0.5
-,04h52m56.4823s, 30.2123089˚00'00",0,AUR,-,04h52m50.9941s, 28.7124405˚00'00",0,AUR,:,grey,1,0.5
-,04h37m54.4293s, 30.2552605˚00'00",0,AUR,-,04h52m56.4823s, 30.2123089˚00'00",0,AUR,:,grey,1,0.5
