Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,15h11m07.5567s,  7.5253930˚00'00",0,BOO,-,15h10m25.3179s, 25.5246105˚00'00",0,BOO,:,grey,1,0.5
-,13h36m15.3237s,  7.3605771˚00'00",0,BOO,-,15h11m07.5567s,  7.5253930˚00'00",0,BOO,:,grey,1,0.5
-,13h36m06.9433s, 14.3604937˚00'00",0,BOO,-,13h36m15.3237s,  7.3605771˚00'00",0,BOO,:,grey,1,0.5
-,13h35m48.9293s, 27.8603134˚00'00",0,BOO,-,13h36m06.9433s, 14.3604937˚00'00",0,BOO,:,grey,1,0.5
-,14h03m09.3186s, 27.8976517˚00'00",0,BOO,-,13h35m48.9293s, 27.8603134˚00'00",0,BOO,:,grey,1,0.5
-,14h03m05.0061s, 30.1475964˚00'00",0,BOO,-,14h03m09.3186s, 27.8976517˚00'00",0,BOO,:,grey,1,0.5
-,14h07m33.3441s, 30.1545391˚00'00",0,BOO,-,14h03m05.0061s, 30.1475964˚00'00",0,BOO,:,grey,1,0.5
-,14h06m47.6957s, 47.9039383˚00'00",0,BOO,-,14h07m33.3441s, 30.1545391˚00'00",0,BOO,:,grey,1,0.5
-,14h06m20.2539s, 54.9035759˚00'00",0,BOO,-,14h06m47.6957s, 47.9039383˚00'00",0,BOO,:,grey,1,0.5
-,14h29m00.2997s, 54.9422379˚00'00",0,BOO,-,14h06m20.2539s, 54.9035759˚00'00",0,BOO,:,grey,1,0.5
-,15h18m21.8531s, 55.0448647˚00'00",0,BOO,-,14h29m00.2997s, 54.9422379˚00'00",0,BOO,:,grey,1,0.5
-,15h18m37.7697s, 52.5451736˚00'00",0,BOO,-,15h18m21.8531s, 55.0448647˚00'00",0,BOO,:,grey,1,0.5
-,15h48m20.2737s, 52.6174774˚00'00",0,BOO,-,15h18m37.7697s, 52.5451736˚00'00",0,BOO,:,grey,1,0.5
-,15h48m29.9005s, 51.1176796˚00'00",0,BOO,-,15h48m20.2737s, 52.6174774˚00'00",0,BOO,:,grey,1,0.5
-,15h49m27.7025s, 39.6189079˚00'00",0,BOO,-,15h48m29.9005s, 51.1176796˚00'00",0,BOO,:,grey,1,0.5
-,15h30m34.4765s, 39.5721130˚00'00",0,BOO,-,15h49m27.7025s, 39.6189079˚00'00",0,BOO,:,grey,1,0.5
-,15h30m59.2747s, 32.5726128˚00'00",0,BOO,-,15h30m34.4765s, 39.5721130˚00'00",0,BOO,:,grey,1,0.5
-,15h16m03.8205s, 32.5376778˚00'00",0,BOO,-,15h30m59.2747s, 32.5726128˚00'00",0,BOO,:,grey,1,0.5
-,15h16m23.8839s, 25.5380573˚00'00",0,BOO,-,15h16m03.8205s, 32.5376778˚00'00",0,BOO,:,grey,1,0.5
-,15h10m25.3179s, 25.5246105˚00'00",0,BOO,-,15h16m23.8839s, 25.5380573˚00'00",0,BOO,:,grey,1,0.5
