Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,04h20m18.3390s,-39.7007294˚00'00",0,CAE,-,04h20m31.1640s,-36.7010231˚00'00",0,CAE,:,grey,1,0.5
-,04h19m31.7727s,-48.6996651˚00'00",0,CAE,-,04h20m18.3390s,-39.7007294˚00'00",0,CAE,:,grey,1,0.5
-,04h33m26.9395s,-48.7384491˚00'00",0,CAE,-,04h19m31.7727s,-48.6996651˚00'00",0,CAE,:,grey,1,0.5
-,04h33m41.7831s,-46.2387962˚00'00",0,CAE,-,04h33m26.9395s,-48.7384491˚00'00",0,CAE,:,grey,1,0.5
-,04h53m36.4999s,-46.2959023˚00'00",0,CAE,-,04h33m41.7831s,-46.2387962˚00'00",0,CAE,:,grey,1,0.5
-,04h53m55.7689s,-42.7963676˚00'00",0,CAE,-,04h53m36.4999s,-46.2959023˚00'00",0,CAE,:,grey,1,0.5
-,05h03m53.8665s,-42.8255501˚00'00",0,CAE,-,04h53m55.7689s,-42.7963676˚00'00",0,CAE,:,grey,1,0.5
-,05h05m01.1850s,-27.0772038˚00'00",0,CAE,-,05h03m53.8665s,-42.8255501˚00'00",0,CAE,:,grey,1,0.5
-,04h55m02.2311s,-27.0479794˚00'00",0,CAE,-,05h05m01.1850s,-27.0772038˚00'00",0,CAE,:,grey,1,0.5
-,04h47m03.1995s,-27.0248775˚00'00",0,CAE,-,04h55m02.2311s,-27.0479794˚00'00",0,CAE,:,grey,1,0.5
-,04h46m53.3805s,-29.7746429˚00'00",0,CAE,-,04h47m03.1995s,-27.0248775˚00'00",0,CAE,:,grey,1,0.5
-,04h39m54.3963s,-29.7546597˚00'00",0,CAE,-,04h46m53.3805s,-29.7746429˚00'00",0,CAE,:,grey,1,0.5
-,04h39m26.9701s,-36.7540054˚00'00",0,CAE,-,04h39m54.3963s,-29.7546597˚00'00",0,CAE,:,grey,1,0.5
-,04h20m31.1640s,-36.7010231˚00'00",0,CAE,-,04h39m26.9701s,-36.7540054˚00'00",0,CAE,:,grey,1,0.5
