Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,06h16m31.4613s, 55.9658089˚00'00",0,CAM,-,06h17m37.7895s, 61.9641266˚00'00",0,CAM,:,grey,1,0.5
-,05h10m25.6235s, 56.1648331˚00'00",0,CAM,-,06h16m31.4613s, 55.9658089˚00'00",0,CAM,:,grey,1,0.5
-,05h09m56.3429s, 52.6655540˚00'00",0,CAM,-,05h10m25.6235s, 56.1648331˚00'00",0,CAM,:,grey,1,0.5
-,04h51m21.6684s, 52.7196465˚00'00",0,CAM,-,05h09m56.3429s, 52.6655540˚00'00",0,CAM,:,grey,1,0.5
-,03h29m15.1407s, 52.9366074˚00'00",0,CAM,-,04h51m21.6684s, 52.7196465˚00'00",0,CAM,:,grey,1,0.5
-,03h29m31.6561s, 55.4362831˚00'00",0,CAM,-,03h29m15.1407s, 52.9366074˚00'00",0,CAM,:,grey,1,0.5
-,03h19m24.9654s, 55.4596519˚00'00",0,CAM,-,03h29m31.6561s, 55.4362831˚00'00",0,CAM,:,grey,1,0.5
-,03h19m39.2391s, 57.4593849˚00'00",0,CAM,-,03h19m24.9654s, 55.4596519˚00'00",0,CAM,:,grey,1,0.5
-,03h15m36.2232s, 57.4684982˚00'00",0,CAM,-,03h19m39.2391s, 57.4593849˚00'00",0,CAM,:,grey,1,0.5
-,03h17m34.9098s, 68.4662857˚00'00",0,CAM,-,03h15m36.2232s, 57.4684982˚00'00",0,CAM,:,grey,1,0.5
-,03h36m56.8883s, 68.4214401˚00'00",0,CAM,-,03h17m34.9098s, 68.4662857˚00'00",0,CAM,:,grey,1,0.5
-,03h41m14.0997s, 77.4163132˚00'00",0,CAM,-,03h36m56.8883s, 68.4214401˚00'00",0,CAM,:,grey,1,0.5
-,03h46m54.2903s, 77.4025955˚00'00",0,CAM,-,03h41m14.0997s, 77.4163132˚00'00",0,CAM,:,grey,1,0.5
-,03h50m07.3176s, 80.3986664˚00'00",0,CAM,-,03h46m54.2903s, 77.4025955˚00'00",0,CAM,:,grey,1,0.5
-,05h21m57.3347s, 80.1478500˚00'00",0,CAM,-,03h50m07.3176s, 80.3986664˚00'00",0,CAM,:,grey,1,0.5
-,05h38m08.6683s, 85.1239471˚00'00",0,CAM,-,05h21m57.3347s, 80.1478500˚00'00",0,CAM,:,grey,1,0.5
-,08h31m48.8676s, 84.6103745˚00'00",0,CAM,-,05h38m08.6683s, 85.1239471˚00'00",0,CAM,:,grey,1,0.5
-,08h41m36.6601s, 86.0975418˚00'00",0,CAM,-,08h31m48.8676s, 84.6103745˚00'00",0,CAM,:,grey,1,0.5
-,14h12m05.5098s, 85.9308090˚00'00",0,CAM,-,08h41m36.6601s, 86.0975418˚00'00",0,CAM,:,grey,1,0.5
-,14h27m07.8855s, 79.4449844˚00'00",0,CAM,-,14h12m05.5098s, 85.9308090˚00'00",0,CAM,:,grey,1,0.5
-,13h35m14.2055s, 79.3629303˚00'00",0,CAM,-,14h27m07.8855s, 79.4449844˚00'00",0,CAM,:,grey,1,0.5
-,13h36m37.6845s, 76.3638153˚00'00",0,CAM,-,13h35m14.2055s, 79.3629303˚00'00",0,CAM,:,grey,1,0.5
-,13h03m16.9470s, 76.3289108˚00'00",0,CAM,-,13h36m37.6845s, 76.3638153˚00'00",0,CAM,:,grey,1,0.5
-,11h37m44.3511s, 76.3084106˚00'00",0,CAM,-,13h03m16.9470s, 76.3289108˚00'00",0,CAM,:,grey,1,0.5
-,11h38m07.5801s, 79.3083420˚00'00",0,CAM,-,11h37m44.3511s, 76.3084106˚00'00",0,CAM,:,grey,1,0.5
-,10h51m16.4635s, 79.3401794˚00'00",0,CAM,-,11h38m07.5801s, 79.3083420˚00'00",0,CAM,:,grey,1,0.5
-,10h52m25.2999s, 81.3396072˚00'00",0,CAM,-,10h51m16.4635s, 79.3401794˚00'00",0,CAM,:,grey,1,0.5
-,09h28m45.8868s, 81.4677658˚00'00",0,CAM,-,10h52m25.2999s, 81.3396072˚00'00",0,CAM,:,grey,1,0.5
-,09h22m27.7137s, 72.9741364˚00'00",0,CAM,-,09h28m45.8868s, 81.4677658˚00'00",0,CAM,:,grey,1,0.5
-,08h12m20.6949s, 73.1383743˚00'00",0,CAM,-,09h22m27.7137s, 72.9741364˚00'00",0,CAM,:,grey,1,0.5
-,08h08m30.9843s, 59.6433983˚00'00",0,CAM,-,08h12m20.6949s, 73.1383743˚00'00",0,CAM,:,grey,1,0.5
-,07h11m00.7674s, 59.8037262˚00'00",0,CAM,-,08h08m30.9843s, 59.6433983˚00'00",0,CAM,:,grey,1,0.5
-,07h11m24.3726s, 61.8031464˚00'00",0,CAM,-,07h11m00.7674s, 59.8037262˚00'00",0,CAM,:,grey,1,0.5
-,06h17m37.7895s, 61.9641266˚00'00",0,CAM,-,07h11m24.3726s, 61.8031464˚00'00",0,CAM,:,grey,1,0.5
