Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,09h21m37.0221s,  6.4700689˚00'00",0,CNC,-,09h22m35.0364s, 32.9691162˚00'00",0,CNC,:,grey,1,0.5
-,08h11m41.1339s,  6.6302376˚00'00",0,CNC,-,09h21m37.0221s,  6.4700689˚00'00",0,CNC,:,grey,1,0.5
-,08h02m11.6023s,  6.6549850˚00'00",0,CNC,-,08h11m41.1339s,  6.6302376˚00'00",0,CNC,:,grey,1,0.5
-,08h02m19.3614s,  9.6548138˚00'00",0,CNC,-,08h02m11.6023s,  6.6549850˚00'00",0,CNC,:,grey,1,0.5
-,07h55m19.7973s,  9.6734257˚00'00",0,CNC,-,08h02m19.3614s,  9.6548138˚00'00",0,CNC,:,grey,1,0.5
-,07h55m29.1853s, 13.1732168˚00'00",0,CNC,-,07h55m19.7973s,  9.6734257˚00'00",0,CNC,:,grey,1,0.5
-,07h55m47.4107s, 19.6728077˚00'00",0,CNC,-,07h55m29.1853s, 13.1732168˚00'00",0,CNC,:,grey,1,0.5
-,08h00m16.8297s, 19.6608200˚00'00",0,CNC,-,07h55m47.4107s, 19.6728077˚00'00",0,CNC,:,grey,1,0.5
-,08h00m41.1951s, 27.6602821˚00'00",0,CNC,-,08h00m16.8297s, 19.6608200˚00'00",0,CNC,:,grey,1,0.5
-,08h07m39.8327s, 27.6419144˚00'00",0,CNC,-,08h00m41.1951s, 27.6602821˚00'00",0,CNC,:,grey,1,0.5
-,08h07m58.3755s, 33.1415138˚00'00",0,CNC,-,08h07m39.8327s, 27.6419144˚00'00",0,CNC,:,grey,1,0.5
-,09h22m35.0364s, 32.9691162˚00'00",0,CNC,-,08h07m58.3755s, 33.1415138˚00'00",0,CNC,:,grey,1,0.5
