Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,12h06m22.6815s, 33.3039627˚00'00",0,CVN,-,12h26m13.0225s, 33.3074303˚00'00",0,CVN,:,grey,1,0.5
-,12h06m21.9399s, 44.3039627˚00'00",0,CVN,-,12h06m22.6815s, 33.3039627˚00'00",0,CVN,:,grey,1,0.5
-,12h11m18.3441s, 44.3043365˚00'00",0,CVN,-,12h06m21.9399s, 44.3039627˚00'00",0,CVN,:,grey,1,0.5
-,12h11m16.4454s, 52.3043365˚00'00",0,CVN,-,12h11m18.3441s, 44.3043365˚00'00",0,CVN,:,grey,1,0.5
-,13h34m58.1757s, 52.3598061˚00'00",0,CVN,-,12h11m16.4454s, 52.3043365˚00'00",0,CVN,:,grey,1,0.5
-,13h35m10.8273s, 47.8599281˚00'00",0,CVN,-,13h34m58.1757s, 52.3598061˚00'00",0,CVN,:,grey,1,0.5
-,14h06m47.6957s, 47.9039383˚00'00",0,CVN,-,13h35m10.8273s, 47.8599281˚00'00",0,CVN,:,grey,1,0.5
-,14h07m33.3441s, 30.1545391˚00'00",0,CVN,-,14h06m47.6957s, 47.9039383˚00'00",0,CVN,:,grey,1,0.5
-,14h03m05.0061s, 30.1475964˚00'00",0,CVN,-,14h07m33.3441s, 30.1545391˚00'00",0,CVN,:,grey,1,0.5
-,14h03m09.3186s, 27.8976517˚00'00",0,CVN,-,14h03m05.0061s, 30.1475964˚00'00",0,CVN,:,grey,1,0.5
-,13h35m48.9293s, 27.8603134˚00'00",0,CVN,-,14h03m09.3186s, 27.8976517˚00'00",0,CVN,:,grey,1,0.5
-,13h20m54.3779s, 27.8437748˚00'00",0,CVN,-,13h35m48.9293s, 27.8603134˚00'00",0,CVN,:,grey,1,0.5
-,13h20m49.8595s, 31.3437366˚00'00",0,CVN,-,13h20m54.3779s, 27.8437748˚00'00",0,CVN,:,grey,1,0.5
-,12h26m13.8465s, 31.3074341˚00'00",0,CVN,-,13h20m49.8595s, 31.3437366˚00'00",0,CVN,:,grey,1,0.5
-,12h26m13.0225s, 33.3074303˚00'00",0,CVN,-,12h26m13.8465s, 31.3074341˚00'00",0,CVN,:,grey,1,0.5
