Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,08h11m23.7617s, -0.3693900˚00'00",0,CMI,-,08h11m41.1339s,  6.6302376˚00'00",0,CMI,:,grey,1,0.5
-,07h18m23.9199s, -0.2243290˚00'00",0,CMI,-,08h11m23.7617s, -0.3693900˚00'00",0,CMI,:,grey,1,0.5
-,07h18m28.0605s,  1.2755718˚00'00",0,CMI,-,07h18m23.9199s, -0.2243290˚00'00",0,CMI,:,grey,1,0.5
-,07h07m28.1751s,  1.3074419˚00'00",0,CMI,-,07h18m28.0605s,  1.2755718˚00'00",0,CMI,:,grey,1,0.5
-,07h07m39.4259s,  5.3071680˚00'00",0,CMI,-,07h07m28.1751s,  1.3074419˚00'00",0,CMI,:,grey,1,0.5
-,07h06m39.4373s,  5.3100886˚00'00",0,CMI,-,07h07m39.4259s,  5.3071680˚00'00",0,CMI,:,grey,1,0.5
-,07h06m52.2911s,  9.8097754˚00'00",0,CMI,-,07h06m39.4373s,  5.3100886˚00'00",0,CMI,:,grey,1,0.5
-,07h06m59.5746s, 12.3095980˚00'00",0,CMI,-,07h06m52.2911s,  9.8097754˚00'00",0,CMI,:,grey,1,0.5
-,07h36m57.8409s, 12.2238722˚00'00",0,CMI,-,07h06m59.5746s, 12.3095980˚00'00",0,CMI,:,grey,1,0.5
-,07h37m00.6546s, 13.2238064˚00'00",0,CMI,-,07h36m57.8409s, 12.2238722˚00'00",0,CMI,:,grey,1,0.5
-,07h55m29.1853s, 13.1732168˚00'00",0,CMI,-,07h37m00.6546s, 13.2238064˚00'00",0,CMI,:,grey,1,0.5
-,07h55m19.7973s,  9.6734257˚00'00",0,CMI,-,07h55m29.1853s, 13.1732168˚00'00",0,CMI,:,grey,1,0.5
-,08h02m19.3614s,  9.6548138˚00'00",0,CMI,-,07h55m19.7973s,  9.6734257˚00'00",0,CMI,:,grey,1,0.5
-,08h02m11.6023s,  6.6549850˚00'00",0,CMI,-,08h02m19.3614s,  9.6548138˚00'00",0,CMI,:,grey,1,0.5
-,08h11m41.1339s,  6.6302376˚00'00",0,CMI,-,08h02m11.6023s,  6.6549850˚00'00",0,CMI,:,grey,1,0.5
