Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,20h38m44.3155s, -8.5634165˚00'00",0,CAP,-,20h38m58.5363s,-14.5631361˚00'00",0,CAP,:,grey,1,0.5
-,20h06m46.4871s, -8.6430750˚00'00",0,CAP,-,20h38m44.3155s, -8.5634165˚00'00",0,CAP,:,grey,1,0.5
-,20h06m54.3287s,-11.6762342˚00'00",0,CAP,-,20h06m46.4871s, -8.6430750˚00'00",0,CAP,:,grey,1,0.5
-,20h07m39.8327s,-27.6419144˚00'00",0,CAP,-,20h06m54.3287s,-11.6762342˚00'00",0,CAP,:,grey,1,0.5
-,20h27m35.5093s,-27.5913391˚00'00",0,CAP,-,20h07m39.8327s,-27.6419144˚00'00",0,CAP,:,grey,1,0.5
-,21h27m19.5927s,-27.4596672˚00'00",0,CAP,-,20h27m35.5093s,-27.5913391˚00'00",0,CAP,:,grey,1,0.5
-,21h27m13.8661s,-24.9597607˚00'00",0,CAP,-,21h27m19.5927s,-27.4596672˚00'00",0,CAP,:,grey,1,0.5
-,21h59m04.8693s,-24.9040413˚00'00",0,CAP,-,21h27m13.8661s,-24.9597607˚00'00",0,CAP,:,grey,1,0.5
-,21h58m37.4790s, -8.4043999˚00'00",0,CAP,-,21h59m04.8693s,-24.9040413˚00'00",0,CAP,:,grey,1,0.5
-,21h26m40.4196s, -8.4602947˚00'00",0,CAP,-,21h58m37.4790s, -8.4043999˚00'00",0,CAP,:,grey,1,0.5
-,21h26m51.9483s,-14.4601107˚00'00",0,CAP,-,21h26m40.4196s, -8.4602947˚00'00",0,CAP,:,grey,1,0.5
-,20h38m58.5363s,-14.5631361˚00'00",0,CAP,-,21h26m51.9483s,-14.4601107˚00'00",0,CAP,:,grey,1,0.5
