Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,11h20m37.4211s,-57.1843452˚00'00",0,CAR,-,11h20m20.3547s,-64.6842651˚00'00",0,CAR,:,grey,1,0.5
-,11h05m20.9415s,-57.1744423˚00'00",0,CAR,-,11h20m37.4211s,-57.1843452˚00'00",0,CAR,:,grey,1,0.5
-,08h53m17.6773s,-56.9739723˚00'00",0,CAR,-,11h05m20.9415s,-57.1744423˚00'00",0,CAR,:,grey,1,0.5
-,08h53m31.2417s,-54.9742203˚00'00",0,CAR,-,08h53m17.6773s,-56.9739723˚00'00",0,CAR,:,grey,1,0.5
-,08h30m16.1085s,-54.9204712˚00'00",0,CAR,-,08h53m31.2417s,-54.9742203˚00'00",0,CAR,:,grey,1,0.5
-,08h30m26.2299s,-53.4206772˚00'00",0,CAR,-,08h30m16.1085s,-54.9204712˚00'00",0,CAR,:,grey,1,0.5
-,08h13m16.8279s,-53.3782196˚00'00",0,CAR,-,08h30m26.2299s,-53.4206772˚00'00",0,CAR,:,grey,1,0.5
-,08h13m31.4709s,-51.1285286˚00'00",0,CAR,-,08h13m16.8279s,-53.3782196˚00'00",0,CAR,:,grey,1,0.5
-,08h03m26.8074s,-51.1025848˚00'00",0,CAR,-,08h13m31.4709s,-51.1285286˚00'00",0,CAR,:,grey,1,0.5
-,06h02m59.7365s,-50.7545471˚00'00",0,CAR,-,08h03m26.8074s,-51.1025848˚00'00",0,CAR,:,grey,1,0.5
-,06h02m46.4892s,-52.5042114˚00'00",0,CAR,-,06h02m59.7365s,-50.7545471˚00'00",0,CAR,:,grey,1,0.5
-,06h12m46.6449s,-52.5345764˚00'00",0,CAR,-,06h02m46.4892s,-52.5042114˚00'00",0,CAR,:,grey,1,0.5
-,06h12m25.7760s,-55.0340500˚00'00",0,CAR,-,06h12m46.6449s,-52.5345764˚00'00",0,CAR,:,grey,1,0.5
-,06h32m27.4261s,-55.0945587˚00'00",0,CAR,-,06h12m25.7760s,-55.0340500˚00'00",0,CAR,:,grey,1,0.5
-,06h31m58.8187s,-58.0938416˚00'00",0,CAR,-,06h32m27.4261s,-55.0945587˚00'00",0,CAR,:,grey,1,0.5
-,06h52m02.6681s,-58.1537018˚00'00",0,CAR,-,06h31m58.8187s,-58.0938416˚00'00",0,CAR,:,grey,1,0.5
-,06h50m48.7953s,-64.1518784˚00'00",0,CAR,-,06h52m02.6681s,-58.1537018˚00'00",0,CAR,:,grey,1,0.5
-,09h04m22.7345s,-64.4990387˚00'00",0,CAR,-,06h50m48.7953s,-64.1518784˚00'00",0,CAR,:,grey,1,0.5
-,09h00m58.4849s,-75.4954681˚00'00",0,CAR,-,09h04m22.7345s,-64.4990387˚00'00",0,CAR,:,grey,1,0.5
-,11h19m25.6735s,-75.6840134˚00'00",0,CAR,-,09h00m58.4849s,-75.4954681˚00'00",0,CAR,:,grey,1,0.5
-,11h20m20.3547s,-64.6842651˚00'00",0,CAR,-,11h19m25.6735s,-75.6840134˚00'00",0,CAR,:,grey,1,0.5
