Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,22h57m22.2843s, 53.1680298˚00'00",0,CAS,-,23h25m48.6945s, 53.1870041˚00'00",0,CAS,:,grey,1,0.5
-,22h57m12.9665s, 56.9179611˚00'00",0,CAS,-,22h57m22.2843s, 53.1680298˚00'00",0,CAS,:,grey,1,0.5
-,22h57m04.5897s, 59.7512321˚00'00",0,CAS,-,22h57m12.9665s, 56.9179611˚00'00",0,CAS,:,grey,1,0.5
-,23h15m26.3193s, 59.7646751˚00'00",0,CAS,-,22h57m04.5897s, 59.7512321˚00'00",0,CAS,:,grey,1,0.5
-,23h15m15.9577s, 63.6812897˚00'00",0,CAS,-,23h15m26.3193s, 59.7646751˚00'00",0,CAS,:,grey,1,0.5
-,23h40m52.2171s, 63.6928787˚00'00",0,CAS,-,23h15m15.9577s, 63.6812897˚00'00",0,CAS,:,grey,1,0.5
-,23h40m47.4863s, 66.6928711˚00'00",0,CAS,-,23h40m52.2171s, 63.6928787˚00'00",0,CAS,:,grey,1,0.5
-,00h27m03.3033s, 66.6924438˚00'00",0,CAS,-,23h40m47.4863s, 66.6928711˚00'00",0,CAS,:,grey,1,0.5
-,00h27m41.4993s, 77.6923447˚00'00",0,CAS,-,00h27m03.3033s, 66.6924438˚00'00",0,CAS,:,grey,1,0.5
-,03h41m14.0997s, 77.4163132˚00'00",0,CAS,-,00h27m41.4993s, 77.6923447˚00'00",0,CAS,:,grey,1,0.5
-,03h36m56.8883s, 68.4214401˚00'00",0,CAS,-,03h41m14.0997s, 77.4163132˚00'00",0,CAS,:,grey,1,0.5
-,03h17m34.9098s, 68.4662857˚00'00",0,CAS,-,03h36m56.8883s, 68.4214401˚00'00",0,CAS,:,grey,1,0.5
-,03h15m36.2232s, 57.4684982˚00'00",0,CAS,-,03h17m34.9098s, 68.4662857˚00'00",0,CAS,:,grey,1,0.5
-,02h35m02.9609s, 57.5513000˚00'00",0,CAS,-,03h15m36.2232s, 57.4684982˚00'00",0,CAS,:,grey,1,0.5
-,02h35m12.5653s, 59.0511551˚00'00",0,CAS,-,02h35m02.9609s, 57.5513000˚00'00",0,CAS,:,grey,1,0.5
-,02h03m10.9501s, 59.1046104˚00'00",0,CAS,-,02h35m12.5653s, 59.0511551˚00'00",0,CAS,:,grey,1,0.5
-,02h03m05.6697s, 58.1046753˚00'00",0,CAS,-,02h03m10.9501s, 59.1046104˚00'00",0,CAS,:,grey,1,0.5
-,01h50m22.8534s, 58.1227188˚00'00",0,CAS,-,02h03m05.6697s, 58.1046753˚00'00",0,CAS,:,grey,1,0.5
-,01h50m08.0739s, 54.6228828˚00'00",0,CAS,-,01h50m22.8534s, 58.1227188˚00'00",0,CAS,:,grey,1,0.5
-,01h29m49.4433s, 54.6477699˚00'00",0,CAS,-,01h50m08.0739s, 54.6228828˚00'00",0,CAS,:,grey,1,0.5
-,01h29m37.9047s, 50.6478767˚00'00",0,CAS,-,01h29m49.4433s, 54.6477699˚00'00",0,CAS,:,grey,1,0.5
-,01h14m25.4169s, 50.6632347˚00'00",0,CAS,-,01h29m37.9047s, 50.6478767˚00'00",0,CAS,:,grey,1,0.5
-,01h14m21.2179s, 48.6632690˚00'00",0,CAS,-,01h14m25.4169s, 50.6632347˚00'00",0,CAS,:,grey,1,0.5
-,00h59m09.3282s, 48.6757393˚00'00",0,CAS,-,01h14m21.2179s, 48.6632690˚00'00",0,CAS,:,grey,1,0.5
-,00h59m06.2585s, 46.6757545˚00'00",0,CAS,-,00h59m09.3282s, 48.6757393˚00'00",0,CAS,:,grey,1,0.5
-,00h16m34.3869s, 46.6949348˚00'00",0,CAS,-,00h59m06.2585s, 46.6757545˚00'00",0,CAS,:,grey,1,0.5
-,00h16m35.1282s, 48.6949348˚00'00",0,CAS,-,00h16m34.3869s, 46.6949348˚00'00",0,CAS,:,grey,1,0.5
-,23h41m06.2589s, 48.6929169˚00'00",0,CAS,-,00h16m35.1282s, 48.6949348˚00'00",0,CAS,:,grey,1,0.5
-,23h41m04.9337s, 50.6929131˚00'00",0,CAS,-,23h41m06.2589s, 48.6929169˚00'00",0,CAS,:,grey,1,0.5
-,23h25m51.7638s, 50.6870193˚00'00",0,CAS,-,23h41m04.9337s, 50.6929131˚00'00",0,CAS,:,grey,1,0.5
-,23h25m48.6945s, 53.1870041˚00'00",0,CAS,-,23h25m51.7638s, 50.6870193˚00'00",0,CAS,:,grey,1,0.5
