Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,11h05m55.0471s,-35.6746559˚00'00",0,CEN,-,12h21m33.6711s,-35.6938896˚00'00",0,CEN,:,grey,1,0.5
-,11h05m49.5611s,-40.4246216˚00'00",0,CEN,-,11h05m55.0471s,-35.6746559˚00'00",0,CEN,:,grey,1,0.5
-,11h05m20.9415s,-57.1744423˚00'00",0,CEN,-,11h05m49.5611s,-40.4246216˚00'00",0,CEN,:,grey,1,0.5
-,11h20m37.4211s,-57.1843452˚00'00",0,CEN,-,11h05m20.9415s,-57.1744423˚00'00",0,CEN,:,grey,1,0.5
-,11h20m20.3547s,-64.6842651˚00'00",0,CEN,-,11h20m37.4211s,-57.1843452˚00'00",0,CEN,:,grey,1,0.5
-,11h56m13.7673s,-64.6957855˚00'00",0,CEN,-,11h20m20.3547s,-64.6842651˚00'00",0,CEN,:,grey,1,0.5
-,11h56m16.9843s,-55.6957932˚00'00",0,CEN,-,11h56m13.7673s,-64.6957855˚00'00",0,CEN,:,grey,1,0.5
-,12h57m20.2827s,-55.6771049˚00'00",0,CEN,-,11h56m16.9843s,-55.6957932˚00'00",0,CEN,:,grey,1,0.5
-,12h57m45.2113s,-64.6769638˚00'00",0,CEN,-,12h57m20.2827s,-55.6771049˚00'00",0,CEN,:,grey,1,0.5
-,13h38m43.2687s,-64.6379395˚00'00",0,CEN,-,12h57m45.2113s,-64.6769638˚00'00",0,CEN,:,grey,1,0.5
-,14h42m03.5939s,-64.5390244˚00'00",0,CEN,-,13h38m43.2687s,-64.6379395˚00'00",0,CEN,:,grey,1,0.5
-,14h40m56.2717s,-55.5400887˚00'00",0,CEN,-,14h42m03.5939s,-64.5390244˚00'00",0,CEN,:,grey,1,0.5
-,14h18m37.6359s,-55.5799522˚00'00",0,CEN,-,14h40m56.2717s,-55.5400887˚00'00",0,CEN,:,grey,1,0.5
-,14h17m48.0635s,-42.5806465˚00'00",0,CEN,-,14h18m37.6359s,-55.5799522˚00'00",0,CEN,:,grey,1,0.5
-,15h03m11.1071s,-42.4941750˚00'00",0,CEN,-,14h17m48.0635s,-42.5806465˚00'00",0,CEN,:,grey,1,0.5
-,15h02m31.3847s,-29.9948788˚00'00",0,CEN,-,15h03m11.1071s,-42.4941750˚00'00",0,CEN,:,grey,1,0.5
-,12h41m40.1759s,-30.1863899˚00'00",0,CEN,-,15h02m31.3847s,-29.9948788˚00'00",0,CEN,:,grey,1,0.5
-,12h41m42.5277s,-33.6863785˚00'00",0,CEN,-,12h41m40.1759s,-30.1863899˚00'00",0,CEN,:,grey,1,0.5
-,12h21m32.9843s,-33.6938934˚00'00",0,CEN,-,12h41m42.5277s,-33.6863785˚00'00",0,CEN,:,grey,1,0.5
-,12h21m33.6711s,-35.6938896˚00'00",0,CEN,-,12h21m32.9843s,-33.6938934˚00'00",0,CEN,:,grey,1,0.5
