Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,20h02m17.5830s, 59.8510780˚00'00",0,CEP,-,20h34m51.9823s, 59.9322395˚00'00",0,CEP,:,grey,1,0.5
-,20h01m56.4481s, 61.8506203˚00'00",0,CEP,-,20h02m17.5830s, 59.8510780˚00'00",0,CEP,:,grey,1,0.5
-,20h27m14.8482s, 61.9143791˚00'00",0,CEP,-,20h01m56.4481s, 61.8506203˚00'00",0,CEP,:,grey,1,0.5
-,20h26m04.1715s, 67.4129562˚00'00",0,CEP,-,20h27m14.8482s, 61.9143791˚00'00",0,CEP,:,grey,1,0.5
-,20h41m20.1635s, 67.4490280˚00'00",0,CEP,-,20h26m04.1715s, 67.4129562˚00'00",0,CEP,:,grey,1,0.5
-,20h38m17.5297s, 75.4455261˚00'00",0,CEP,-,20h41m20.1635s, 67.4490280˚00'00",0,CEP,:,grey,1,0.5
-,20h07m29.6155s, 75.3708725˚00'00",0,CEP,-,20h38m17.5297s, 75.4455261˚00'00",0,CEP,:,grey,1,0.5
-,20h02m41.7120s, 80.3647766˚00'00",0,CEP,-,20h07m29.6155s, 75.3708725˚00'00",0,CEP,:,grey,1,0.5
-,20h54m49.4097s, 80.4867859˚00'00",0,CEP,-,20h02m41.7120s, 80.3647766˚00'00",0,CEP,:,grey,1,0.5
-,20h34m53.0328s, 86.4656219˚00'00",0,CEP,-,20h54m49.4097s, 80.4867859˚00'00",0,CEP,:,grey,1,0.5
-,20h33m19.5253s, 86.6306305˚00'00",0,CEP,-,20h34m53.0328s, 86.4656219˚00'00",0,CEP,:,grey,1,0.5
-,22h54m02.5599s, 86.8368912˚00'00",0,CEP,-,20h33m19.5253s, 86.6306305˚00'00",0,CEP,:,grey,1,0.5
-,22h37m02.6371s, 88.6638870˚00'00",0,CEP,-,22h54m02.5599s, 86.8368912˚00'00",0,CEP,:,grey,1,0.5
-,09h03m19.7931s, 87.5689163˚00'00",0,CEP,-,22h37m02.6371s, 88.6638870˚00'00",0,CEP,:,grey,1,0.5
-,08h41m36.6601s, 86.0975418˚00'00",0,CEP,-,09h03m19.7931s, 87.5689163˚00'00",0,CEP,:,grey,1,0.5
-,08h31m48.8676s, 84.6103745˚00'00",0,CEP,-,08h41m36.6601s, 86.0975418˚00'00",0,CEP,:,grey,1,0.5
-,05h38m08.6683s, 85.1239471˚00'00",0,CEP,-,08h31m48.8676s, 84.6103745˚00'00",0,CEP,:,grey,1,0.5
-,05h21m57.3347s, 80.1478500˚00'00",0,CEP,-,05h38m08.6683s, 85.1239471˚00'00",0,CEP,:,grey,1,0.5
-,03h50m07.3176s, 80.3986664˚00'00",0,CEP,-,05h21m57.3347s, 80.1478500˚00'00",0,CEP,:,grey,1,0.5
-,03h46m54.2903s, 77.4025955˚00'00",0,CEP,-,03h50m07.3176s, 80.3986664˚00'00",0,CEP,:,grey,1,0.5
-,03h41m14.0997s, 77.4163132˚00'00",0,CEP,-,03h46m54.2903s, 77.4025955˚00'00",0,CEP,:,grey,1,0.5
-,00h27m41.4993s, 77.6923447˚00'00",0,CEP,-,03h41m14.0997s, 77.4163132˚00'00",0,CEP,:,grey,1,0.5
-,00h27m03.3033s, 66.6924438˚00'00",0,CEP,-,00h27m41.4993s, 77.6923447˚00'00",0,CEP,:,grey,1,0.5
-,23h40m47.4863s, 66.6928711˚00'00",0,CEP,-,00h27m03.3033s, 66.6924438˚00'00",0,CEP,:,grey,1,0.5
-,23h40m52.2171s, 63.6928787˚00'00",0,CEP,-,23h40m47.4863s, 66.6928711˚00'00",0,CEP,:,grey,1,0.5
-,23h15m15.9577s, 63.6812897˚00'00",0,CEP,-,23h40m52.2171s, 63.6928787˚00'00",0,CEP,:,grey,1,0.5
-,23h15m26.3193s, 59.7646751˚00'00",0,CEP,-,23h15m15.9577s, 63.6812897˚00'00",0,CEP,:,grey,1,0.5
-,22h57m04.5897s, 59.7512321˚00'00",0,CEP,-,23h15m26.3193s, 59.7646751˚00'00",0,CEP,:,grey,1,0.5
-,22h57m12.9665s, 56.9179611˚00'00",0,CEP,-,22h57m04.5897s, 59.7512321˚00'00",0,CEP,:,grey,1,0.5
-,22h23m38.6232s, 56.8825760˚00'00",0,CEP,-,22h57m12.9665s, 56.9179611˚00'00",0,CEP,:,grey,1,0.5
-,22h23m43.5123s, 55.6326256˚00'00",0,CEP,-,22h23m38.6232s, 56.8825760˚00'00",0,CEP,:,grey,1,0.5
-,22h12m33.0303s, 55.6178436˚00'00",0,CEP,-,22h23m43.5123s, 55.6326256˚00'00",0,CEP,:,grey,1,0.5
-,22h12m41.9223s, 53.3679428˚00'00",0,CEP,-,22h12m33.0303s, 55.6178436˚00'00",0,CEP,:,grey,1,0.5
-,22h02m33.4104s, 53.3532715˚00'00",0,CEP,-,22h12m41.9223s, 53.3679428˚00'00",0,CEP,:,grey,1,0.5
-,22h02m24.5253s, 55.4364891˚00'00",0,CEP,-,22h02m33.4104s, 53.3532715˚00'00",0,CEP,:,grey,1,0.5
-,20h39m19.5267s, 55.2753258˚00'00",0,CEP,-,22h02m24.5253s, 55.4364891˚00'00",0,CEP,:,grey,1,0.5
-,20h38m29.7107s, 61.3576965˚00'00",0,CEP,-,20h39m19.5267s, 55.2753258˚00'00",0,CEP,:,grey,1,0.5
-,20h34m38.5929s, 61.3486443˚00'00",0,CEP,-,20h38m29.7107s, 61.3576965˚00'00",0,CEP,:,grey,1,0.5
-,20h34m51.9823s, 59.9322395˚00'00",0,CEP,-,20h34m38.5929s, 61.3486443˚00'00",0,CEP,:,grey,1,0.5
