Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,00h26m24.3189s,  0.6925398˚00'00",0,CET,-,00h26m22.2486s, -6.3074551˚00'00",0,CET,:,grey,1,0.5
-,00h26m24.9090s,  2.6925383˚00'00",0,CET,-,00h26m24.3189s,  0.6925398˚00'00",0,CET,:,grey,1,0.5
-,02h06m27.6639s,  2.5978806˚00'00",0,CET,-,00h26m24.9090s,  2.6925383˚00'00",0,CET,:,grey,1,0.5
-,02h06m39.6594s, 10.5143948˚00'00",0,CET,-,02h06m27.6639s,  2.5978806˚00'00",0,CET,:,grey,1,0.5
-,03h23m47.1387s, 10.3632069˚00'00",0,CET,-,02h06m39.6594s, 10.5143948˚00'00",0,CET,:,grey,1,0.5
-,03h23m24.7161s,  0.4469725˚00'00",0,CET,-,03h23m47.1387s, 10.3632069˚00'00",0,CET,:,grey,1,0.5
-,03h23m20.8039s, -1.3029516˚00'00",0,CET,-,03h23m24.7161s,  0.4469725˚00'00",0,CET,:,grey,1,0.5
-,02h45m21.4131s, -1.2210265˚00'00",0,CET,-,03h23m20.8039s, -1.3029516˚00'00",0,CET,:,grey,1,0.5
-,02h44m35.7021s,-23.8536034˚00'00",0,CET,-,02h45m21.4131s, -1.2210265˚00'00",0,CET,:,grey,1,0.5
-,01h45m51.8397s,-23.7562580˚00'00",0,CET,-,02h44m35.7021s,-23.8536034˚00'00",0,CET,:,grey,1,0.5
-,01h45m50.1333s,-24.8729095˚00'00",0,CET,-,01h45m51.8397s,-23.7562580˚00'00",0,CET,:,grey,1,0.5
-,23h56m26.5355s,-24.8042011˚00'00",0,CET,-,01h45m50.1333s,-24.8729095˚00'00",0,CET,:,grey,1,0.5
-,23h56m24.7917s, -6.3042021˚00'00",0,CET,-,23h56m26.5355s,-24.8042011˚00'00",0,CET,:,grey,1,0.5
-,00h26m22.2486s, -6.3074551˚00'00",0,CET,-,23h56m24.7917s, -6.3042021˚00'00",0,CET,:,grey,1,0.5
