Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,13h38m43.2687s,-64.6379395˚00'00",0,CIR,-,14h42m03.5939s,-64.5390244˚00'00",0,CIR,:,grey,1,0.5
-,13h38m49.7951s,-65.6378784˚00'00",0,CIR,-,13h38m43.2687s,-64.6379395˚00'00",0,CIR,:,grey,1,0.5
-,13h49m04.3255s,-65.6249542˚00'00",0,CIR,-,13h38m49.7951s,-65.6378784˚00'00",0,CIR,:,grey,1,0.5
-,13h49m50.6089s,-70.6244431˚00'00",0,CIR,-,13h49m04.3255s,-65.6249542˚00'00",0,CIR,:,grey,1,0.5
-,14h56m39.9459s,-70.5115433˚00'00",0,CIR,-,13h49m50.6089s,-70.6244431˚00'00",0,CIR,:,grey,1,0.5
-,14h56m00.8721s,-68.0122070˚00'00",0,CIR,-,14h56m39.9459s,-70.5115433˚00'00",0,CIR,:,grey,1,0.5
-,15h06m13.7103s,-67.9909286˚00'00",0,CIR,-,14h56m00.8721s,-68.0122070˚00'00",0,CIR,:,grey,1,0.5
-,15h05m24.8485s,-64.0751266˚00'00",0,CIR,-,15h06m13.7103s,-67.9909286˚00'00",0,CIR,:,grey,1,0.5
-,15h20m39.9789s,-64.0415649˚00'00",0,CIR,-,15h05m24.8485s,-64.0751266˚00'00",0,CIR,:,grey,1,0.5
-,15h20m13.0967s,-61.4587479˚00'00",0,CIR,-,15h20m39.9789s,-64.0415649˚00'00",0,CIR,:,grey,1,0.5
-,15h30m21.5435s,-61.4353065˚00'00",0,CIR,-,15h20m13.0967s,-61.4587479˚00'00",0,CIR,:,grey,1,0.5
-,15h30m11.9682s,-60.4354935˚00'00",0,CIR,-,15h30m21.5435s,-61.4353065˚00'00",0,CIR,:,grey,1,0.5
-,15h29m31.6587s,-55.4362831˚00'00",0,CIR,-,15h30m11.9682s,-60.4354935˚00'00",0,CIR,:,grey,1,0.5
-,15h12m20.0427s,-55.4754944˚00'00",0,CIR,-,15h29m31.6587s,-55.4362831˚00'00",0,CIR,:,grey,1,0.5
-,14h40m56.2717s,-55.5400887˚00'00",0,CIR,-,15h12m20.0427s,-55.4754944˚00'00",0,CIR,:,grey,1,0.5
-,14h42m03.5939s,-64.5390244˚00'00",0,CIR,-,14h40m56.2717s,-55.5400887˚00'00",0,CIR,:,grey,1,0.5
