Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,11h58m25.0885s, 13.3040485˚00'00",0,COM,-,12h56m14.8866s, 13.3225126˚00'00",0,COM,:,grey,1,0.5
-,11h58m26.1459s, 28.3040466˚00'00",0,COM,-,11h58m25.0885s, 13.3040485˚00'00",0,COM,:,grey,1,0.5
-,12h06m22.9593s, 28.3039627˚00'00",0,COM,-,11h58m26.1459s, 28.3040466˚00'00",0,COM,:,grey,1,0.5
-,12h06m22.6815s, 33.3039627˚00'00",0,COM,-,12h06m22.9593s, 28.3039627˚00'00",0,COM,:,grey,1,0.5
-,12h26m13.0225s, 33.3074303˚00'00",0,COM,-,12h06m22.6815s, 33.3039627˚00'00",0,COM,:,grey,1,0.5
-,12h26m13.8465s, 31.3074341˚00'00",0,COM,-,12h26m13.0225s, 33.3074303˚00'00",0,COM,:,grey,1,0.5
-,13h20m49.8595s, 31.3437366˚00'00",0,COM,-,12h26m13.8465s, 31.3074341˚00'00",0,COM,:,grey,1,0.5
-,13h20m54.3779s, 27.8437748˚00'00",0,COM,-,13h20m49.8595s, 31.3437366˚00'00",0,COM,:,grey,1,0.5
-,13h35m48.9293s, 27.8603134˚00'00",0,COM,-,13h20m54.3779s, 27.8437748˚00'00",0,COM,:,grey,1,0.5
-,13h36m06.9433s, 14.3604937˚00'00",0,COM,-,13h35m48.9293s, 27.8603134˚00'00",0,COM,:,grey,1,0.5
-,12h56m14.1759s, 14.3225088˚00'00",0,COM,-,13h36m06.9433s, 14.3604937˚00'00",0,COM,:,grey,1,0.5
-,12h56m14.8866s, 13.3225126˚00'00",0,COM,-,12h56m14.1759s, 14.3225088˚00'00",0,COM,:,grey,1,0.5
