Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,15h16m23.8839s, 25.5380573˚00'00",0,CRB,-,16h07m13.3763s, 25.6641407˚00'00",0,CRB,:,grey,1,0.5
-,15h16m03.8205s, 32.5376778˚00'00",0,CRB,-,15h16m23.8839s, 25.5380573˚00'00",0,CRB,:,grey,1,0.5
-,15h30m59.2747s, 32.5726128˚00'00",0,CRB,-,15h16m03.8205s, 32.5376778˚00'00",0,CRB,:,grey,1,0.5
-,15h30m34.4765s, 39.5721130˚00'00",0,CRB,-,15h30m59.2747s, 32.5726128˚00'00",0,CRB,:,grey,1,0.5
-,15h49m27.7025s, 39.6189079˚00'00",0,CRB,-,15h30m34.4765s, 39.5721130˚00'00",0,CRB,:,grey,1,0.5
-,16h24m17.2677s, 39.7117195˚00'00",0,CRB,-,15h49m27.7025s, 39.6189079˚00'00",0,CRB,:,grey,1,0.5
-,16h25m07.1526s, 26.7128716˚00'00",0,CRB,-,16h24m17.2677s, 39.7117195˚00'00",0,CRB,:,grey,1,0.5
-,16h15m08.8095s, 26.6855240˚00'00",0,CRB,-,16h25m07.1526s, 26.7128716˚00'00",0,CRB,:,grey,1,0.5
-,16h15m12.0438s, 25.6855946˚00'00",0,CRB,-,16h15m08.8095s, 26.6855240˚00'00",0,CRB,:,grey,1,0.5
-,16h07m13.3763s, 25.6641407˚00'00",0,CRB,-,16h15m12.0438s, 25.6855946˚00'00",0,CRB,:,grey,1,0.5
