Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,19h20m31.8351s, 27.7324085˚00'00",0,CYG,-,19h45m05.3283s, 27.8011742˚00'00",0,CYG,:,grey,1,0.5
-,19h20m22.8606s, 30.2321968˚00'00",0,CYG,-,19h20m31.8351s, 27.7324085˚00'00",0,CYG,:,grey,1,0.5
-,19h26m23.7066s, 30.2493153˚00'00",0,CYG,-,19h20m22.8606s, 30.2321968˚00'00",0,CYG,:,grey,1,0.5
-,19h25m58.2251s, 36.7487144˚00'00",0,CYG,-,19h26m23.7066s, 30.2493153˚00'00",0,CYG,:,grey,1,0.5
-,19h28m28.7173s, 36.7558022˚00'00",0,CYG,-,19h25m58.2251s, 36.7487144˚00'00",0,CYG,:,grey,1,0.5
-,19h27m56.0466s, 43.7550354˚00'00",0,CYG,-,19h28m28.7173s, 36.7558022˚00'00",0,CYG,:,grey,1,0.5
-,19h13m52.8737s, 43.7149391˚00'00",0,CYG,-,19h27m56.0466s, 43.7550354˚00'00",0,CYG,:,grey,1,0.5
-,19h13m30.1249s, 47.7143936˚00'00",0,CYG,-,19h13m52.8737s, 43.7149391˚00'00",0,CYG,:,grey,1,0.5
-,19h08m28.9554s, 47.6998672˚00'00",0,CYG,-,19h13m30.1249s, 47.7143936˚00'00",0,CYG,:,grey,1,0.5
-,19h07m30.3503s, 55.6984482˚00'00",0,CYG,-,19h08m28.9554s, 47.6998672˚00'00",0,CYG,:,grey,1,0.5
-,19h27m37.1023s, 55.7560043˚00'00",0,CYG,-,19h07m30.3503s, 55.6984482˚00'00",0,CYG,:,grey,1,0.5
-,19h27m14.2920s, 58.2554703˚00'00",0,CYG,-,19h27m37.1023s, 55.7560043˚00'00",0,CYG,:,grey,1,0.5
-,19h48m24.1329s, 58.3138733˚00'00",0,CYG,-,19h27m14.2920s, 58.2554703˚00'00",0,CYG,:,grey,1,0.5
-,19h48m09.4179s, 59.8135414˚00'00",0,CYG,-,19h48m24.1329s, 58.3138733˚00'00",0,CYG,:,grey,1,0.5
-,20h02m17.5830s, 59.8510780˚00'00",0,CYG,-,19h48m09.4179s, 59.8135414˚00'00",0,CYG,:,grey,1,0.5
-,20h34m51.9823s, 59.9322395˚00'00",0,CYG,-,20h02m17.5830s, 59.8510780˚00'00",0,CYG,:,grey,1,0.5
-,20h34m38.5929s, 61.3486443˚00'00",0,CYG,-,20h34m51.9823s, 59.9322395˚00'00",0,CYG,:,grey,1,0.5
-,20h38m29.7107s, 61.3576965˚00'00",0,CYG,-,20h34m38.5929s, 61.3486443˚00'00",0,CYG,:,grey,1,0.5
-,20h39m19.5267s, 55.2753258˚00'00",0,CYG,-,20h38m29.7107s, 61.3576965˚00'00",0,CYG,:,grey,1,0.5
-,22h02m24.5253s, 55.4364891˚00'00",0,CYG,-,20h39m19.5267s, 55.2753258˚00'00",0,CYG,:,grey,1,0.5
-,22h02m33.4104s, 53.3532715˚00'00",0,CYG,-,22h02m24.5253s, 55.4364891˚00'00",0,CYG,:,grey,1,0.5
-,22h03m03.0391s, 44.6036453˚00'00",0,CYG,-,22h02m33.4104s, 53.3532715˚00'00",0,CYG,:,grey,1,0.5
-,21h59m30.8655s, 44.5982513˚00'00",0,CYG,-,22h03m03.0391s, 44.6036453˚00'00",0,CYG,:,grey,1,0.5
-,21h59m31.5935s, 44.3482628˚00'00",0,CYG,-,21h59m30.8655s, 44.5982513˚00'00",0,CYG,:,grey,1,0.5
-,21h57m30.3937s, 44.3451195˚00'00",0,CYG,-,21h59m31.5935s, 44.3482628˚00'00",0,CYG,:,grey,1,0.5
-,21h57m50.6430s, 36.5953827˚00'00",0,CYG,-,21h57m30.3937s, 44.3451195˚00'00",0,CYG,:,grey,1,0.5
-,21h49m16.7916s, 36.5815468˚00'00",0,CYG,-,21h57m50.6430s, 36.5953827˚00'00",0,CYG,:,grey,1,0.5
-,21h49m34.8435s, 28.5817947˚00'00",0,CYG,-,21h49m16.7916s, 36.5815468˚00'00",0,CYG,:,grey,1,0.5
-,21h30m28.8393s, 28.5480537˚00'00",0,CYG,-,21h49m34.8435s, 28.5817947˚00'00",0,CYG,:,grey,1,0.5
-,21h00m20.1395s, 28.4871883˚00'00",0,CYG,-,21h30m28.8393s, 28.5480537˚00'00",0,CYG,:,grey,1,0.5
-,21h00m17.4201s, 29.4871387˚00'00",0,CYG,-,21h00m20.1395s, 28.4871883˚00'00",0,CYG,:,grey,1,0.5
-,19h45m00.2265s, 29.3010578˚00'00",0,CYG,-,21h00m17.4201s, 29.4871387˚00'00",0,CYG,:,grey,1,0.5
-,19h45m05.3283s, 27.8011742˚00'00",0,CYG,-,19h45m00.2265s, 29.3010578˚00'00",0,CYG,:,grey,1,0.5
