Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,20h56m19.4633s,  2.4773185˚00'00",0,DEL,-,20h38m19.1706s,  2.4360874˚00'00",0,DEL,:,grey,1,0.5
-,20h24m18.9843s,  2.4021468˚00'00",0,DEL,-,20h38m19.1706s,  2.4360874˚00'00",0,DEL ,:,grey,1,0.5
-,20h24m03.3495s,  8.9018240˚00'00",0,DEL,-,20h24m18.9843s,  2.4021468˚00'00",0,DEL ,:,grey,1,0.5
-,20h14m32.8020s,  8.8779116˚00'00",0,DEL,-,20h24m03.3495s,  8.9018240˚00'00",0,DEL ,:,grey,1,0.5
-,20h14m14.1594s, 16.1275158˚00'00",0,DEL,-,20h14m32.8020s,  8.8779116˚00'00",0,DEL ,:,grey,1,0.5
-,20h20m44.8677s, 16.1439629˚00'00",0,DEL,-,20h14m14.1594s, 16.1275158˚00'00",0,DEL ,:,grey,1,0.5
-,20h20m32.1717s, 20.8936996˚00'00",0,DEL,-,20h20m44.8677s, 16.1439629˚00'00",0,DEL ,:,grey,1,0.5
-,20h39m35.2649s, 20.9399471˚00'00",0,DEL,-,20h20m32.1717s, 20.8936996˚00'00",0,DEL ,:,grey,1,0.5
-,20h39m37.8396s, 19.9399967˚00'00",0,DEL,-,20h39m35.2649s, 20.9399471˚00'00",0,DEL ,:,grey,1,0.5
-,21h08m42.9079s, 20.0046406˚00'00",0,DEL,-,20h39m37.8396s, 19.9399967˚00'00",0,DEL ,:,grey,1,0.5
-,21h08m59.6073s, 12.3382607˚00'00",0,DEL,-,21h08m42.9079s, 20.0046406˚00'00",0,DEL ,:,grey,1,0.5
-,20h58m28.4631s, 12.3157644˚00'00",0,DEL,-,21h08m59.6073s, 12.3382607˚00'00",0,DEL ,:,grey,1,0.5
-,20h58m41.0631s,  6.4826641˚00'00",0,DEL,-,20h58m28.4631s, 12.3157644˚00'00",0,DEL ,:,grey,1,0.5
-,20h56m10.9212s,  6.4771614˚00'00",0,DEL,-,20h58m41.0631s,  6.4826641˚00'00",0,DEL ,:,grey,1,0.5
-,20h56m19.4633s,  2.4773185˚00'00",0,DEL,-,20h56m10.9212s,  6.4771614˚00'00",0,DEL,:,grey,1,0.5
