Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,03h53m16.5091s,-52.7968445˚00'00",0,DOR,-,03h53m30.5199s,-50.6304779˚00'00",0,DOR,:,grey,1,0.5
-,04h03m11.4951s,-52.8228111˚00'00",0,DOR,-,03h53m16.5091s,-52.7968445˚00'00",0,DOR ,:,grey,1,0.5
-,04h02m46.3005s,-56.1555862˚00'00",0,DOR,-,04h03m11.4951s,-52.8228111˚00'00",0,DOR ,:,grey,1,0.5
-,04h22m36.1110s,-56.2093849˚00'00",0,DOR,-,04h02m46.3005s,-56.1555862˚00'00",0,DOR ,:,grey,1,0.5
-,04h22m13.1016s,-58.7088547˚00'00",0,DOR,-,04h22m36.1110s,-56.2093849˚00'00",0,DOR ,:,grey,1,0.5
-,04h37m05.8883s,-58.7506638˚00'00",0,DOR,-,04h22m13.1016s,-58.7088547˚00'00",0,DOR ,:,grey,1,0.5
-,04h35m10.5645s,-67.2479248˚00'00",0,DOR,-,04h37m05.8883s,-58.7506638˚00'00",0,DOR ,:,grey,1,0.5
-,04h34m19.5657s,-69.7467194˚00'00",0,DOR,-,04h35m10.5645s,-67.2479248˚00'00",0,DOR ,:,grey,1,0.5
-,06h33m49.0615s,-70.1041336˚00'00",0,DOR,-,04h34m19.5657s,-69.7467194˚00'00",0,DOR ,:,grey,1,0.5
-,06h35m44.9397s,-64.1070251˚00'00",0,DOR,-,06h33m49.0615s,-70.1041336˚00'00",0,DOR ,:,grey,1,0.5
-,06h00m41.6743s,-64.0010529˚00'00",0,DOR,-,06h35m44.9397s,-64.1070251˚00'00",0,DOR ,:,grey,1,0.5
-,06h01m22.8147s,-61.0020981˚00'00",0,DOR,-,06h00m41.6743s,-64.0010529˚00'00",0,DOR ,:,grey,1,0.5
-,05h31m25.8273s,-60.9112892˚00'00",0,DOR,-,06h01m22.8147s,-61.0020981˚00'00",0,DOR ,:,grey,1,0.5
-,05h32m04.5129s,-57.4122620˚00'00",0,DOR,-,05h31m25.8273s,-60.9112892˚00'00",0,DOR ,:,grey,1,0.5
-,05h02m11.4583s,-57.3230400˚00'00",0,DOR,-,05h32m04.5129s,-57.4122620˚00'00",0,DOR ,:,grey,1,0.5
-,05h02m42.4842s,-53.8238029˚00'00",0,DOR,-,05h02m11.4583s,-57.3230400˚00'00",0,DOR ,:,grey,1,0.5
-,04h32m52.2589s,-53.7376366˚00'00",0,DOR,-,05h02m42.4842s,-53.8238029˚00'00",0,DOR ,:,grey,1,0.5
-,04h33m26.9395s,-48.7384491˚00'00",0,DOR,-,04h32m52.2589s,-53.7376366˚00'00",0,DOR ,:,grey,1,0.5
-,04h19m31.7727s,-48.6996651˚00'00",0,DOR,-,04h33m26.9395s,-48.7384491˚00'00",0,DOR ,:,grey,1,0.5
-,04h08m35.9779s,-48.6699715˚00'00",0,DOR,-,04h19m31.7727s,-48.6996651˚00'00",0,DOR ,:,grey,1,0.5
-,04h08m23.6735s,-50.6697006˚00'00",0,DOR,-,04h08m35.9779s,-48.6699715˚00'00",0,DOR ,:,grey,1,0.5
-,03h53m30.5199s,-50.6304779˚00'00",0,DOR,-,04h08m23.6735s,-50.6697006˚00'00",0,DOR ,:,grey,1,0.5
