Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,09h22m27.7137s, 72.9741364˚00'00",0,DRA,-,11h27m50.7287s, 72.8125000˚00'00",0,DRA,:,grey,1,0.5
-,09h28m45.8868s, 81.4677658˚00'00",0,DRA,-,09h22m27.7137s, 72.9741364˚00'00",0,DRA ,:,grey,1,0.5
-,10h52m25.2999s, 81.3396072˚00'00",0,DRA,-,09h28m45.8868s, 81.4677658˚00'00",0,DRA ,:,grey,1,0.5
-,10h51m16.4635s, 79.3401794˚00'00",0,DRA,-,10h52m25.2999s, 81.3396072˚00'00",0,DRA ,:,grey,1,0.5
-,11h38m07.5801s, 79.3083420˚00'00",0,DRA,-,10h51m16.4635s, 79.3401794˚00'00",0,DRA ,:,grey,1,0.5
-,11h37m44.3511s, 76.3084106˚00'00",0,DRA,-,11h38m07.5801s, 79.3083420˚00'00",0,DRA ,:,grey,1,0.5
-,13h03m16.9470s, 76.3289108˚00'00",0,DRA,-,11h37m44.3511s, 76.3084106˚00'00",0,DRA ,:,grey,1,0.5
-,13h04m23.3937s, 69.3293610˚00'00",0,DRA,-,13h03m16.9470s, 76.3289108˚00'00",0,DRA ,:,grey,1,0.5
-,14h02m36.1947s, 69.3991165˚00'00",0,DRA,-,13h04m23.3937s, 69.3293610˚00'00",0,DRA ,:,grey,1,0.5
-,14h03m16.9333s, 65.3996506˚00'00",0,DRA,-,14h02m36.1947s, 69.3991165˚00'00",0,DRA ,:,grey,1,0.5
-,15h41m19.0957s, 65.6023483˚00'00",0,DRA,-,14h03m16.9333s, 65.3996506˚00'00",0,DRA ,:,grey,1,0.5
-,15h40m12.1512s, 69.6009445˚00'00",0,DRA,-,15h41m19.0957s, 65.6023483˚00'00",0,DRA ,:,grey,1,0.5
-,16h31m21.8550s, 69.7383041˚00'00",0,DRA,-,15h40m12.1512s, 69.6009445˚00'00",0,DRA ,:,grey,1,0.5
-,16h28m52.9698s, 74.7347870˚00'00",0,DRA,-,16h31m21.8550s, 69.7383041˚00'00",0,DRA ,:,grey,1,0.5
-,17h26m08.7929s, 74.9033127˚00'00",0,DRA,-,16h28m52.9698s, 74.7347870˚00'00",0,DRA ,:,grey,1,0.5
-,17h20m52.2971s, 79.8953476˚00'00",0,DRA,-,17h26m08.7929s, 74.9033127˚00'00",0,DRA ,:,grey,1,0.5
-,17h50m37.4449s, 79.9857483˚00'00",0,DRA,-,17h20m52.2971s, 79.8953476˚00'00",0,DRA ,:,grey,1,0.5
-,17h26m53.3353s, 85.9495697˚00'00",0,DRA,-,17h50m37.4449s, 79.9857483˚00'00",0,DRA ,:,grey,1,0.5
-,20h34m53.0328s, 86.4656219˚00'00",0,DRA,-,17h26m53.3353s, 85.9495697˚00'00",0,DRA ,:,grey,1,0.5
-,20h54m49.4097s, 80.4867859˚00'00",0,DRA,-,20h34m53.0328s, 86.4656219˚00'00",0,DRA ,:,grey,1,0.5
-,20h02m41.7120s, 80.3647766˚00'00",0,DRA,-,20h54m49.4097s, 80.4867859˚00'00",0,DRA ,:,grey,1,0.5
-,20h07m29.6155s, 75.3708725˚00'00",0,DRA,-,20h02m41.7120s, 80.3647766˚00'00",0,DRA ,:,grey,1,0.5
-,20h38m17.5297s, 75.4455261˚00'00",0,DRA,-,20h07m29.6155s, 75.3708725˚00'00",0,DRA ,:,grey,1,0.5
-,20h41m20.1635s, 67.4490280˚00'00",0,DRA,-,20h38m17.5297s, 75.4455261˚00'00",0,DRA ,:,grey,1,0.5
-,20h26m04.1715s, 67.4129562˚00'00",0,DRA,-,20h41m20.1635s, 67.4490280˚00'00",0,DRA ,:,grey,1,0.5
-,20h27m14.8482s, 61.9143791˚00'00",0,DRA,-,20h26m04.1715s, 67.4129562˚00'00",0,DRA ,:,grey,1,0.5
-,20h01m56.4481s, 61.8506203˚00'00",0,DRA,-,20h27m14.8482s, 61.9143791˚00'00",0,DRA ,:,grey,1,0.5
-,20h02m17.5830s, 59.8510780˚00'00",0,DRA,-,20h01m56.4481s, 61.8506203˚00'00",0,DRA ,:,grey,1,0.5
-,19h48m09.4179s, 59.8135414˚00'00",0,DRA,-,20h02m17.5830s, 59.8510780˚00'00",0,DRA ,:,grey,1,0.5
-,19h48m24.1329s, 58.3138733˚00'00",0,DRA,-,19h48m09.4179s, 59.8135414˚00'00",0,DRA ,:,grey,1,0.5
-,19h27m14.2920s, 58.2554703˚00'00",0,DRA,-,19h48m24.1329s, 58.3138733˚00'00",0,DRA ,:,grey,1,0.5
-,19h27m37.1023s, 55.7560043˚00'00",0,DRA,-,19h27m14.2920s, 58.2554703˚00'00",0,DRA ,:,grey,1,0.5
-,19h07m30.3503s, 55.6984482˚00'00",0,DRA,-,19h27m37.1023s, 55.7560043˚00'00",0,DRA ,:,grey,1,0.5
-,19h08m28.9554s, 47.6998672˚00'00",0,DRA,-,19h07m30.3503s, 55.6984482˚00'00",0,DRA ,:,grey,1,0.5
-,18h17m22.1701s, 47.5476036˚00'00",0,DRA,-,19h08m28.9554s, 47.6998672˚00'00",0,DRA ,:,grey,1,0.5
-,18h17m01.8453s, 50.5470886˚00'00",0,DRA,-,18h17m22.1701s, 47.5476036˚00'00",0,DRA ,:,grey,1,0.5
-,17h03m08.7246s, 50.3244438˚00'00",0,DRA,-,18h17m01.8453s, 50.5470886˚00'00",0,DRA ,:,grey,1,0.5
-,17h03m01.6383s, 51.3242683˚00'00",0,DRA,-,17h03m08.7246s, 50.3244438˚00'00",0,DRA ,:,grey,1,0.5
-,15h48m29.9005s, 51.1176796˚00'00",0,DRA,-,17h03m01.6383s, 51.3242683˚00'00",0,DRA ,:,grey,1,0.5
-,15h48m20.2737s, 52.6174774˚00'00",0,DRA,-,15h48m29.9005s, 51.1176796˚00'00",0,DRA ,:,grey,1,0.5
-,15h18m37.7697s, 52.5451736˚00'00",0,DRA,-,15h48m20.2737s, 52.6174774˚00'00",0,DRA ,:,grey,1,0.5
-,15h18m21.8531s, 55.0448647˚00'00",0,DRA,-,15h18m37.7697s, 52.5451736˚00'00",0,DRA ,:,grey,1,0.5
-,14h29m00.2997s, 54.9422379˚00'00",0,DRA,-,15h18m21.8531s, 55.0448647˚00'00",0,DRA ,:,grey,1,0.5
-,14h28m10.8609s, 62.4414825˚00'00",0,DRA,-,14h29m00.2997s, 54.9422379˚00'00",0,DRA ,:,grey,1,0.5
-,13h34m17.6739s, 62.3593979˚00'00",0,DRA,-,14h28m10.8609s, 62.4414825˚00'00",0,DRA ,:,grey,1,0.5
-,13h34m12.1293s, 63.3593445˚00'00",0,DRA,-,13h34m17.6739s, 62.3593979˚00'00",0,DRA ,:,grey,1,0.5
-,12h06m19.5743s, 63.3039627˚00'00",0,DRA,-,13h34m12.1293s, 63.3593445˚00'00",0,DRA ,:,grey,1,0.5
-,12h06m19.0213s, 65.8039627˚00'00",0,DRA,-,12h06m19.5743s, 63.3039627˚00'00",0,DRA ,:,grey,1,0.5
-,11h27m23.8431s, 65.8126068˚00'00",0,DRA,-,12h06m19.0213s, 65.8039627˚00'00",0,DRA ,:,grey,1,0.5
-,11h27m50.7287s, 72.8125000˚00'00",0,DRA,-,11h27m23.8431s, 65.8126068˚00'00",0,DRA,:,grey,1,0.5
