Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,03h41m24.6973s,  0.4037257˚00'00",0,ERI,-,03h41m20.5397s, -1.3461887˚00'00",0,ERI,:,grey,1,0.5
-,04h43m24.5665s,  0.2375014˚00'00",0,ERI,-,03h41m24.6973s,  0.4037257˚00'00",0,ERI ,:,grey,1,0.5
-,04h46m24.5553s,  0.2289162˚00'00",0,ERI,-,04h43m24.5665s,  0.2375014˚00'00",0,ERI ,:,grey,1,0.5
-,04h46m13.5261s, -3.7708201˚00'00",0,ERI,-,04h46m24.5553s,  0.2289162˚00'00",0,ERI ,:,grey,1,0.5
-,05h11m13.0549s, -3.8437285˚00'00",0,ERI,-,04h46m13.5261s, -3.7708201˚00'00",0,ERI ,:,grey,1,0.5
-,05h10m52.8075s,-10.8432293˚00'00",0,ERI,-,05h11m13.0549s, -3.8437285˚00'00",0,ERI ,:,grey,1,0.5
-,05h00m53.2203s,-10.8138046˚00'00",0,ERI,-,05h10m52.8075s,-10.8432293˚00'00",0,ERI ,:,grey,1,0.5
-,05h00m42.8915s,-14.3135529˚00'00",0,ERI,-,05h00m53.2203s,-10.8138046˚00'00",0,ERI ,:,grey,1,0.5
-,04h55m43.1515s,-14.2989721˚00'00",0,ERI,-,05h00m42.8915s,-14.3135529˚00'00",0,ERI ,:,grey,1,0.5
-,04h55m02.2311s,-27.0479794˚00'00",0,ERI,-,04h55m43.1515s,-14.2989721˚00'00",0,ERI ,:,grey,1,0.5
-,04h47m03.1995s,-27.0248775˚00'00",0,ERI,-,04h55m02.2311s,-27.0479794˚00'00",0,ERI ,:,grey,1,0.5
-,04h46m53.3805s,-29.7746429˚00'00",0,ERI,-,04h47m03.1995s,-27.0248775˚00'00",0,ERI ,:,grey,1,0.5
-,04h39m54.3963s,-29.7546597˚00'00",0,ERI,-,04h46m53.3805s,-29.7746429˚00'00",0,ERI ,:,grey,1,0.5
-,04h39m26.9701s,-36.7540054˚00'00",0,ERI,-,04h39m54.3963s,-29.7546597˚00'00",0,ERI ,:,grey,1,0.5
-,04h20m31.1640s,-36.7010231˚00'00",0,ERI,-,04h39m26.9701s,-36.7540054˚00'00",0,ERI ,:,grey,1,0.5
-,04h20m18.3390s,-39.7007294˚00'00",0,ERI,-,04h20m31.1640s,-36.7010231˚00'00",0,ERI ,:,grey,1,0.5
-,03h56m25.4123s,-39.6368256˚00'00",0,ERI,-,04h20m18.3390s,-39.7007294˚00'00",0,ERI ,:,grey,1,0.5
-,03h56m07.5275s,-43.6364403˚00'00",0,ERI,-,03h56m25.4123s,-39.6368256˚00'00",0,ERI ,:,grey,1,0.5
-,03h29m18.4254s,-43.5694046˚00'00",0,ERI,-,03h56m07.5275s,-43.6364403˚00'00",0,ERI ,:,grey,1,0.5
-,03h29m09.3606s,-45.5692215˚00'00",0,ERI,-,03h29m18.4254s,-43.5694046˚00'00",0,ERI ,:,grey,1,0.5
-,03h04m21.7851s,-45.5124779˚00'00",0,ERI,-,03h29m09.3606s,-45.5692215˚00'00",0,ERI ,:,grey,1,0.5
-,03h04m08.2833s,-48.5122337˚00'00",0,ERI,-,03h04m21.7851s,-45.5124779˚00'00",0,ERI ,:,grey,1,0.5
-,02h44m20.4741s,-48.4710045˚00'00",0,ERI,-,03h04m08.2833s,-48.5122337˚00'00",0,ERI ,:,grey,1,0.5
-,02h44m11.4465s,-50.4708595˚00'00",0,ERI,-,02h44m20.4741s,-48.4710045˚00'00",0,ERI ,:,grey,1,0.5
-,02h29m21.8904s,-50.4425697˚00'00",0,ERI,-,02h44m11.4465s,-50.4708595˚00'00",0,ERI ,:,grey,1,0.5
-,02h29m08.0031s,-53.4423561˚00'00",0,ERI,-,02h29m21.8904s,-50.4425697˚00'00",0,ERI ,:,grey,1,0.5
-,02h14m20.1945s,-53.4164696˚00'00",0,ERI,-,02h29m08.0031s,-53.4423561˚00'00",0,ERI ,:,grey,1,0.5
-,02h13m57.4619s,-57.9161568˚00'00",0,ERI,-,02h14m20.1945s,-53.4164696˚00'00",0,ERI ,:,grey,1,0.5
-,01h24m49.4949s,-57.8484154˚00'00",0,ERI,-,02h13m57.4619s,-57.9161568˚00'00",0,ERI ,:,grey,1,0.5
-,01h25m05.5830s,-52.8485603˚00'00",0,ERI,-,01h24m49.4949s,-57.8484154˚00'00",0,ERI ,:,grey,1,0.5
-,01h39m52.1651s,-52.8658562˚00'00",0,ERI,-,01h25m05.5830s,-52.8485603˚00'00",0,ERI ,:,grey,1,0.5
-,01h39m58.5234s,-50.8659210˚00'00",0,ERI,-,01h39m52.1651s,-52.8658562˚00'00",0,ERI ,:,grey,1,0.5
-,01h54m46.3817s,-50.8859215˚00'00",0,ERI,-,01h39m58.5234s,-50.8659210˚00'00",0,ERI ,:,grey,1,0.5
-,01h54m57.1975s,-47.5527229˚00'00",0,ERI,-,01h54m46.3817s,-50.8859215˚00'00",0,ERI ,:,grey,1,0.5
-,02h24m36.7074s,-47.6004944˚00'00",0,ERI,-,01h54m57.1975s,-47.5527229˚00'00",0,ERI ,:,grey,1,0.5
