Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,01h45m51.8397s,-23.7562580˚00'00",0,FOR,-,01h45m50.1333s,-24.8729095˚00'00",0,FOR,:,grey,1,0.5
-,02h44m35.7021s,-23.8536034˚00'00",0,FOR,-,01h45m51.8397s,-23.7562580˚00'00",0,FOR ,:,grey,1,0.5
-,03h50m21.3363s,-24.0033779˚00'00",0,FOR,-,02h44m35.7021s,-23.8536034˚00'00",0,FOR ,:,grey,1,0.5
-,03h49m43.3229s,-35.6192436˚00'00",0,FOR,-,03h50m21.3363s,-24.0033779˚00'00",0,FOR ,:,grey,1,0.5
-,03h34m47.9053s,-35.5820351˚00'00",0,FOR,-,03h49m43.3229s,-35.6192436˚00'00",0,FOR ,:,grey,1,0.5
-,03h34m34.6281s,-39.1650963˚00'00",0,FOR,-,03h34m47.9053s,-35.5820351˚00'00",0,FOR ,:,grey,1,0.5
-,03h04m46.3973s,-39.0962563˚00'00",0,FOR,-,03h34m34.6281s,-39.1650963˚00'00",0,FOR ,:,grey,1,0.5
-,03h04m44.9425s,-39.5128975˚00'00",0,FOR,-,03h04m46.3973s,-39.0962563˚00'00",0,FOR ,:,grey,1,0.5
-,02h25m03.3633s,-39.4342155˚00'00",0,FOR,-,03h04m44.9425s,-39.5128975˚00'00",0,FOR ,:,grey,1,0.5
-,01h45m24.1747s,-39.3726234˚00'00",0,FOR,-,02h25m03.3633s,-39.4342155˚00'00",0,FOR ,:,grey,1,0.5
-,01h45m50.1333s,-24.8729095˚00'00",0,FOR,-,01h45m24.1747s,-39.3726234˚00'00",0,FOR ,:,grey,1,0.5
