Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,06h25m29.4633s, 11.9332972˚00'00",0,GEM,-,07h02m58.2756s, 11.8213453˚00'00",0,GEM,:,grey,1,0.5
-,06h25m46.5402s, 17.4328651˚00'00",0,GEM,-,06h25m29.4633s, 11.9332972˚00'00",0,GEM ,:,grey,1,0.5
-,06h20m16.6981s, 17.4495068˚00'00",0,GEM,-,06h25m46.5402s, 17.4328651˚00'00",0,GEM ,:,grey,1,0.5
-,06h20m29.7906s, 21.4491768˚00'00",0,GEM,-,06h20m16.6981s, 17.4495068˚00'00",0,GEM ,:,grey,1,0.5
-,06h00m30.0373s, 21.5098724˚00'00",0,GEM,-,06h20m29.7906s, 21.4491768˚00'00",0,GEM ,:,grey,1,0.5
-,06h00m34.5690s, 22.8430862˚00'00",0,GEM,-,06h00m30.0373s, 21.5098724˚00'00",0,GEM ,:,grey,1,0.5
-,06h00m53.0571s, 28.0092907˚00'00",0,GEM,-,06h00m34.5690s, 22.8430862˚00'00",0,GEM ,:,grey,1,0.5
-,06h39m51.7579s, 27.8913116˚00'00",0,GEM,-,06h00m53.0571s, 28.0092907˚00'00",0,GEM ,:,grey,1,0.5
-,06h40m21.6663s, 35.3905640˚00'00",0,GEM,-,06h39m51.7579s, 27.8913116˚00'00",0,GEM ,:,grey,1,0.5
-,07h30m14.5725s, 35.2445297˚00'00",0,GEM,-,06h40m21.6663s, 35.3905640˚00'00",0,GEM ,:,grey,1,0.5
-,07h53m09.5301s, 35.1810532˚00'00",0,GEM,-,07h30m14.5725s, 35.2445297˚00'00",0,GEM ,:,grey,1,0.5
-,07h53m01.9392s, 33.1812286˚00'00",0,GEM,-,07h53m09.5301s, 35.1810532˚00'00",0,GEM ,:,grey,1,0.5
-,08h07m58.3755s, 33.1415138˚00'00",0,GEM,-,07h53m01.9392s, 33.1812286˚00'00",0,GEM ,:,grey,1,0.5
-,08h07m39.8327s, 27.6419144˚00'00",0,GEM,-,08h07m58.3755s, 33.1415138˚00'00",0,GEM ,:,grey,1,0.5
-,08h00m41.1951s, 27.6602821˚00'00",0,GEM,-,08h07m39.8327s, 27.6419144˚00'00",0,GEM ,:,grey,1,0.5
-,08h00m16.8297s, 19.6608200˚00'00",0,GEM,-,08h00m41.1951s, 27.6602821˚00'00",0,GEM ,:,grey,1,0.5
-,07h55m47.4107s, 19.6728077˚00'00",0,GEM,-,08h00m16.8297s, 19.6608200˚00'00",0,GEM ,:,grey,1,0.5
-,07h55m29.1853s, 13.1732168˚00'00",0,GEM,-,07h55m47.4107s, 19.6728077˚00'00",0,GEM ,:,grey,1,0.5
-,07h37m00.6546s, 13.2238064˚00'00",0,GEM,-,07h55m29.1853s, 13.1732168˚00'00",0,GEM ,:,grey,1,0.5
-,07h36m57.8409s, 12.2238722˚00'00",0,GEM,-,07h37m00.6546s, 13.2238064˚00'00",0,GEM ,:,grey,1,0.5
-,07h06m59.5746s, 12.3095980˚00'00",0,GEM,-,07h36m57.8409s, 12.2238722˚00'00",0,GEM ,:,grey,1,0.5
-,07h06m52.2911s,  9.8097754˚00'00",0,GEM,-,07h06m59.5746s, 12.3095980˚00'00",0,GEM ,:,grey,1,0.5
-,07h02m52.4303s,  9.8214874˚00'00",0,GEM,-,07h06m52.2911s,  9.8097754˚00'00",0,GEM ,:,grey,1,0.5
-,07h02m58.2756s, 11.8213453˚00'00",0,GEM,-,07h02m52.4303s,  9.8214874˚00'00",0,GEM ,:,grey,1,0.5
