Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,16h22m14.0628s,  3.7033811˚00'00",0,HER,-,16h51m13.4183s,  3.7852108˚00'00",0,HER,:,grey,1,0.5
-,16h11m14.3203s,  3.6735139˚00'00",0,HER,-,16h22m14.0628s,  3.7033811˚00'00",0,HER ,:,grey,1,0.5
-,16h10m42.3912s, 15.6728001˚00'00",0,HER,-,16h11m14.3203s,  3.6735139˚00'00",0,HER ,:,grey,1,0.5
-,16h00m43.4577s, 15.6463346˚00'00",0,HER,-,16h10m42.3912s, 15.6728001˚00'00",0,HER ,:,grey,1,0.5
-,16h00m26.6418s, 21.6459675˚00'00",0,HER,-,16h00m43.4577s, 15.6463346˚00'00",0,HER ,:,grey,1,0.5
-,16h07m25.5781s, 21.6644115˚00'00",0,HER,-,16h00m26.6418s, 21.6459675˚00'00",0,HER ,:,grey,1,0.5
-,16h07m13.3763s, 25.6641407˚00'00",0,HER,-,16h07m25.5781s, 21.6644115˚00'00",0,HER ,:,grey,1,0.5
-,16h15m12.0438s, 25.6855946˚00'00",0,HER,-,16h07m13.3763s, 25.6641407˚00'00",0,HER ,:,grey,1,0.5
-,16h15m08.8095s, 26.6855240˚00'00",0,HER,-,16h15m12.0438s, 25.6855946˚00'00",0,HER ,:,grey,1,0.5
-,16h25m07.1526s, 26.7128716˚00'00",0,HER,-,16h15m08.8095s, 26.6855240˚00'00",0,HER ,:,grey,1,0.5
-,16h24m17.2677s, 39.7117195˚00'00",0,HER,-,16h25m07.1526s, 26.7128716˚00'00",0,HER ,:,grey,1,0.5
-,15h49m27.7025s, 39.6189079˚00'00",0,HER,-,16h24m17.2677s, 39.7117195˚00'00",0,HER ,:,grey,1,0.5
-,15h48m29.9005s, 51.1176796˚00'00",0,HER,-,15h49m27.7025s, 39.6189079˚00'00",0,HER ,:,grey,1,0.5
-,17h03m01.6383s, 51.3242683˚00'00",0,HER,-,15h48m29.9005s, 51.1176796˚00'00",0,HER ,:,grey,1,0.5
-,17h03m08.7246s, 50.3244438˚00'00",0,HER,-,17h03m01.6383s, 51.3242683˚00'00",0,HER ,:,grey,1,0.5
-,18h17m01.8453s, 50.5470886˚00'00",0,HER,-,17h03m08.7246s, 50.3244438˚00'00",0,HER ,:,grey,1,0.5
-,18h17m22.1701s, 47.5476036˚00'00",0,HER,-,18h17m01.8453s, 50.5470886˚00'00",0,HER ,:,grey,1,0.5
-,18h13m52.0497s, 47.5369873˚00'00",0,HER,-,18h17m22.1701s, 47.5476036˚00'00",0,HER ,:,grey,1,0.5
-,18h15m17.8527s, 30.0391560˚00'00",0,HER,-,18h13m52.0497s, 47.5369873˚00'00",0,HER ,:,grey,1,0.5
-,18h26m48.1855s, 30.0739765˚00'00",0,HER,-,18h15m17.8527s, 30.0391560˚00'00",0,HER ,:,grey,1,0.5
-,18h27m03.0927s, 26.0743504˚00'00",0,HER,-,18h26m48.1855s, 30.0739765˚00'00",0,HER ,:,grey,1,0.5
-,18h57m04.7682s, 26.1640968˚00'00",0,HER,-,18h27m03.0927s, 26.0743504˚00'00",0,HER ,:,grey,1,0.5
-,18h57m06.5189s, 25.6641407˚00'00",0,HER,-,18h57m04.7682s, 26.1640968˚00'00",0,HER ,:,grey,1,0.5
-,18h57m21.3919s, 21.2478352˚00'00",0,HER,-,18h57m06.5189s, 25.6641407˚00'00",0,HER ,:,grey,1,0.5
-,18h57m29.6727s, 18.6647091˚00'00",0,HER,-,18h57m21.3919s, 21.2478352˚00'00",0,HER ,:,grey,1,0.5
-,18h57m49.5029s, 12.1651964˚00'00",0,HER,-,18h57m29.6727s, 18.6647091˚00'00",0,HER ,:,grey,1,0.5
-,18h45m33.1308s, 12.1287737˚00'00",0,HER,-,18h57m49.5029s, 12.1651964˚00'00",0,HER ,:,grey,1,0.5
-,18h20m48.7403s, 12.0543308˚00'00",0,HER,-,18h45m33.1308s, 12.1287737˚00'00",0,HER ,:,grey,1,0.5
-,18h20m41.5857s, 14.3874788˚00'00",0,HER,-,18h20m48.7403s, 12.0543308˚00'00",0,HER ,:,grey,1,0.5
-,17h20m42.4507s, 14.2060347˚00'00",0,HER,-,18h20m41.5857s, 14.3874788˚00'00",0,HER ,:,grey,1,0.5
-,17h20m47.0033s, 12.7061481˚00'00",0,HER,-,17h20m42.4507s, 14.2060347˚00'00",0,HER ,:,grey,1,0.5
-,16h50m48.3558s, 12.6179380˚00'00",0,HER,-,17h20m47.0033s, 12.7061481˚00'00",0,HER ,:,grey,1,0.5
-,16h51m13.4183s,  3.7852108˚00'00",0,HER,-,16h50m48.3558s, 12.6179380˚00'00",0,HER ,:,grey,1,0.5
