Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,04h20m18.3390s,-39.7007294˚00'00",0,HOR,-,03h56m25.4123s,-39.6368256˚00'00",0,HOR,:,grey,1,0.5
-,04h19m31.7727s,-48.6996651˚00'00",0,HOR,-,04h20m18.3390s,-39.7007294˚00'00",0,HOR,:,grey,1,0.5 
-,04h08m35.9779s,-48.6699715˚00'00",0,HOR,-,04h19m31.7727s,-48.6996651˚00'00",0,HOR,:,grey,1,0.5 
-,04h08m23.6735s,-50.6697006˚00'00",0,HOR,-,04h08m35.9779s,-48.6699715˚00'00",0,HOR,:,grey,1,0.5 
-,03h53m30.5199s,-50.6304779˚00'00",0,HOR,-,04h08m23.6735s,-50.6697006˚00'00",0,HOR,:,grey,1,0.5 
-,03h53m16.5091s,-52.7968445˚00'00",0,HOR,-,03h53m30.5199s,-50.6304779˚00'00",0,HOR,:,grey,1,0.5 
-,03h33m27.6005s,-52.7470779˚00'00",0,HOR,-,03h53m16.5091s,-52.7968445˚00'00",0,HOR,:,grey,1,0.5 
-,03h32m56.8359s,-57.0797844˚00'00",0,HOR,-,03h33m27.6005s,-52.7470779˚00'00",0,HOR,:,grey,1,0.5 
-,03h15m09.8715s,-57.0377846˚00'00",0,HOR,-,03h32m56.8359s,-57.0797844˚00'00",0,HOR,:,grey,1,0.5 
-,03h13m27.0455s,-67.0358200˚00'00",0,HOR,-,03h15m09.8715s,-57.0377846˚00'00",0,HOR,:,grey,1,0.5 
-,02h12m48.5665s,-66.9151917˚00'00",0,HOR,-,03h13m27.0455s,-67.0358200˚00'00",0,HOR,:,grey,1,0.5 
-,02h13m57.4619s,-57.9161568˚00'00",0,HOR,-,02h12m48.5665s,-66.9151917˚00'00",0,HOR,:,grey,1,0.5 
-,02h14m20.1945s,-53.4164696˚00'00",0,HOR,-,02h13m57.4619s,-57.9161568˚00'00",0,HOR,:,grey,1,0.5 
-,02h29m08.0031s,-53.4423561˚00'00",0,HOR,-,02h14m20.1945s,-53.4164696˚00'00",0,HOR,:,grey,1,0.5 
-,02h29m21.8904s,-50.4425697˚00'00",0,HOR,-,02h29m08.0031s,-53.4423561˚00'00",0,HOR,:,grey,1,0.5 
-,02h44m11.4465s,-50.4708595˚00'00",0,HOR,-,02h29m21.8904s,-50.4425697˚00'00",0,HOR,:,grey,1,0.5 
-,02h44m20.4741s,-48.4710045˚00'00",0,HOR,-,02h44m11.4465s,-50.4708595˚00'00",0,HOR,:,grey,1,0.5 
-,03h04m08.2833s,-48.5122337˚00'00",0,HOR,-,02h44m20.4741s,-48.4710045˚00'00",0,HOR,:,grey,1,0.5 
-,03h04m21.7851s,-45.5124779˚00'00",0,HOR,-,03h04m08.2833s,-48.5122337˚00'00",0,HOR,:,grey,1,0.5 
-,03h29m09.3606s,-45.5692215˚00'00",0,HOR,-,03h04m21.7851s,-45.5124779˚00'00",0,HOR,:,grey,1,0.5 
-,03h29m18.4254s,-43.5694046˚00'00",0,HOR,-,03h29m09.3606s,-45.5692215˚00'00",0,HOR,:,grey,1,0.5 
-,03h56m07.5275s,-43.6364403˚00'00",0,HOR,-,03h29m18.4254s,-43.5694046˚00'00",0,HOR,:,grey,1,0.5 
-,03h56m25.4123s,-39.6368256˚00'00",0,HOR,-,03h56m07.5275s,-43.6364403˚00'00",0,HOR,:,grey,1,0.5 
