Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,08h11m23.7617s, -0.3693900˚00'00",0,HYA,-,08h10m56.2029s,-11.3687992˚00'00",0,HYA,:,grey,1,0.5
-,08h11m41.1339s,  6.6302376˚00'00",0,HYA,-,08h11m23.7617s, -0.3693900˚00'00",0,HYA,:,grey,1,0.5 
-,09h21m37.0221s,  6.4700689˚00'00",0,HYA,-,08h11m41.1339s,  6.6302376˚00'00",0,HYA,:,grey,1,0.5 
-,09h41m35.6201s,  6.4327669˚00'00",0,HYA,-,09h21m37.0221s,  6.4700689˚00'00",0,HYA,:,grey,1,0.5 
-,09h41m23.7375s, -0.5670585˚00'00",0,HYA,-,09h41m35.6201s,  6.4327669˚00'00",0,HYA,:,grey,1,0.5 
-,09h41m04.8653s,-11.5667810˚00'00",0,HYA,-,09h41m23.7375s, -0.5670585˚00'00",0,HYA,:,grey,1,0.5 
-,10h51m13.8993s,-11.6621428˚00'00",0,HYA,-,09h41m04.8653s,-11.5667810˚00'00",0,HYA,:,grey,1,0.5 
-,10h51m06.1297s,-19.6620827˚00'00",0,HYA,-,10h51m13.8993s,-11.6621428˚00'00",0,HYA,:,grey,1,0.5 
-,10h56m07.3407s,-19.6666222˚00'00",0,HYA,-,10h51m06.1297s,-19.6620827˚00'00",0,HYA,:,grey,1,0.5 
-,10h56m01.9399s,-25.1665821˚00'00",0,HYA,-,10h56m07.3407s,-19.6666222˚00'00",0,HYA,:,grey,1,0.5 
-,11h56m21.9145s,-25.1957951˚00'00",0,HYA,-,10h56m01.9399s,-25.1665821˚00'00",0,HYA,:,grey,1,0.5 
-,12h41m37.0860s,-25.1864014˚00'00",0,HYA,-,11h56m21.9145s,-25.1957951˚00'00",0,HYA,:,grey,1,0.5 
-,12h41m35.6406s,-22.6864090˚00'00",0,HYA,-,12h41m37.0860s,-25.1864014˚00'00",0,HYA,:,grey,1,0.5 
-,12h56m40.0488s,-22.6773415˚00'00",0,HYA,-,12h41m35.6406s,-22.6864090˚00'00",0,HYA,:,grey,1,0.5 
-,14h22m03.1419s,-22.5727749˚00'00",0,HYA,-,12h56m40.0488s,-22.6773415˚00'00",0,HYA,:,grey,1,0.5 
-,14h22m08.0857s,-25.0727024˚00'00",0,HYA,-,14h22m03.1419s,-22.5727749˚00'00",0,HYA,:,grey,1,0.5 
-,15h02m18.3729s,-24.9951096˚00'00",0,HYA,-,14h22m08.0857s,-25.0727024˚00'00",0,HYA,:,grey,1,0.5 
-,15h02m31.3847s,-29.9948788˚00'00",0,HYA,-,15h02m18.3729s,-24.9951096˚00'00",0,HYA,:,grey,1,0.5 
-,12h41m40.1759s,-30.1863899˚00'00",0,HYA,-,15h02m31.3847s,-29.9948788˚00'00",0,HYA,:,grey,1,0.5 
-,12h41m42.5277s,-33.6863785˚00'00",0,HYA,-,12h41m40.1759s,-30.1863899˚00'00",0,HYA,:,grey,1,0.5 
-,12h21m32.9843s,-33.6938934˚00'00",0,HYA,-,12h41m42.5277s,-33.6863785˚00'00",0,HYA,:,grey,1,0.5 
-,12h21m33.6711s,-35.6938896˚00'00",0,HYA,-,12h21m32.9843s,-33.6938934˚00'00",0,HYA,:,grey,1,0.5 
-,11h05m55.0471s,-35.6746559˚00'00",0,HYA,-,12h21m33.6711s,-35.6938896˚00'00",0,HYA,:,grey,1,0.5 
-,10h55m50.0437s,-35.6664963˚00'00",0,HYA,-,11h05m55.0471s,-35.6746559˚00'00",0,HYA,:,grey,1,0.5 
-,10h55m54.6924s,-31.8332005˚00'00",0,HYA,-,10h55m50.0437s,-35.6664963˚00'00",0,HYA,:,grey,1,0.5 
-,10h40m48.3309s,-31.8185863˚00'00",0,HYA,-,10h55m54.6924s,-31.8332005˚00'00",0,HYA,:,grey,1,0.5 
-,10h40m51.0945s,-29.8186131˚00'00",0,HYA,-,10h40m48.3309s,-31.8185863˚00'00",0,HYA,:,grey,1,0.5 
-,10h20m43.5185s,-29.7947845˚00'00",0,HYA,-,10h40m51.0945s,-29.8186131˚00'00",0,HYA,:,grey,1,0.5 
-,10h20m47.8410s,-27.1281624˚00'00",0,HYA,-,10h20m43.5185s,-29.7947845˚00'00",0,HYA,:,grey,1,0.5 
-,09h50m38.2279s,-27.0835037˚00'00",0,HYA,-,10h20m47.8410s,-27.1281624˚00'00",0,HYA,:,grey,1,0.5 
-,09h50m43.1235s,-24.5835705˚00'00",0,HYA,-,09h50m38.2279s,-27.0835037˚00'00",0,HYA,:,grey,1,0.5 
-,09h27m37.0404s,-24.5425186˚00'00",0,HYA,-,09h50m43.1235s,-24.5835705˚00'00",0,HYA,:,grey,1,0.5 
-,09h10m32.8263s,-24.5086308˚00'00",0,HYA,-,09h27m37.0404s,-24.5425186˚00'00",0,HYA,:,grey,1,0.5 
-,09h10m44.3928s,-19.5088310˚00'00",0,HYA,-,09h10m32.8263s,-24.5086308˚00'00",0,HYA,:,grey,1,0.5 
-,08h40m39.2430s,-19.4423733˚00'00",0,HYA,-,09h10m44.3928s,-19.5088310˚00'00",0,HYA,:,grey,1,0.5 
-,08h40m44.2416s,-17.4424706˚00'00",0,HYA,-,08h40m39.2430s,-19.4423733˚00'00",0,HYA,:,grey,1,0.5 
-,08h27m42.5027s,-17.4112568˚00'00",0,HYA,-,08h40m44.2416s,-17.4424706˚00'00",0,HYA,:,grey,1,0.5 
-,08h27m57.5471s,-11.4115648˚00'00",0,HYA,-,08h27m42.5027s,-17.4112568˚00'00",0,HYA,:,grey,1,0.5 
-,08h10m56.2029s,-11.3687992˚00'00",0,HYA,-,08h27m57.5471s,-11.4115648˚00'00",0,HYA,:,grey,1,0.5 
