Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,04h35m10.5645s,-67.2479248˚00'00",0,HYI,-,03h13m27.0455s,-67.0358200˚00'00",0,HYI,:,grey,1,0.5
-,04h34m19.5657s,-69.7467194˚00'00",0,HYI,-,04h35m10.5645s,-67.2479248˚00'00",0,HYI,:,grey,1,0.5 
-,04h31m49.7964s,-74.7431641˚00'00",0,HYI,-,04h34m19.5657s,-69.7467194˚00'00",0,HYI,:,grey,1,0.5 
-,03h28m18.1877s,-74.5741272˚00'00",0,HYI,-,04h31m49.7964s,-74.7431641˚00'00",0,HYI,:,grey,1,0.5 
-,03h20m21.9973s,-82.0644531˚00'00",0,HYI,-,03h28m18.1877s,-74.5741272˚00'00",0,HYI,:,grey,1,0.5 
-,00h06m08.0139s,-81.8039551˚00'00",0,HYI,-,03h20m21.9973s,-82.0644531˚00'00",0,HYI,:,grey,1,0.5 
-,00h06m15.9113s,-74.3039627˚00'00",0,HYI,-,00h06m08.0139s,-81.8039551˚00'00",0,HYI,:,grey,1,0.5 
-,00h49m19.7850s,-74.3185730˚00'00",0,HYI,-,00h06m15.9113s,-74.3039627˚00'00",0,HYI,:,grey,1,0.5 
-,00h49m10.8995s,-75.3185272˚00'00",0,HYI,-,00h49m19.7850s,-74.3185730˚00'00",0,HYI,:,grey,1,0.5 
-,01h22m36.9721s,-75.3472214˚00'00",0,HYI,-,00h49m10.8995s,-75.3185272˚00'00",0,HYI,:,grey,1,0.5 
-,01h24m49.4949s,-57.8484154˚00'00",0,HYI,-,01h22m36.9721s,-75.3472214˚00'00",0,HYI,:,grey,1,0.5 
-,02h13m57.4619s,-57.9161568˚00'00",0,HYI,-,01h24m49.4949s,-57.8484154˚00'00",0,HYI,:,grey,1,0.5 
-,02h12m48.5665s,-66.9151917˚00'00",0,HYI,-,02h13m57.4619s,-57.9161568˚00'00",0,HYI,:,grey,1,0.5 
-,03h13m27.0455s,-67.0358200˚00'00",0,HYI,-,02h12m48.5665s,-66.9151917˚00'00",0,HYI,:,grey,1,0.5 
