Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,21h32m44.3418s,-74.4544678˚00'00",0,IND,-,21h29m23.6763s,-59.4576836˚00'00",0,IND,:,grey,1,0.5
-,23h27m59.4799s,-74.3124619˚00'00",0,IND,-,21h32m44.3418s,-74.4544678˚00'00",0,IND,:,grey,1,0.5
-,23h27m26.7339s,-66.8125992˚00'00",0,IND,-,23h27m59.4799s,-74.3124619˚00'00",0,IND,:,grey,1,0.5
-,22h09m35.6562s,-66.8899918˚00'00",0,IND,-,23h27m26.7339s,-66.8125992˚00'00",0,IND,:,grey,1,0.5
-,22h08m27.2868s,-56.3908348˚00'00",0,IND,-,22h09m35.6562s,-66.8899918˚00'00",0,IND,:,grey,1,0.5
-,22h07m59.7180s,-49.3911743˚00'00",0,IND,-,22h08m27.2868s,-56.3908348˚00'00",0,IND,:,grey,1,0.5
-,21h28m28.1679s,-49.4585724˚00'00",0,IND,-,22h07m59.7180s,-49.3911743˚00'00",0,IND,:,grey,1,0.5
-,21h28m10.1571s,-44.9588585˚00'00",0,IND,-,21h28m28.1679s,-49.4585724˚00'00",0,IND,:,grey,1,0.5
-,20h28m40.6308s,-45.0900002˚00'00",0,IND,-,21h28m10.1571s,-44.9588585˚00'00",0,IND,:,grey,1,0.5
-,20h29m50.1123s,-56.5885773˚00'00",0,IND,-,20h28m40.6308s,-45.0900002˚00'00",0,IND,:,grey,1,0.5
-,20h30m15.5523s,-59.5880547˚00'00",0,IND,-,20h29m50.1123s,-56.5885773˚00'00",0,IND,:,grey,1,0.5
-,21h29m23.6763s,-59.4576836˚00'00",0,IND,-,20h30m15.5523s,-59.5880547˚00'00",0,IND,:,grey,1,0.5
