Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,21h57m50.6430s, 36.5953827˚00'00",0,LAC,-,22h05m24.1105s, 36.6069069˚00'00",0,LAC,:,grey,1,0.5
-,21h57m30.3937s, 44.3451195˚00'00",0,LAC,-,21h57m50.6430s, 36.5953827˚00'00",0,LAC,:,grey,1,0.5 
-,21h59m31.5935s, 44.3482628˚00'00",0,LAC,-,21h57m30.3937s, 44.3451195˚00'00",0,LAC,:,grey,1,0.5 
-,21h59m30.8655s, 44.5982513˚00'00",0,LAC,-,21h59m31.5935s, 44.3482628˚00'00",0,LAC,:,grey,1,0.5 
-,22h03m03.0391s, 44.6036453˚00'00",0,LAC,-,21h59m30.8655s, 44.5982513˚00'00",0,LAC,:,grey,1,0.5 
-,22h02m33.4104s, 53.3532715˚00'00",0,LAC,-,22h03m03.0391s, 44.6036453˚00'00",0,LAC,:,grey,1,0.5 
-,22h12m41.9223s, 53.3679428˚00'00",0,LAC,-,22h02m33.4104s, 53.3532715˚00'00",0,LAC,:,grey,1,0.5 
-,22h12m33.0303s, 55.6178436˚00'00",0,LAC,-,22h12m41.9223s, 53.3679428˚00'00",0,LAC,:,grey,1,0.5 
-,22h23m43.5123s, 55.6326256˚00'00",0,LAC,-,22h12m33.0303s, 55.6178436˚00'00",0,LAC,:,grey,1,0.5 
-,22h23m38.6232s, 56.8825760˚00'00",0,LAC,-,22h23m43.5123s, 55.6326256˚00'00",0,LAC,:,grey,1,0.5 
-,22h57m12.9665s, 56.9179611˚00'00",0,LAC,-,22h23m38.6232s, 56.8825760˚00'00",0,LAC,:,grey,1,0.5 
-,22h57m22.2843s, 53.1680298˚00'00",0,LAC,-,22h57m12.9665s, 56.9179611˚00'00",0,LAC,:,grey,1,0.5 
-,22h57m51.6729s, 35.1682358˚00'00",0,LAC,-,22h57m22.2843s, 53.1680298˚00'00",0,LAC,:,grey,1,0.5 
-,22h54m50.2063s, 35.1656151˚00'00",0,LAC,-,22h57m51.6729s, 35.1682358˚00'00",0,LAC,:,grey,1,0.5 
-,22h54m49.5677s, 35.6656113˚00'00",0,LAC,-,22h54m50.2063s, 35.1656151˚00'00",0,LAC,:,grey,1,0.5 
-,22h05m26.2939s, 35.6069336˚00'00",0,LAC,-,22h54m49.5677s, 35.6656113˚00'00",0,LAC,:,grey,1,0.5 
-,22h05m24.1105s, 36.6069069˚00'00",0,LAC,-,22h05m26.2939s, 35.6069336˚00'00",0,LAC,:,grey,1,0.5 
