Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,09h22m35.0364s, 32.9691162˚00'00",0,LMI,-,10h00m20.2525s, 32.9022789˚00'00",0,LMI,:,grey,1,0.5
-,09h22m53.1915s, 39.2188187˚00'00",0,LMI,-,09h22m35.0364s, 32.9691162˚00'00",0,LMI,:,grey,1,0.5 
-,09h42m43.6734s, 39.1817665˚00'00",0,LMI,-,09h22m53.1915s, 39.2188187˚00'00",0,LMI,:,grey,1,0.5 
-,09h42m50.2171s, 41.4316750˚00'00",0,LMI,-,09h42m43.6734s, 39.1817665˚00'00",0,LMI,:,grey,1,0.5 
-,10h17m30.7737s, 41.3773613˚00'00",0,LMI,-,09h42m50.2171s, 41.4316750˚00'00",0,LMI,:,grey,1,0.5 
-,10h17m26.2590s, 39.3774109˚00'00",0,LMI,-,10h17m30.7737s, 41.3773613˚00'00",0,LMI,:,grey,1,0.5 
-,10h54m05.5605s, 39.3356133˚00'00",0,LMI,-,10h17m26.2590s, 39.3774109˚00'00",0,LMI,:,grey,1,0.5 
-,10h53m57.4581s, 33.3356781˚00'00",0,LMI,-,10h54m05.5605s, 39.3356133˚00'00",0,LMI,:,grey,1,0.5 
-,11h06m51.4141s, 33.3249931˚00'00",0,LMI,-,10h53m57.4581s, 33.3356781˚00'00",0,LMI,:,grey,1,0.5 
-,11h06m46.5595s, 28.3250256˚00'00",0,LMI,-,11h06m51.4141s, 33.3249931˚00'00",0,LMI,:,grey,1,0.5 
-,11h06m43.4250s, 24.8250446˚00'00",0,LMI,-,11h06m46.5595s, 28.3250256˚00'00",0,LMI,:,grey,1,0.5 
-,10h51m48.3585s, 24.8375893˚00'00",0,LMI,-,11h06m43.4250s, 24.8250446˚00'00",0,LMI,:,grey,1,0.5 
-,10h51m46.2093s, 22.8376045˚00'00",0,LMI,-,10h51m48.3585s, 24.8375893˚00'00",0,LMI,:,grey,1,0.5 
-,10h36m50.6106s, 22.8529778˚00'00",0,LMI,-,10h51m46.2093s, 22.8376045˚00'00",0,LMI,:,grey,1,0.5 
-,10h36m57.2163s, 27.8529167˚00'00",0,LMI,-,10h36m50.6106s, 22.8529778˚00'00",0,LMI,:,grey,1,0.5 
-,10h00m10.1625s, 27.9024086˚00'00",0,LMI,-,10h36m57.2163s, 27.8529167˚00'00",0,LMI,:,grey,1,0.5 
-,10h00m20.2525s, 32.9022789˚00'00",0,LMI,-,10h00m10.1625s, 27.9024086˚00'00",0,LMI,:,grey,1,0.5 
