Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,10h51m23.9310s, -0.6622211˚00'00",0,LEO,-,10h51m18.5133s, -6.6621790˚00'00",0,LEO,:,grey,1,0.5 
-,10h51m30.2447s,  6.3377299˚00'00",0,LEO,-,10h51m23.9310s, -0.6622211˚00'00",0,LEO,:,grey,1,0.5  
-,09h41m35.6201s,  6.4327669˚00'00",0,LEO,-,10h51m30.2447s,  6.3377299˚00'00",0,LEO,:,grey,1,0.5  
-,09h21m37.0221s,  6.4700689˚00'00",0,LEO,-,09h41m35.6201s,  6.4327669˚00'00",0,LEO,:,grey,1,0.5  
-,09h22m35.0364s, 32.9691162˚00'00",0,LEO,-,09h21m37.0221s,  6.4700689˚00'00",0,LEO,:,grey,1,0.5  
-,10h00m20.2525s, 32.9022789˚00'00",0,LEO,-,09h22m35.0364s, 32.9691162˚00'00",0,LEO,:,grey,1,0.5  
-,10h00m10.1625s, 27.9024086˚00'00",0,LEO,-,10h00m20.2525s, 32.9022789˚00'00",0,LEO,:,grey,1,0.5  
-,10h36m57.2163s, 27.8529167˚00'00",0,LEO,-,10h00m10.1625s, 27.9024086˚00'00",0,LEO,:,grey,1,0.5  
-,10h36m50.6106s, 22.8529778˚00'00",0,LEO,-,10h36m57.2163s, 27.8529167˚00'00",0,LEO,:,grey,1,0.5  
-,10h51m46.2093s, 22.8376045˚00'00",0,LEO,-,10h36m50.6106s, 22.8529778˚00'00",0,LEO,:,grey,1,0.5  
-,10h51m48.3585s, 24.8375893˚00'00",0,LEO,-,10h51m46.2093s, 22.8376045˚00'00",0,LEO,:,grey,1,0.5  
-,11h06m43.4250s, 24.8250446˚00'00",0,LEO,-,10h51m48.3585s, 24.8375893˚00'00",0,LEO,:,grey,1,0.5  
-,11h06m46.5595s, 28.3250256˚00'00",0,LEO,-,11h06m43.4250s, 24.8250446˚00'00",0,LEO,:,grey,1,0.5  
-,11h58m26.1459s, 28.3040466˚00'00",0,LEO,-,11h06m46.5595s, 28.3250256˚00'00",0,LEO,:,grey,1,0.5  
-,11h58m25.0885s, 13.3040485˚00'00",0,LEO,-,11h58m26.1459s, 28.3040466˚00'00",0,LEO,:,grey,1,0.5  
-,11h58m24.8963s, 10.3040485˚00'00",0,LEO,-,11h58m25.0885s, 13.3040485˚00'00",0,LEO,:,grey,1,0.5  
-,11h37m27.7651s, 10.3082914˚00'00",0,LEO,-,11h58m24.8963s, 10.3040485˚00'00",0,LEO,:,grey,1,0.5  
-,11h37m24.1259s, -0.6916979˚00'00",0,LEO,-,11h37m27.7651s, 10.3082914˚00'00",0,LEO,:,grey,1,0.5  
-,11h37m22.1517s, -6.6916924˚00'00",0,LEO,-,11h37m24.1259s, -0.6916979˚00'00",0,LEO,:,grey,1,0.5  
-,10h51m18.5133s, -6.6621790˚00'00",0,LEO,-,11h37m22.1517s, -6.6916924˚00'00",0,LEO,:,grey,1,0.5  
