Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,15h11m24.7229s, -0.4742887˚00'00",0,LIB,-,15h11m31.6683s, -3.7241600˚00'00",0,LIB,:,grey,1,0.5
-,14h46m24.7422s, -0.5269387˚00'00",0,LIB,-,15h11m24.7229s, -0.4742887˚00'00",0,LIB,:,grey,1,0.5 
-,14h46m40.1059s, -8.5266848˚00'00",0,LIB,-,14h46m24.7422s, -0.5269387˚00'00",0,LIB,:,grey,1,0.5 
-,14h21m38.0415s, -8.5731344˚00'00",0,LIB,-,14h46m40.1059s, -8.5266848˚00'00",0,LIB,:,grey,1,0.5 
-,14h22m03.1419s,-22.5727749˚00'00",0,LIB,-,14h21m38.0415s, -8.5731344˚00'00",0,LIB,:,grey,1,0.5 
-,14h22m08.0857s,-25.0727024˚00'00",0,LIB,-,14h22m03.1419s,-22.5727749˚00'00",0,LIB,:,grey,1,0.5 
-,15h02m18.3729s,-24.9951096˚00'00",0,LIB,-,14h22m08.0857s,-25.0727024˚00'00",0,LIB,:,grey,1,0.5 
-,15h02m31.3847s,-29.9948788˚00'00",0,LIB,-,15h02m18.3729s,-24.9951096˚00'00",0,LIB,:,grey,1,0.5 
-,15h47m43.1952s,-29.8896160˚00'00",0,LIB,-,15h02m31.3847s,-29.9948788˚00'00",0,LIB,:,grey,1,0.5 
-,15h47m15.1353s,-20.3902016˚00'00",0,LIB,-,15h47m43.1952s,-29.8896160˚00'00",0,LIB,:,grey,1,0.5 
-,16h02m17.2263s,-20.3516178˚00'00",0,LIB,-,15h47m15.1353s,-20.3902016˚00'00",0,LIB,:,grey,1,0.5 
-,16h01m44.9469s, -8.3523235˚00'00",0,LIB,-,16h02m17.2263s,-20.3516178˚00'00",0,LIB,:,grey,1,0.5 
-,16h01m32.8689s, -3.6025870˚00'00",0,LIB,-,16h01m44.9469s, -8.3523235˚00'00",0,LIB,:,grey,1,0.5 
-,15h11m31.6683s, -3.7241600˚00'00",0,LIB,-,16h01m32.8689s, -3.6025870˚00'00",0,LIB,:,grey,1,0.5 
