Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,14h18m37.6359s,-55.5799522˚00'00",0,LUP,-,14h17m48.0635s,-42.5806465˚00'00",0,LUP,:,grey,1,0.5
-,14h40m56.2717s,-55.5400887˚00'00",0,LUP,-,14h18m37.6359s,-55.5799522˚00'00",0,LUP,:,grey,1,0.5 
-,15h12m20.0427s,-55.4754944˚00'00",0,LUP,-,14h40m56.2717s,-55.5400887˚00'00",0,LUP,:,grey,1,0.5 
-,15h12m13.6119s,-54.4756165˚00'00",0,LUP,-,15h12m20.0427s,-55.4754944˚00'00",0,LUP,:,grey,1,0.5 
-,15h29m24.8093s,-54.4364166˚00'00",0,LUP,-,15h12m13.6119s,-54.4756165˚00'00",0,LUP,:,grey,1,0.5 
-,15h28m49.7391s,-48.4371071˚00'00",0,LUP,-,15h29m24.8093s,-54.4364166˚00'00",0,LUP,:,grey,1,0.5 
-,15h48m59.3475s,-48.3880234˚00'00",0,LUP,-,15h28m49.7391s,-48.4371071˚00'00",0,LUP,:,grey,1,0.5 
-,15h48m29.9005s,-42.3886375˚00'00",0,LUP,-,15h48m59.3475s,-48.3880234˚00'00",0,LUP,:,grey,1,0.5 
-,16h08m36.6735s,-42.3366776˚00'00",0,LUP,-,15h48m29.9005s,-42.3886375˚00'00",0,LUP,:,grey,1,0.5 
-,16h07m47.4477s,-29.8377628˚00'00",0,LUP,-,16h08m36.6735s,-42.3366776˚00'00",0,LUP,:,grey,1,0.5 
-,15h47m43.1952s,-29.8896160˚00'00",0,LUP,-,16h07m47.4477s,-29.8377628˚00'00",0,LUP,:,grey,1,0.5 
-,15h02m31.3847s,-29.9948788˚00'00",0,LUP,-,15h47m43.1952s,-29.8896160˚00'00",0,LUP,:,grey,1,0.5 
-,15h03m11.1071s,-42.4941750˚00'00",0,LUP,-,15h02m31.3847s,-29.9948788˚00'00",0,LUP,:,grey,1,0.5 
-,14h17m48.0635s,-42.5806465˚00'00",0,LUP,-,15h03m11.1071s,-42.4941750˚00'00",0,LUP,:,grey,1,0.5 
