Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,07h30m14.5725s, 35.2445297˚00'00",0,LYN,-,07h53m09.5301s, 35.1810532˚00'00",0,LYN,:,grey,1,0.5
-,07h30m56.1899s, 44.2435493˚00'00",0,LYN,-,07h30m14.5725s, 35.2445297˚00'00",0,LYN,:,grey,1,0.5 
-,06h57m03.6727s, 44.3418388˚00'00",0,LYN,-,07h30m56.1899s, 44.2435493˚00'00",0,LYN,:,grey,1,0.5 
-,06h57m37.5261s, 49.8410034˚00'00",0,LYN,-,06h57m03.6727s, 44.3418388˚00'00",0,LYN,:,grey,1,0.5 
-,06h39m40.6703s, 49.8945885˚00'00",0,LYN,-,06h57m37.5261s, 49.8410034˚00'00",0,LYN,:,grey,1,0.5 
-,06h40m11.0475s, 53.8938293˚00'00",0,LYN,-,06h39m40.6703s, 49.8945885˚00'00",0,LYN,:,grey,1,0.5 
-,06h16m13.7679s, 53.9662552˚00'00",0,LYN,-,06h40m11.0475s, 53.8938293˚00'00",0,LYN,:,grey,1,0.5 
-,06h16m31.4613s, 55.9658089˚00'00",0,LYN,-,06h16m13.7679s, 53.9662552˚00'00",0,LYN,:,grey,1,0.5 
-,06h17m37.7895s, 61.9641266˚00'00",0,LYN,-,06h16m31.4613s, 55.9658089˚00'00",0,LYN,:,grey,1,0.5 
-,07h11m24.3726s, 61.8031464˚00'00",0,LYN,-,06h17m37.7895s, 61.9641266˚00'00",0,LYN,:,grey,1,0.5 
-,07h11m00.7674s, 59.8037262˚00'00",0,LYN,-,07h11m24.3726s, 61.8031464˚00'00",0,LYN,:,grey,1,0.5 
-,08h08m30.9843s, 59.6433983˚00'00",0,LYN,-,07h11m00.7674s, 59.8037262˚00'00",0,LYN,:,grey,1,0.5 
-,08h35m11.7921s, 59.5759888˚00'00",0,LYN,-,08h08m30.9843s, 59.6433983˚00'00",0,LYN,:,grey,1,0.5 
-,08h33m45.6249s, 46.5777283˚00'00",0,LYN,-,08h35m11.7921s, 59.5759888˚00'00",0,LYN,:,grey,1,0.5 
-,09h18m21.7707s, 46.4782791˚00'00",0,LYN,-,08h33m45.6249s, 46.5777283˚00'00",0,LYN,:,grey,1,0.5 
-,09h18m02.9977s, 41.4785957˚00'00",0,LYN,-,09h18m21.7707s, 46.4782791˚00'00",0,LYN,:,grey,1,0.5 
-,09h42m50.2171s, 41.4316750˚00'00",0,LYN,-,09h18m02.9977s, 41.4785957˚00'00",0,LYN,:,grey,1,0.5 
-,09h42m43.6734s, 39.1817665˚00'00",0,LYN,-,09h42m50.2171s, 41.4316750˚00'00",0,LYN,:,grey,1,0.5 
-,09h22m53.1915s, 39.2188187˚00'00",0,LYN,-,09h42m43.6734s, 39.1817665˚00'00",0,LYN,:,grey,1,0.5 
-,09h22m35.0364s, 32.9691162˚00'00",0,LYN,-,09h22m53.1915s, 39.2188187˚00'00",0,LYN,:,grey,1,0.5 
-,08h07m58.3755s, 33.1415138˚00'00",0,LYN,-,09h22m35.0364s, 32.9691162˚00'00",0,LYN,:,grey,1,0.5 
-,07h53m01.9392s, 33.1812286˚00'00",0,LYN,-,08h07m58.3755s, 33.1415138˚00'00",0,LYN,:,grey,1,0.5 
-,07h53m09.5301s, 35.1810532˚00'00",0,LYN,-,07h53m01.9392s, 33.1812286˚00'00",0,LYN,:,grey,1,0.5 
