Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,18h57m06.5189s, 25.6641407˚00'00",0,LYR,-,19h20m38.7153s, 25.7325745˚00'00",0,LYR,:,grey,1,0.5
-,18h57m04.7682s, 26.1640968˚00'00",0,LYR,-,18h57m06.5189s, 25.6641407˚00'00",0,LYR,:,grey,1,0.5 
-,18h27m03.0927s, 26.0743504˚00'00",0,LYR,-,18h57m04.7682s, 26.1640968˚00'00",0,LYR,:,grey,1,0.5 
-,18h26m48.1855s, 30.0739765˚00'00",0,LYR,-,18h27m03.0927s, 26.0743504˚00'00",0,LYR,:,grey,1,0.5 
-,18h15m17.8527s, 30.0391560˚00'00",0,LYR,-,18h26m48.1855s, 30.0739765˚00'00",0,LYR,:,grey,1,0.5 
-,18h13m52.0497s, 47.5369873˚00'00",0,LYR,-,18h15m17.8527s, 30.0391560˚00'00",0,LYR,:,grey,1,0.5 
-,18h17m22.1701s, 47.5476036˚00'00",0,LYR,-,18h13m52.0497s, 47.5369873˚00'00",0,LYR,:,grey,1,0.5 
-,19h08m28.9554s, 47.6998672˚00'00",0,LYR,-,18h17m22.1701s, 47.5476036˚00'00",0,LYR,:,grey,1,0.5 
-,19h13m30.1249s, 47.7143936˚00'00",0,LYR,-,19h08m28.9554s, 47.6998672˚00'00",0,LYR,:,grey,1,0.5 
-,19h13m52.8737s, 43.7149391˚00'00",0,LYR,-,19h13m30.1249s, 47.7143936˚00'00",0,LYR,:,grey,1,0.5 
-,19h27m56.0466s, 43.7550354˚00'00",0,LYR,-,19h13m52.8737s, 43.7149391˚00'00",0,LYR,:,grey,1,0.5 
-,19h28m28.7173s, 36.7558022˚00'00",0,LYR,-,19h27m56.0466s, 43.7550354˚00'00",0,LYR,:,grey,1,0.5 
-,19h25m58.2251s, 36.7487144˚00'00",0,LYR,-,19h28m28.7173s, 36.7558022˚00'00",0,LYR,:,grey,1,0.5 
-,19h26m23.7066s, 30.2493153˚00'00",0,LYR,-,19h25m58.2251s, 36.7487144˚00'00",0,LYR,:,grey,1,0.5 
-,19h20m22.8606s, 30.2321968˚00'00",0,LYR,-,19h26m23.7066s, 30.2493153˚00'00",0,LYR,:,grey,1,0.5 
-,19h20m31.8351s, 27.7324085˚00'00",0,LYR,-,19h20m22.8606s, 30.2321968˚00'00",0,LYR,:,grey,1,0.5 
-,19h20m38.7153s, 25.7325745˚00'00",0,LYR,-,19h20m31.8351s, 27.7324085˚00'00",0,LYR,:,grey,1,0.5 
