Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,07h16m04.7301s,-85.2614441˚00'00",0,MEN,-,07h26m36.5075s,-82.7758865˚00'00",0,MEN,:,grey,1,0.5
-,03h12m55.9008s,-84.5553818˚00'00",0,MEN,-,07h16m04.7301s,-85.2614441˚00'00",0,MEN,:,grey,1,0.5 
-,03h20m21.9973s,-82.0644531˚00'00",0,MEN,-,03h12m55.9008s,-84.5553818˚00'00",0,MEN,:,grey,1,0.5 
-,03h28m18.1877s,-74.5741272˚00'00",0,MEN,-,03h20m21.9973s,-82.0644531˚00'00",0,MEN,:,grey,1,0.5 
-,04h31m49.7964s,-74.7431641˚00'00",0,MEN,-,03h28m18.1877s,-74.5741272˚00'00",0,MEN,:,grey,1,0.5 
-,04h34m19.5657s,-69.7467194˚00'00",0,MEN,-,04h31m49.7964s,-74.7431641˚00'00",0,MEN,:,grey,1,0.5 
-,06h33m49.0615s,-70.1041336˚00'00",0,MEN,-,04h34m19.5657s,-69.7467194˚00'00",0,MEN,:,grey,1,0.5 
-,06h31m04.9703s,-75.1000366˚00'00",0,MEN,-,06h33m49.0615s,-70.1041336˚00'00",0,MEN,:,grey,1,0.5 
-,07h36m51.5289s,-75.2899170˚00'00",0,MEN,-,06h31m04.9703s,-75.1000366˚00'00",0,MEN,:,grey,1,0.5 
-,07h26m36.5075s,-82.7758865˚00'00",0,MEN,-,07h36m51.5289s,-75.2899170˚00'00",0,MEN,:,grey,1,0.5 
