Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,06h20m54.1633s, -0.0537102˚00'00",0,MON,-,06h20m42.5141s, -4.0534163˚00'00",0,MON,:,grey,1,0.5
-,06h21m23.5275s,  9.9455481˚00'00",0,MON,-,06h20m54.1633s, -0.0537102˚00'00",0,MON,:,grey,1,0.5 
-,06h25m23.4397s,  9.9334478˚00'00",0,MON,-,06h21m23.5275s,  9.9455481˚00'00",0,MON,:,grey,1,0.5 
-,06h25m29.4633s, 11.9332972˚00'00",0,MON,-,06h25m23.4397s,  9.9334478˚00'00",0,MON,:,grey,1,0.5 
-,07h02m58.2756s, 11.8213453˚00'00",0,MON,-,06h25m29.4633s, 11.9332972˚00'00",0,MON,:,grey,1,0.5 
-,07h02m52.4303s,  9.8214874˚00'00",0,MON,-,07h02m58.2756s, 11.8213453˚00'00",0,MON,:,grey,1,0.5 
-,07h06m52.2911s,  9.8097754˚00'00",0,MON,-,07h02m52.4303s,  9.8214874˚00'00",0,MON,:,grey,1,0.5 
-,07h06m39.4373s,  5.3100886˚00'00",0,MON,-,07h06m52.2911s,  9.8097754˚00'00",0,MON,:,grey,1,0.5 
-,07h07m39.4259s,  5.3071680˚00'00",0,MON,-,07h06m39.4373s,  5.3100886˚00'00",0,MON,:,grey,1,0.5 
-,07h07m28.1751s,  1.3074419˚00'00",0,MON,-,07h07m39.4259s,  5.3071680˚00'00",0,MON,:,grey,1,0.5 
-,07h18m28.0605s,  1.2755718˚00'00",0,MON,-,07h07m28.1751s,  1.3074419˚00'00",0,MON,:,grey,1,0.5 
-,07h18m23.9199s, -0.2243290˚00'00",0,MON,-,07h18m28.0605s,  1.2755718˚00'00",0,MON,:,grey,1,0.5 
-,08h11m23.7617s, -0.3693900˚00'00",0,MON,-,07h18m23.9199s, -0.2243290˚00'00",0,MON,:,grey,1,0.5 
-,08h10m56.2029s,-11.3687992˚00'00",0,MON,-,08h11m23.7617s, -0.3693900˚00'00",0,MON,:,grey,1,0.5 
-,07h27m53.6159s,-11.2521448˚00'00",0,MON,-,08h10m56.2029s,-11.3687992˚00'00",0,MON,:,grey,1,0.5 
-,06h12m51.7500s,-11.0301533˚00'00",0,MON,-,07h27m53.6159s,-11.2521448˚00'00",0,MON,:,grey,1,0.5 
-,05h55m51.7897s,-10.9785318˚00'00",0,MON,-,06h12m51.7500s,-11.0301533˚00'00",0,MON,:,grey,1,0.5 
-,05h56m12.5693s, -3.9790573˚00'00",0,MON,-,05h55m51.7897s,-10.9785318˚00'00",0,MON,:,grey,1,0.5 
-,06h20m42.5141s, -4.0534163˚00'00",0,MON,-,05h56m12.5693s, -3.9790573˚00'00",0,MON,:,grey,1,0.5 
