Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,15h30m11.9682s,-60.4354935˚00'00",0,NOR,-,15h29m31.6587s,-55.4362831˚00'00",0,NOR,:,grey,1,0.5
-,16h36m08.3235s,-60.2644577˚00'00",0,NOR,-,15h30m11.9682s,-60.4354935˚00'00",0,NOR,:,grey,1,0.5 
-,16h34m16.9497s,-45.7670517˚00'00",0,NOR,-,16h36m08.3235s,-60.2644577˚00'00",0,NOR,:,grey,1,0.5 
-,16h33m58.7466s,-42.2674789˚00'00",0,NOR,-,16h34m16.9497s,-45.7670517˚00'00",0,NOR,:,grey,1,0.5 
-,16h08m36.6735s,-42.3366776˚00'00",0,NOR,-,16h33m58.7466s,-42.2674789˚00'00",0,NOR,:,grey,1,0.5 
-,15h48m29.9005s,-42.3886375˚00'00",0,NOR,-,16h08m36.6735s,-42.3366776˚00'00",0,NOR,:,grey,1,0.5 
-,15h48m59.3475s,-48.3880234˚00'00",0,NOR,-,15h48m29.9005s,-42.3886375˚00'00",0,NOR,:,grey,1,0.5 
-,15h28m49.7391s,-48.4371071˚00'00",0,NOR,-,15h48m59.3475s,-48.3880234˚00'00",0,NOR,:,grey,1,0.5 
-,15h29m24.8093s,-54.4364166˚00'00",0,NOR,-,15h28m49.7391s,-48.4371071˚00'00",0,NOR,:,grey,1,0.5 
-,15h12m13.6119s,-54.4756165˚00'00",0,NOR,-,15h29m24.8093s,-54.4364166˚00'00",0,NOR,:,grey,1,0.5 
-,15h12m20.0427s,-55.4754944˚00'00",0,NOR,-,15h12m13.6119s,-54.4756165˚00'00",0,NOR,:,grey,1,0.5 
-,15h29m31.6587s,-55.4362831˚00'00",0,NOR,-,15h12m20.0427s,-55.4754944˚00'00",0,NOR,:,grey,1,0.5 
