Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,00h06m08.0139s,-81.8039551˚00'00",0,OCT,-,00h06m15.9135s,-74.3039627˚00'00",0,OCT,:,grey,1,0.5 
-,03h20m21.9973s,-82.0644531˚00'00",0,OCT,-,00h06m08.0139s,-81.8039551˚00'00",0,OCT,:,grey,1,0.5 
-,03h12m55.9008s,-84.5553818˚00'00",0,OCT,-,03h20m21.9973s,-82.0644531˚00'00",0,OCT,:,grey,1,0.5 
-,07h16m04.7301s,-85.2614441˚00'00",0,OCT,-,03h12m55.9008s,-84.5553818˚00'00",0,OCT,:,grey,1,0.5 
-,07h26m36.5075s,-82.7758865˚00'00",0,OCT,-,07h16m04.7301s,-85.2614441˚00'00",0,OCT,:,grey,1,0.5 
-,13h56m26.6661s,-83.1200714˚00'00",0,OCT,-,07h26m36.5075s,-82.7758865˚00'00",0,OCT,:,grey,1,0.5 
-,18h27m27.8395s,-82.4582748˚00'00",0,OCT,-,13h56m26.6661s,-83.1200714˚00'00",0,OCT,:,grey,1,0.5 
-,18h16m46.8145s,-74.9745178˚00'00",0,OCT,-,18h27m27.8395s,-82.4582748˚00'00",0,OCT,:,grey,1,0.5 
-,21h32m44.3418s,-74.4544678˚00'00",0,OCT,-,18h16m46.8145s,-74.9745178˚00'00",0,OCT,:,grey,1,0.5 
-,23h27m59.4799s,-74.3124619˚00'00",0,OCT,-,21h32m44.3418s,-74.4544678˚00'00",0,OCT,:,grey,1,0.5 
-,00h06m15.9135s,-74.3039627˚00'00",0,OCT,-,23h27m59.4799s,-74.3124619˚00'00",0,OCT,:,grey,1,0.5 
