Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,16h22m24.6306s, -0.2963768˚00'00",0,OPH,-,16h22m33.2133s, -3.5461800˚00'00",0,OPH,:,grey,1,0.5
-,16h22m14.0628s,  3.7033811˚00'00",0,OPH,-,16h22m24.6306s, -0.2963768˚00'00",0,OPH,:,grey,1,0.5 
-,16h51m13.4183s,  3.7852108˚00'00",0,OPH,-,16h22m14.0628s,  3.7033811˚00'00",0,OPH,:,grey,1,0.5 
-,16h50m48.3558s, 12.6179380˚00'00",0,OPH,-,16h51m13.4183s,  3.7852108˚00'00",0,OPH,:,grey,1,0.5 
-,17h20m47.0033s, 12.7061481˚00'00",0,OPH,-,16h50m48.3558s, 12.6179380˚00'00",0,OPH,:,grey,1,0.5 
-,17h20m42.4507s, 14.2060347˚00'00",0,OPH,-,17h20m47.0033s, 12.7061481˚00'00",0,OPH,:,grey,1,0.5 
-,18h20m41.5857s, 14.3874788˚00'00",0,OPH,-,17h20m42.4507s, 14.2060347˚00'00",0,OPH,:,grey,1,0.5 
-,18h20m48.7403s, 12.0543308˚00'00",0,OPH,-,18h20m41.5857s, 14.3874788˚00'00",0,OPH,:,grey,1,0.5 
-,18h45m33.1308s, 12.1287737˚00'00",0,OPH,-,18h20m48.7403s, 12.0543308˚00'00",0,OPH,:,grey,1,0.5 
-,18h45m50.0565s,  6.3791943˚00'00",0,OPH,-,18h45m33.1308s, 12.1287737˚00'00",0,OPH,:,grey,1,0.5 
-,18h21m05.9065s,  6.3047633˚00'00",0,OPH,-,18h45m50.0565s,  6.3791943˚00'00",0,OPH,:,grey,1,0.5 
-,18h21m11.0427s,  4.5548930˚00'00",0,OPH,-,18h21m05.9065s,  6.3047633˚00'00",0,OPH,:,grey,1,0.5 
-,18h31m29.0715s,  4.5860157˚00'00",0,OPH,-,18h21m11.0427s,  4.5548930˚00'00",0,OPH,:,grey,1,0.5 
-,18h31m33.4319s,  3.0861249˚00'00",0,OPH,-,18h31m29.0715s,  4.5860157˚00'00",0,OPH,:,grey,1,0.5 
-,18h21m15.4167s,  3.0550034˚00'00",0,OPH,-,18h31m33.4319s,  3.0861249˚00'00",0,OPH,:,grey,1,0.5 
-,18h21m24.1437s,  0.0552235˚00'00",0,OPH,-,18h21m15.4167s,  3.0550034˚00'00",0,OPH,:,grey,1,0.5 
-,17h56m24.2491s, -0.0206471˚00'00",0,OPH,-,18h21m24.1437s,  0.0552235˚00'00",0,OPH,:,grey,1,0.5 
-,17h56m35.9289s, -4.0203514˚00'00",0,OPH,-,17h56m24.2491s, -0.0206471˚00'00",0,OPH,:,grey,1,0.5 
-,18h04m35.9217s, -3.9960551˚00'00",0,OPH,-,17h56m35.9289s, -4.0203514˚00'00",0,OPH,:,grey,1,0.5 
-,18h04m53.6919s, -9.9956055˚00'00",0,OPH,-,18h04m35.9217s, -3.9960551˚00'00",0,OPH,:,grey,1,0.5 
-,17h46m53.7017s,-10.0502338˚00'00",0,OPH,-,18h04m53.6919s, -9.9956055˚00'00",0,OPH,:,grey,1,0.5 
-,17h46m58.7280s,-11.7167768˚00'00",0,OPH,-,17h46m53.7017s,-10.0502338˚00'00",0,OPH,:,grey,1,0.5 
-,17h41m58.6569s,-11.7319136˚00'00",0,OPH,-,17h46m58.7280s,-11.7167768˚00'00",0,OPH,:,grey,1,0.5 
-,17h41m53.6377s,-10.0653696˚00'00",0,OPH,-,17h41m58.6569s,-11.7319136˚00'00",0,OPH,:,grey,1,0.5 
-,17h16m53.2967s,-10.1404381˚00'00",0,OPH,-,17h41m53.6377s,-10.0653696˚00'00",0,OPH,:,grey,1,0.5 
-,17h17m11.3827s,-16.1399899˚00'00",0,OPH,-,17h16m53.2967s,-10.1404381˚00'00",0,OPH,:,grey,1,0.5 
-,17h43m12.0457s,-16.0618820˚00'00",0,OPH,-,17h17m11.3827s,-16.1399899˚00'00",0,OPH,:,grey,1,0.5 
-,17h44m00.4405s,-30.0606632˚00'00",0,OPH,-,17h43m12.0457s,-16.0618820˚00'00",0,OPH,:,grey,1,0.5 
-,16h52m56.4837s,-30.2123089˚00'00",0,OPH,-,17h44m00.4405s,-30.0606632˚00'00",0,OPH,:,grey,1,0.5 
-,16h52m37.3609s,-24.7960968˚00'00",0,OPH,-,16h52m56.4837s,-30.2123089˚00'00",0,OPH,:,grey,1,0.5 
-,16h23m33.9471s,-24.8781185˚00'00",0,OPH,-,16h52m37.3609s,-24.7960968˚00'00",0,OPH,:,grey,1,0.5 
-,16h23m17.5161s,-19.5451660˚00'00",0,OPH,-,16h23m33.9471s,-24.8781185˚00'00",0,OPH,:,grey,1,0.5 
-,16h29m48.1621s,-19.5271549˚00'00",0,OPH,-,16h23m17.5161s,-19.5451660˚00'00",0,OPH,:,grey,1,0.5 
-,16h29m45.1752s,-18.5272255˚00'00",0,OPH,-,16h29m48.1621s,-19.5271549˚00'00",0,OPH,:,grey,1,0.5 
-,16h23m14.5633s,-18.5452347˚00'00",0,OPH,-,16h29m45.1752s,-18.5272255˚00'00",0,OPH,:,grey,1,0.5 
-,16h22m45.8889s, -8.2958899˚00'00",0,OPH,-,16h23m14.5633s,-18.5452347˚00'00",0,OPH,:,grey,1,0.5 
-,16h01m44.9469s, -8.3523235˚00'00",0,OPH,-,16h22m45.8889s, -8.2958899˚00'00",0,OPH,:,grey,1,0.5 
-,16h01m32.8689s, -3.6025870˚00'00",0,OPH,-,16h01m44.9469s, -8.3523235˚00'00",0,OPH,:,grey,1,0.5 
-,16h22m33.2133s, -3.5461800˚00'00",0,OPH,-,16h01m32.8689s, -3.6025870˚00'00",0,OPH,:,grey,1,0.5 
