Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,04h43m24.5665s,  0.2375014˚00'00",0,ORI,-,04h46m24.5553s,  0.2289162˚00'00",0,ORI,:,grey,1,0.5
-,04h44m08.1669s, 15.7364635˚00'00",0,ORI,-,04h43m24.5665s,  0.2375014˚00'00",0,ORI,:,grey,1,0.5 
-,05h05m09.3423s, 15.6755352˚00'00",0,ORI,-,04h44m08.1669s, 15.7364635˚00'00",0,ORI,:,grey,1,0.5 
-,05h05m10.8669s, 16.1754990˚00'00",0,ORI,-,05h05m09.3423s, 15.6755352˚00'00",0,ORI,:,grey,1,0.5 
-,05h27m11.6910s, 16.1101055˚00'00",0,ORI,-,05h05m10.8669s, 16.1754990˚00'00",0,ORI,:,grey,1,0.5 
-,05h27m10.1358s, 15.6101446˚00'00",0,ORI,-,05h27m11.6910s, 16.1101055˚00'00",0,ORI,:,grey,1,0.5 
-,05h43m10.4751s, 15.5619202˚00'00",0,ORI,-,05h27m10.1358s, 15.6101446˚00'00",0,ORI,:,grey,1,0.5 
-,05h43m01.2137s, 12.5621548˚00'00",0,ORI,-,05h43m10.4751s, 15.5619202˚00'00",0,ORI,:,grey,1,0.5 
-,05h53m01.2887s, 12.5318508˚00'00",0,ORI,-,05h43m01.2137s, 12.5621548˚00'00",0,ORI,:,grey,1,0.5 
-,05h53m18.5201s, 18.0314159˚00'00",0,ORI,-,05h53m01.2887s, 12.5318508˚00'00",0,ORI,:,grey,1,0.5 
-,05h49m18.4757s, 18.0435486˚00'00",0,ORI,-,05h53m18.5201s, 18.0314159˚00'00",0,ORI,:,grey,1,0.5 
-,05h49m34.5105s, 22.8764725˚00'00",0,ORI,-,05h49m18.4757s, 18.0435486˚00'00",0,ORI,:,grey,1,0.5 
-,06h00m34.5690s, 22.8430862˚00'00",0,ORI,-,05h49m34.5105s, 22.8764725˚00'00",0,ORI,:,grey,1,0.5 
-,06h00m30.0373s, 21.5098724˚00'00",0,ORI,-,06h00m34.5690s, 22.8430862˚00'00",0,ORI,:,grey,1,0.5 
-,06h20m29.7906s, 21.4491768˚00'00",0,ORI,-,06h00m30.0373s, 21.5098724˚00'00",0,ORI,:,grey,1,0.5 
-,06h20m16.6981s, 17.4495068˚00'00",0,ORI,-,06h20m29.7906s, 21.4491768˚00'00",0,ORI,:,grey,1,0.5 
-,06h25m46.5402s, 17.4328651˚00'00",0,ORI,-,06h20m16.6981s, 17.4495068˚00'00",0,ORI,:,grey,1,0.5 
-,06h25m29.4633s, 11.9332972˚00'00",0,ORI,-,06h25m46.5402s, 17.4328651˚00'00",0,ORI,:,grey,1,0.5 
-,06h25m23.4397s,  9.9334478˚00'00",0,ORI,-,06h25m29.4633s, 11.9332972˚00'00",0,ORI,:,grey,1,0.5 
-,06h21m23.5275s,  9.9455481˚00'00",0,ORI,-,06h25m23.4397s,  9.9334478˚00'00",0,ORI,:,grey,1,0.5 
-,06h20m54.1633s, -0.0537102˚00'00",0,ORI,-,06h21m23.5275s,  9.9455481˚00'00",0,ORI,:,grey,1,0.5 
-,06h20m42.5141s, -4.0534163˚00'00",0,ORI,-,06h20m54.1633s, -0.0537102˚00'00",0,ORI,:,grey,1,0.5 
-,05h56m12.5693s, -3.9790573˚00'00",0,ORI,-,06h20m42.5141s, -4.0534163˚00'00",0,ORI,:,grey,1,0.5 
-,05h55m51.7897s,-10.9785318˚00'00",0,ORI,-,05h56m12.5693s, -3.9790573˚00'00",0,ORI,:,grey,1,0.5 
-,05h10m52.8075s,-10.8432293˚00'00",0,ORI,-,05h55m51.7897s,-10.9785318˚00'00",0,ORI,:,grey,1,0.5 
-,05h11m13.0549s, -3.8437285˚00'00",0,ORI,-,05h10m52.8075s,-10.8432293˚00'00",0,ORI,:,grey,1,0.5 
-,04h46m13.5261s, -3.7708201˚00'00",0,ORI,-,05h11m13.0549s, -3.8437285˚00'00",0,ORI,:,grey,1,0.5 
-,04h46m24.5553s,  0.2289162˚00'00",0,ORI,-,04h46m13.5261s, -3.7708201˚00'00",0,ORI,:,grey,1,0.5 
