Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,21h26m20.0331s,  2.5393796˚00'00",0,PEG,-,21h34m20.2249s,  2.5544112˚00'00",0,PEG,:,grey,1,0.5
-,21h26m00.2645s, 13.0390635˚00'00",0,PEG,-,21h26m20.0331s,  2.5393796˚00'00",0,PEG,:,grey,1,0.5 
-,21h12m58.6836s, 13.0132008˚00'00",0,PEG,-,21h26m00.2645s, 13.0390635˚00'00",0,PEG,:,grey,1,0.5 
-,21h13m00.0635s, 12.3465548˚00'00",0,PEG,-,21h12m58.6836s, 13.0132008˚00'00",0,PEG,:,grey,1,0.5 
-,21h08m59.6073s, 12.3382607˚00'00",0,PEG,-,21h13m00.0635s, 12.3465548˚00'00",0,PEG,:,grey,1,0.5 
-,21h08m42.9079s, 20.0046406˚00'00",0,PEG,-,21h08m59.6073s, 12.3382607˚00'00",0,PEG,:,grey,1,0.5 
-,21h20m45.2181s, 20.0290813˚00'00",0,PEG,-,21h08m42.9079s, 20.0046406˚00'00",0,PEG,:,grey,1,0.5 
-,21h20m36.4081s, 24.0289364˚00'00",0,PEG,-,21h20m45.2181s, 20.0290813˚00'00",0,PEG,:,grey,1,0.5 
-,21h30m38.8847s, 24.0482101˚00'00",0,PEG,-,21h20m36.4081s, 24.0289364˚00'00",0,PEG,:,grey,1,0.5 
-,21h30m28.8393s, 28.5480537˚00'00",0,PEG,-,21h30m38.8847s, 24.0482101˚00'00",0,PEG,:,grey,1,0.5 
-,21h49m34.8435s, 28.5817947˚00'00",0,PEG,-,21h30m28.8393s, 28.5480537˚00'00",0,PEG,:,grey,1,0.5 
-,21h49m16.7916s, 36.5815468˚00'00",0,PEG,-,21h49m34.8435s, 28.5817947˚00'00",0,PEG,:,grey,1,0.5 
-,21h57m50.6430s, 36.5953827˚00'00",0,PEG,-,21h49m16.7916s, 36.5815468˚00'00",0,PEG,:,grey,1,0.5 
-,22h05m24.1105s, 36.6069069˚00'00",0,PEG,-,21h57m50.6430s, 36.5953827˚00'00",0,PEG,:,grey,1,0.5 
-,22h05m26.2939s, 35.6069336˚00'00",0,PEG,-,22h05m24.1105s, 36.6069069˚00'00",0,PEG,:,grey,1,0.5 
-,22h54m49.5677s, 35.6656113˚00'00",0,PEG,-,22h05m26.2939s, 35.6069336˚00'00",0,PEG,:,grey,1,0.5 
