Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,02h50m30.8112s, 31.1865025˚00'00",0,PER,-,03h29m42.4003s, 31.1003609˚00'00",0,PER,:,grey,1,0.5
-,02h50m39.9523s, 34.5196762˚00'00",0,PER,-,02h50m30.8112s, 31.1865025˚00'00",0,PER,:,grey,1,0.5 
-,02h41m36.5719s, 34.5375137˚00'00",0,PER,-,02h50m39.9523s, 34.5196762˚00'00",0,PER,:,grey,1,0.5 
-,02h41m44.3181s, 37.2873878˚00'00",0,PER,-,02h41m36.5719s, 34.5375137˚00'00",0,PER,:,grey,1,0.5 
-,02h38m43.0419s, 37.2931557˚00'00",0,PER,-,02h41m44.3181s, 37.2873878˚00'00",0,PER,:,grey,1,0.5 
-,02h39m32.5149s, 51.0423737˚00'00",0,PER,-,02h38m43.0419s, 37.2931557˚00'00",0,PER,:,grey,1,0.5 
-,02h10m41.7123s, 51.0925827˚00'00",0,PER,-,02h39m32.5149s, 51.0423737˚00'00",0,PER,:,grey,1,0.5 
-,02h10m29.1579s, 47.5927505˚00'00",0,PER,-,02h10m41.7123s, 51.0925827˚00'00",0,PER,:,grey,1,0.5 
-,01h47m43.5455s, 47.6258430˚00'00",0,PER,-,02h10m29.1579s, 47.5927505˚00'00",0,PER,:,grey,1,0.5 
-,01h47m52.4457s, 50.6257439˚00'00",0,PER,-,01h47m43.5455s, 47.6258430˚00'00",0,PER,:,grey,1,0.5 
-,01h29m37.9047s, 50.6478767˚00'00",0,PER,-,01h47m52.4457s, 50.6257439˚00'00",0,PER,:,grey,1,0.5 
-,01h29m49.4433s, 54.6477699˚00'00",0,PER,-,01h29m37.9047s, 50.6478767˚00'00",0,PER,:,grey,1,0.5 
-,01h50m08.0739s, 54.6228828˚00'00",0,PER,-,01h29m49.4433s, 54.6477699˚00'00",0,PER,:,grey,1,0.5 
-,01h50m22.8534s, 58.1227188˚00'00",0,PER,-,01h50m08.0739s, 54.6228828˚00'00",0,PER,:,grey,1,0.5 
-,02h03m05.6697s, 58.1046753˚00'00",0,PER,-,01h50m22.8534s, 58.1227188˚00'00",0,PER,:,grey,1,0.5 
-,02h03m10.9501s, 59.1046104˚00'00",0,PER,-,02h03m05.6697s, 58.1046753˚00'00",0,PER,:,grey,1,0.5 
-,02h35m12.5653s, 59.0511551˚00'00",0,PER,-,02h03m10.9501s, 59.1046104˚00'00",0,PER,:,grey,1,0.5 
-,02h35m02.9609s, 57.5513000˚00'00",0,PER,-,02h35m12.5653s, 59.0511551˚00'00",0,PER,:,grey,1,0.5 
-,03h15m36.2232s, 57.4684982˚00'00",0,PER,-,02h35m02.9609s, 57.5513000˚00'00",0,PER,:,grey,1,0.5 
-,03h19m39.2391s, 57.4593849˚00'00",0,PER,-,03h15m36.2232s, 57.4684982˚00'00",0,PER,:,grey,1,0.5 
-,03h19m24.9654s, 55.4596519˚00'00",0,PER,-,03h19m39.2391s, 57.4593849˚00'00",0,PER,:,grey,1,0.5 
-,03h29m31.6561s, 55.4362831˚00'00",0,PER,-,03h19m24.9654s, 55.4596519˚00'00",0,PER,:,grey,1,0.5 
-,03h29m15.1407s, 52.9366074˚00'00",0,PER,-,03h29m31.6561s, 55.4362831˚00'00",0,PER,:,grey,1,0.5 
-,04h51m21.6684s, 52.7196465˚00'00",0,PER,-,03h29m15.1407s, 52.9366074˚00'00",0,PER,:,grey,1,0.5 
-,04h49m49.7625s, 36.2218513˚00'00",0,PER,-,04h51m21.6684s, 52.7196465˚00'00",0,PER,:,grey,1,0.5 
-,04h38m17.7219s, 36.2547150˚00'00",0,PER,-,04h49m49.7625s, 36.2218513˚00'00",0,PER,:,grey,1,0.5 
-,04h37m56.8650s, 30.9218750˚00'00",0,PER,-,04h38m17.7219s, 36.2547150˚00'00",0,PER,:,grey,1,0.5 
-,03h29m42.4003s, 31.1003609˚00'00",0,PER,-,04h37m56.8650s, 30.9218750˚00'00",0,PER,:,grey,1,0.5 
