Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,23h26m46.2491s,-39.3127594˚00'00",0,PHE,-,01h45m24.1747s,-39.3726234˚00'00",0,PHE,:,grey,1,0.5
-,23h27m04.4453s,-56.3126869˚00'00",0,PHE,-,23h26m46.2491s,-39.3127594˚00'00",0,PHE,:,grey,1,0.5 
-,23h27m06.8145s,-57.8126793˚00'00",0,PHE,-,23h27m04.4453s,-56.3126869˚00'00",0,PHE,:,grey,1,0.5 
-,01h24m49.4949s,-57.8484154˚00'00",0,PHE,-,23h27m06.8145s,-57.8126793˚00'00",0,PHE,:,grey,1,0.5 
-,01h25m05.5830s,-52.8485603˚00'00",0,PHE,-,01h24m49.4949s,-57.8484154˚00'00",0,PHE,:,grey,1,0.5 
-,01h39m52.1651s,-52.8658562˚00'00",0,PHE,-,01h25m05.5830s,-52.8485603˚00'00",0,PHE,:,grey,1,0.5 
-,01h39m58.5234s,-50.8659210˚00'00",0,PHE,-,01h39m52.1651s,-52.8658562˚00'00",0,PHE,:,grey,1,0.5 
-,01h54m46.3817s,-50.8859215˚00'00",0,PHE,-,01h39m58.5234s,-50.8659210˚00'00",0,PHE,:,grey,1,0.5 
-,01h54m57.1975s,-47.5527229˚00'00",0,PHE,-,01h54m46.3817s,-50.8859215˚00'00",0,PHE,:,grey,1,0.5 
-,02h24m36.7074s,-47.6004944˚00'00",0,PHE,-,01h54m57.1975s,-47.5527229˚00'00",0,PHE,:,grey,1,0.5 
-,02h25m03.3633s,-39.4342155˚00'00",0,PHE,-,02h24m36.7074s,-47.6004944˚00'00",0,PHE,:,grey,1,0.5 
-,01h45m24.1747s,-39.3726234˚00'00",0,PHE,-,02h25m03.3633s,-39.4342155˚00'00",0,PHE,:,grey,1,0.5 
