Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,06h03m48.4265s,-43.0057793˚00'00",0,PIC,-,06h02m59.7365s,-50.7545471˚00'00",0,PIC,:,grey,1,0.5
-,05h03m53.8665s,-42.8255501˚00'00",0,PIC,-,06h03m48.4265s,-43.0057793˚00'00",0,PIC,:,grey,1,0.5 
-,04h53m55.7689s,-42.7963676˚00'00",0,PIC,-,05h03m53.8665s,-42.8255501˚00'00",0,PIC,:,grey,1,0.5 
-,04h53m36.4999s,-46.2959023˚00'00",0,PIC,-,04h53m55.7689s,-42.7963676˚00'00",0,PIC,:,grey,1,0.5 
-,04h33m41.7831s,-46.2387962˚00'00",0,PIC,-,04h53m36.4999s,-46.2959023˚00'00",0,PIC,:,grey,1,0.5 
-,04h33m26.9395s,-48.7384491˚00'00",0,PIC,-,04h33m41.7831s,-46.2387962˚00'00",0,PIC,:,grey,1,0.5 
-,04h32m52.2589s,-53.7376366˚00'00",0,PIC,-,04h33m26.9395s,-48.7384491˚00'00",0,PIC,:,grey,1,0.5 
-,05h02m42.4842s,-53.8238029˚00'00",0,PIC,-,04h32m52.2589s,-53.7376366˚00'00",0,PIC,:,grey,1,0.5 
-,05h02m11.4583s,-57.3230400˚00'00",0,PIC,-,05h02m42.4842s,-53.8238029˚00'00",0,PIC,:,grey,1,0.5 
-,05h32m04.5129s,-57.4122620˚00'00",0,PIC,-,05h02m11.4583s,-57.3230400˚00'00",0,PIC,:,grey,1,0.5 
-,05h31m25.8273s,-60.9112892˚00'00",0,PIC,-,05h32m04.5129s,-57.4122620˚00'00",0,PIC,:,grey,1,0.5 
-,06h01m22.8147s,-61.0020981˚00'00",0,PIC,-,05h31m25.8273s,-60.9112892˚00'00",0,PIC,:,grey,1,0.5 
-,06h00m41.6743s,-64.0010529˚00'00",0,PIC,-,06h01m22.8147s,-61.0020981˚00'00",0,PIC,:,grey,1,0.5 
-,06h35m44.9397s,-64.1070251˚00'00",0,PIC,-,06h00m41.6743s,-64.0010529˚00'00",0,PIC,:,grey,1,0.5 
-,06h50m48.7953s,-64.1518784˚00'00",0,PIC,-,06h35m44.9397s,-64.1070251˚00'00",0,PIC,:,grey,1,0.5 
-,06h52m02.6681s,-58.1537018˚00'00",0,PIC,-,06h50m48.7953s,-64.1518784˚00'00",0,PIC,:,grey,1,0.5 
-,06h31m58.8187s,-58.0938416˚00'00",0,PIC,-,06h52m02.6681s,-58.1537018˚00'00",0,PIC,:,grey,1,0.5 
-,06h32m27.4261s,-55.0945587˚00'00",0,PIC,-,06h31m58.8187s,-58.0938416˚00'00",0,PIC,:,grey,1,0.5 
-,06h12m25.7760s,-55.0340500˚00'00",0,PIC,-,06h32m27.4261s,-55.0945587˚00'00",0,PIC,:,grey,1,0.5 
-,06h12m46.6449s,-52.5345764˚00'00",0,PIC,-,06h12m25.7760s,-55.0340500˚00'00",0,PIC,:,grey,1,0.5 
-,06h02m46.4892s,-52.5042114˚00'00",0,PIC,-,06h12m46.6449s,-52.5345764˚00'00",0,PIC,:,grey,1,0.5 
-,06h02m59.7365s,-50.7545471˚00'00",0,PIC,-,06h02m46.4892s,-52.5042114˚00'00",0,PIC,:,grey,1,0.5 
